,Team,TotalbackupDef,TotalbackupPer,TotalstartupDef,TotalstartupPer
0,Atlanta Hawks,513.1,59.53,520.0,78.5
1,Boston Celtics,522.1999999999999,57.91,529.8,88.89999999999999
2,Brooklyn Nets,534.8,55.349999999999994,540.7,82.24000000000001
3,Charlotte Hornets,540.8,71.64,524.7,82.00999999999999
4,Chicago Bulls,524.5,56.559999999999995,524.8,86.87
5,Cleveland Cavaliers,545.4,55.96,538.0,94.81000000000002
6,Dallas Mavericks,526.9,72.98,533.4,72.53999999999999
7,Denver Nuggets,552.4,77.58,557.3,86.27999999999999
8,Detroit Pistons,510.3,61.03,538.3,78.17
9,Golden State Warriors,507.70000000000005,62.86,502.40000000000003,102.60000000000001
10,Houston Rockets,525.4,73.61,532.1,87.88000000000001
11,Indiana Pacers,529.7,63.37,529.6999999999999,82.99999999999999
12,LA Clippers,537.7,60.43,516.5999999999999,95.92
13,Los Angeles Lakers,547.6,74.08,556.1999999999999,68.23
14,Memphis Grizzlies,519.9000000000001,58.63999999999999,527.0,78.16
15,Miami Heat,528.2,57.31999999999999,523.0,83.25
16,Milwaukee Bucks,527.8,78.22,537.4,79.82
17,Minnesota Timberwolves,535.4,50.410000000000004,549.4,88.37
18,New Orleans Pelicans,515.1,60.77,521.2,74.93
19,New York Knicks,541.2,72.78,551.6999999999999,79.95
20,Oklahoma City Thunder,522.6999999999999,64.13999999999999,515.8,77.4
21,Orlando Magic,542.3,56.26,537.0,81.41
22,Philadelphia 76ers,535.8,56.69,521.9,76.61000000000001
23,Phoenix Suns,540.5,60.099999999999994,555.0,79.85
24,Portland Trail Blazers,536.9,60.980000000000004,543.5,86.96000000000001
25,Sacramento Kings,542.3000000000001,58.120000000000005,545.4000000000001,82.0
26,San Antonio Spurs,493.9,73.61,514.7,89.77
27,Toronto Raptors,523.6,67.08,532.2,90.53999999999999
28,Utah Jazz,516.3,54.739999999999995,510.9,93.24
29,Washington Wizards,533.6,55.79,533.9,90.07000000000001
