id	date	home_team	home_team_score	visit_team	visit_team_score
400489091	2014-11-27	Brooklyn Nets	94	Los Angeles	99
400489107	2014-11-29	Houston	114	Brooklyn Nets	95
400489116	2014-11-30	Memphis	88	Brooklyn Nets	97
400489136	2014-12-03	Brooklyn Nets	87	Denver	111
400489150	2014-12-05	Brooklyn Nets	83	NY Knicks	113
400489168	2014-12-07	Milwaukee	82	Brooklyn Nets	90
400489200	2014-12-12	Brooklyn Nets	102	LA	93
400489207	2014-12-13	Detroit	103	Brooklyn Nets	99
400489232	2014-12-16	Brooklyn Nets	130	Philadelphia	94
400489247	2014-12-18	Brooklyn Nets	107	Washington	113
400489256	2014-12-20	Philadelphia	121	Brooklyn Nets	120
400489283	2014-12-23	Brooklyn Nets	86	Indiana	103
400489291	2014-12-25	Brooklyn Nets	78	Chicago	95
400489302	2014-12-27	Brooklyn Nets	104	Milwaukee	93
400489310	2014-12-28	Indiana	105	Brooklyn Nets	91
400489338	2014-12-31	San Antonio	113	Brooklyn Nets	92
400489349	2014-01-02	Oklahoma City	93	Brooklyn Nets	95
400489364	2014-01-04	Brooklyn Nets	89	Cleveland	82
400489379	2014-01-06	Brooklyn Nets	91	Atlanta	86
400489396	2014-01-08	Brooklyn Nets	102	Golden State	98
400489410	2014-01-10	Brooklyn Nets	104	Miami	95
400489416	2014-01-11	Toronto	96	Brooklyn Nets	80
400489452	2014-01-16	Atlanta	110	Brooklyn Nets	127
400489483	2014-01-20	NY Knicks	80	Brooklyn Nets	103
400489489	2014-01-21	Brooklyn Nets	101	Orlando	90
400489510	2014-01-24	Brooklyn Nets	107	Dallas	106
400489536	2014-01-27	Brooklyn Nets	103	Toronto	104
400489565	2014-01-31	Brooklyn Nets	95	Oklahoma City	120
400489570	2014-02-01	Indiana	97	Brooklyn Nets	96
400489585	2014-02-03	Brooklyn Nets	108	Philadelphia	102
400489610	2014-02-06	Brooklyn Nets	103	San Antonio	89
400489617	2014-02-07	Detroit	111	Brooklyn Nets	95
400489632	2014-02-09	Brooklyn Nets	93	New Orleans	81
400489654	2014-02-12	Brooklyn Nets	105	Charlotte	89
400489663	2014-02-13	Chicago	92	Brooklyn Nets	76
400489681	2014-02-19	Utah	99	Brooklyn Nets	105
400489705	2014-02-22	Golden State	93	Brooklyn Nets	86
400489712	2014-02-23	Los Angeles	102	Brooklyn Nets	108
400489734	2014-02-26	Portland	124	Brooklyn Nets	80
400489739	2014-02-27	Denver	89	Brooklyn Nets	112
400489751	2014-03-01	Milwaukee	98	Brooklyn Nets	107
400489764	2014-03-03	Brooklyn Nets	96	Chicago	80
400489781	2014-03-05	Brooklyn Nets	103	Memphis	94
400489811	2014-03-09	Brooklyn Nets	104	Sacramento	89
400489817	2014-03-10	Brooklyn Nets	101	Toronto	97
400489830	2014-03-12	Miami	95	Brooklyn Nets	96
400489855	2014-03-15	Washington	101	Brooklyn Nets	94
400489871	2014-03-17	Brooklyn Nets	108	Phoenix	95
400489883	2014-03-19	Brooklyn Nets	104	Charlotte	99
400489917	2014-03-23	Dallas	104	Brooklyn Nets	107
400489925	2014-03-24	New Orleans	109	Brooklyn Nets	104
400489934	2014-03-26	Charlotte	116	Brooklyn Nets	111
400489951	2014-03-28	Brooklyn Nets	108	Cleveland	97
400489968	2014-03-30	Brooklyn Nets	114	Minnesota	99
400489984	2014-04-01	Brooklyn Nets	105	Houston	96
400489988	2014-04-02	NY Knicks	110	Brooklyn Nets	81
400490007	2014-04-04	Brooklyn Nets	116	Detroit	104
400490020	2014-04-05	Philadelphia	101	Brooklyn Nets	105
400490031	2014-04-08	Miami	87	Brooklyn Nets	88
400490036	2014-04-09	Orlando	115	Brooklyn Nets	111
400490052	2014-04-11	Brooklyn Nets	88	Atlanta	93
400490072	2014-04-13	Brooklyn Nets	97	Orlando	88
400490087	2014-04-15	Brooklyn Nets	98	NY Knicks	109
400490097	2014-04-16	Cleveland	114	Brooklyn Nets	85
400488881	2014-10-30	New York Knicks	90	Milwaukee	83
400488891	2014-10-31	Chicago	82	New York Knicks	81
400488918	2014-11-03	New York Knicks	100	Minnesota	109
400488927	2014-11-05	New York Knicks	97	Charlotte	102
400488946	2014-11-08	Charlotte	91	New York Knicks	101
400488967	2014-11-10	New York Knicks	89	San Antonio	120
400488989	2014-11-13	Atlanta	91	New York Knicks	95
400488996	2014-11-14	New York Knicks	106	Houston	109
400489012	2014-11-16	New York Knicks	90	Atlanta	110
400489030	2014-11-19	Detroit	92	New York Knicks	86
400489036	2014-11-20	New York Knicks	96	Indiana	103
400489062	2014-11-23	Washington	98	New York Knicks	89
400489083	2014-11-25	Portland	102	New York Knicks	91
400489100	2014-11-27	LA	93	New York Knicks	80
400489111	2014-11-29	Denver	97	New York Knicks	95
400489127	2014-12-01	New York Knicks	99	New Orleans	103
400489157	2014-12-06	New York Knicks	121	Orlando	83
400489183	2014-12-10	Cleveland	109	New York Knicks	94
400489197	2014-12-11	New York Knicks	83	Chicago	78
400489218	2014-12-14	New York Knicks	111	Atlanta	106
400489234	2014-12-16	New York Knicks	101	Washington	102
400489248	2014-12-18	Milwaukee	101	New York Knicks	107
400489265	2014-12-21	New York Knicks	87	Memphis	95
400489282	2014-12-23	Orlando	98	New York Knicks	103
400489292	2014-12-25	New York Knicks	94	Oklahoma City	123
400489303	2014-12-27	New York Knicks	83	Toronto	95
400489311	2014-12-28	Toronto	115	New York Knicks	100
400489350	2014-01-02	San Antonio	101	New York Knicks	105
400489358	2014-01-03	Houston	102	New York Knicks	100
400489376	2014-01-05	Dallas	80	New York Knicks	92
400489385	2014-01-07	New York Knicks	89	Detroit	85
400489402	2014-01-09	New York Knicks	102	Miami	92
400489419	2014-01-11	Philadelphia	92	New York Knicks	102
400489430	2014-01-13	New York Knicks	98	Phoenix	96
400489435	2014-01-14	Charlotte	108	New York Knicks	98
400489451	2014-01-16	Indiana	117	New York Knicks	89
400489454	2014-01-17	New York Knicks	95	LA	109
400489499	2014-01-22	New York Knicks	106	Philadelphia	110
400489513	2014-01-24	New York Knicks	125	Charlotte	96
400489528	2014-01-26	New York Knicks	110	Los Angeles	103
400489560	2014-01-30	New York Knicks	117	Cleveland	86
400489578	2014-02-01	New York Knicks	91	Miami	106
400489587	2014-02-03	Milwaukee	101	New York Knicks	98
400489601	2014-02-05	New York Knicks	90	Portland	94
