id	date	home_team	home_team_score	visit_team	visit_team_score
311225018	2012-12-25	NY Knicks	106	Boston Celtics	104
311227014	2012-12-27	Miami	115	Boston Celtics	107
311228003	2012-12-28	New Orleans	97	Boston Celtics	78
311230002	2012-12-30	Boston Celtics	96	Detroit	85
320101027	2012-01-01	Washington	86	Boston Celtics	94
320102002	2012-01-02	Boston Celtics	100	Washington	92
320104002	2012-01-04	Boston Celtics	89	Brooklyn	70
320106002	2012-01-06	Boston Celtics	74	Indiana	87
320111002	2012-01-11	Boston Celtics	85	Dallas	90
320113002	2012-01-13	Boston Celtics	79	Chicago	88
320114011	2012-01-14	Indiana	97	Boston Celtics	83
320116002	2012-01-16	Boston Celtics	88	Oklahoma City	97
320118002	2012-01-18	Boston Celtics	96	Toronto	73
320120002	2012-01-20	Boston Celtics	71	Phoenix	79
320122027	2012-01-22	Washington	94	Boston Celtics	100
320123002	2012-01-23	Boston Celtics	87	Orlando	56
320126019	2012-01-26	Orlando	83	Boston Celtics	91
320127002	2012-01-27	Boston Celtics	94	Indiana	87
320129002	2012-01-29	Boston Celtics	87	Cleveland	88
320131005	2012-01-31	Cleveland	90	Boston Celtics	93
320201002	2012-02-01	Boston Celtics	100	Toronto	64
320203002	2012-02-03	Boston Celtics	91	NY Knicks	89
320205002	2012-02-05	Boston Celtics	98	Memphis	80
320207002	2012-02-07	Boston Celtics	94	Charlotte	84
320209002	2012-02-09	Boston Celtics	87	Los Angeles	88
320210028	2012-02-10	Toronto	86	Boston Celtics	74
320212002	2012-02-12	Boston Celtics	95	Chicago	91
320215002	2012-02-15	Boston Celtics	88	Detroit	98
320216004	2012-02-16	Chicago	89	Boston Celtics	80
320219008	2012-02-19	Detroit	96	Boston Celtics	81
320220006	2012-02-20	Dallas	89	Boston Celtics	73
320222025	2012-02-22	Oklahoma City	119	Boston Celtics	104
320228005	2012-02-28	Cleveland	83	Boston Celtics	86
320229002	2012-03-02	Boston Celtics	107	Milwaukee	94
320302002	2012-03-04	Boston Celtics	115	Brooklyn	111
320304002	2012-03-06	Boston Celtics	97	NY Knicks	92
320306002	2012-03-07	Boston Celtics	103	Houston	71
320307020	2012-03-09	Philadelphia	104	Boston Celtics	86
320309002	2012-03-11	Boston Celtics	97	Portland	94
320311013	2012-03-12	Los Angeles	85	Boston Celtics	94
320312012	2012-03-14	LA	103	Boston Celtics	105
320314009	2012-03-16	Golden State	120	Boston Celtics	95
320316023	2012-03-17	Sacramento	98	Boston Celtics	91
320317007	2012-03-19	Denver	76	Boston Celtics	79
320319001	2012-03-22	Atlanta	91	Boston Celtics	100
320322015	2012-03-23	Milwaukee	99	Boston Celtics	86
320323020	2012-03-25	Philadelphia	88	Boston Celtics	76
320325002	2012-03-26	Boston Celtics	95	Washington	102
320326030	2012-03-28	Charlotte	94	Boston Celtics	82
320328002	2012-03-30	Boston Celtics	79	Utah	100
320330016	2012-04-01	Minnesota	91	Boston Celtics	72
320401002	2012-04-04	Boston Celtics	86	Miami	87
320404002	2012-04-05	Boston Celtics	93	San Antonio	86
320405004	2012-04-07	Chicago	72	Boston Celtics	86
320407011	2012-04-08	Indiana	103	Boston Celtics	79
320408002	2012-04-10	Boston Celtics	107	Philadelphia	115
320410014	2012-04-11	Miami	88	Boston Celtics	86
320411002	2012-04-13	Boston Celtics	84	Atlanta	79
320413028	2012-04-14	Toronto	82	Boston Celtics	94
320414017	2012-04-15	Brooklyn	82	Boston Celtics	94
320415030	2012-04-17	Charlotte	118	Boston Celtics	110
320417018	2012-04-18	NY Knicks	102	Boston Celtics	98
320418002	2012-04-20	Boston Celtics	97	Orlando	92
320420001	2012-04-24	Atlanta	78	Boston Celtics	66
320424002	2012-04-26	Boston Celtics	87	Miami	74
320426002	2012-12-26	Boston Celtics	84	Milwaukee	90
311226027	2012-12-27	Washington	70	Brooklyn Nets	106
311227017	2012-12-29	Brooklyn Nets	94	Atlanta	78
311229019	2012-12-30	Orlando	105	Brooklyn Nets	98
311230001	2012-01-01	Atlanta	98	Brooklyn Nets	82
320101005	2012-01-02	Cleveland	94	Brooklyn Nets	108
320102017	2012-01-04	Brooklyn Nets	89	Indiana	70
320106028	2012-01-07	Toronto	90	Brooklyn Nets	101
320107017	2012-01-09	Brooklyn Nets	101	Miami	106
320109017	2012-01-11	Brooklyn Nets	123	Atlanta	115
320111007	2012-01-13	Denver	103	Brooklyn Nets	110
320113021	2012-01-14	Phoenix	107	Brooklyn Nets	94
320114026	2012-01-16	Utah	101	Brooklyn Nets	91
320116012	2012-01-18	LA	107	Brooklyn Nets	100
320118017	2012-01-21	Brooklyn Nets	74	Golden State	84
320121017	2012-01-22	Brooklyn Nets	97	Oklahoma City	87
320122017	2012-01-23	Brooklyn Nets	110	Charlotte	95
320123004	2012-01-25	Chicago	90	Brooklyn Nets	97
320125020	2012-01-27	Philadelphia	96	Brooklyn Nets	99
320127005	2012-01-29	Cleveland	73	Brooklyn Nets	94
320129017	2012-01-31	Brooklyn Nets	106	Toronto	99
320131011	2012-02-01	Indiana	99	Brooklyn Nets	96
320201017	2012-02-03	Brooklyn Nets	105	Detroit	108
320203017	2012-02-04	Brooklyn Nets	99	Minnesota	92
320204018	2012-02-06	NY Knicks	87	Brooklyn Nets	108
320206017	2012-02-08	Brooklyn Nets	92	Chicago	99
320208017	2012-02-10	Brooklyn Nets	109	Detroit	92
320210008	2012-02-11	Detroit	89	Brooklyn Nets	103
320211017	2012-02-15	Brooklyn Nets	100	San Antonio	105
320215017	2012-02-16	Brooklyn Nets	93	Memphis	88
320216011	2012-02-18	Indiana	85	Brooklyn Nets	97
320218004	2012-02-19	Chicago	85	Brooklyn Nets	92
320219017	2012-02-20	Brooklyn Nets	92	Milwaukee	100
320220018	2012-02-22	NY Knicks	91	Brooklyn Nets	108
320222017	2012-02-28	Brooklyn Nets	92	Orlando	93
320228006	2012-03-02	Dallas	107	Brooklyn Nets	94
320304030	2012-03-06	Charlotte	108	Brooklyn Nets	78
320306014	2012-03-07	Miami	101	Brooklyn Nets	100
320307017	2012-03-09	Brooklyn Nets	74	LA	83
320309030	2012-03-10	Charlotte	106	Brooklyn Nets	112
320310017	2012-03-12	Brooklyn Nets	99	Houston	105
320312017	2012-03-14	Brooklyn Nets	98	Milwaukee	84
320314017	2012-03-16	Brooklyn Nets	86	Toronto	70
320316019	2012-03-17	Orlando	94	Brooklyn Nets	102
320317017	2012-03-19	Brooklyn Nets	100	New Orleans	105
320319017	2012-03-21	Brooklyn Nets	89	Cleveland	108
320321017	2012-03-23	Brooklyn Nets	93	Washington	84
320323001	2012-03-24	Atlanta	102	Brooklyn Nets	89
320324017	2012-03-26	Brooklyn Nets	84	Charlotte	105
320326017	2012-03-28	Brooklyn Nets	100	Utah	84
320328017	2012-03-30	Brooklyn Nets	100	Indiana	102
