Team,startupPlayers,DEFstartup,backupPlayers,DEFbackup
Atlanta Hawks,Al Horford,101,Dennis Schroder,102.7
Atlanta Hawks,Kyle Korver,99.8,Kent Bazemore,101.9
Atlanta Hawks,Paul Millsap,101.6,Mike Scott,102
Atlanta Hawks,Jeff Teague,99.9,Pero Antic,99
Atlanta Hawks,DeMarre Carroll,101.9,Shelvin Mack,101.8
Boston Celtics,Avery Bradley,102.5,Marcus Smart,101.3
Boston Celtics,Tyler Zeller,102.5,Kelly Olynyk,100
Boston Celtics,Evan Turner,103.2,Jae Crowder,103.1
Boston Celtics,Jared Sullinger,103.4,Phil Pressey,97.3
Boston Celtics,Brandon Bass,102.7,Isaiah Thomas,104.5
Brooklyn Nets,Joe Johnson,106.2,Jarrett Jack,106.8
Brooklyn Nets,Deron Williams,104.5,Bojan Bogdanovic,107.9
Brooklyn Nets,Mason Plumlee,107.2,Alan Anderson,101.3
Brooklyn Nets,Brook Lopez,105.3,Markel Brown,105.9
Brooklyn Nets,Kevin Garnett,102.5,Mirza Teletovic,99.8
Charlotte Hornets,Gerald Henderson,99.1,Marvin Williams,102.2
Charlotte Hornets,Al Jefferson,101.9,Brian Roberts,101.3
Charlotte Hornets,Kemba Walker,102.2,Bismack Biyombo,98.7
Charlotte Hornets,Michael Kidd-Gilchrist,96.3,Lance Stephenson,101.8
Charlotte Hornets,Cody Zeller,98.8,Jason Maxiell,102.6
Chicago Bulls,Pau Gasol,101.7,Nikola Mirotic,99.1
Chicago Bulls,Joakim Noah,101.4,Tony Snell,101.4
Chicago Bulls,Jimmy Butler,101.8,Kirk Hinrich,101.4
Chicago Bulls,Mike Dunleavy,100.4,Aaron Brooks,101.7
Chicago Bulls,Derrick Rose,101,Taj Gibson,102.1
Cleveland Cavaliers,Kyrie Irving,104.5,Tristan Thompson,104.3
Cleveland Cavaliers,Kevin Love,103,Matthew Dellavedova,103.9
Cleveland Cavaliers,LeBron James,102.4,Shawn Marion,104.1
Cleveland Cavaliers,JR Smith,105.1,James Jones,112.5
Cleveland Cavaliers,Timofey Mozgov,103.5,Mike Miller,104.7
Detroit Pistons,Andre Drummond,105.5,Caron Butler,103.6
Detroit Pistons,Kentavious Caldwell-Pope,104.3,Jodie Meeks,105
Detroit Pistons,Greg Monroe,103.7,D.J. Augustin,105.1
Detroit Pistons,Brandon Jennings,103.1,Anthony Tolliver,103.1
Detroit Pistons,Kyle Singler,106.1,Joel Anthony,97.4
Indiana Pacers,Solomon Hill,103.5,Luis Scola,100.3
Indiana Pacers,Roy Hibbert,101.1,Rodney Stuckey,100.2
Indiana Pacers,David West,101.2,Damjan Rudez,100.9
Indiana Pacers,CJ Miles,98.4,C.J. Watson,101.1
Indiana Pacers,George Hill,99.8,Ian Mahinmi,99.3
Miami Heat,Chris Bosh,103.9,Udonis Haslem,104.5
Miami Heat,Dwyane Wade,105.3,James Ennis III,100.7
Miami Heat,Mario Chalmers,102.8,Chris Andersen,99.9
Miami Heat,Luol Deng,105.1,Shabazz Napier,101.3
Miami Heat,Hassan Whiteside,105.6,Norris Cole,105.5
Milwaukee Bucks,Giannis Antetokounmpo,99.7,Jerryd Bayless,98.9
Milwaukee Bucks,Khris Middleton,96,Jared Dudley,96.8
Milwaukee Bucks,Brandon Knight,101.3,O.J. Mayo,100.2
Milwaukee Bucks,Zaza Pachulia,97,John Henson,97.6
Milwaukee Bucks,Ersan Ilyasova,101.4,Ersan Ilyasova,101.4
New York Knicks,Jose Calderon,111.2,Shane Larkin,106.9
New York Knicks,Langston Galloway,105.9,Tim Hardaway Jr.,108.1
New York Knicks,Carmelo Anthony,109.3,Quincy Acy,102.4
New York Knicks,Lou Amundson,103.6,Cole Aldrich,106.7
New York Knicks,Jason Smith,111.1,Travis Wear,101.8
Orlando Magic,Nikola Vucevic,106.6,Dewayne Dedmon,98.5
Orlando Magic,Victor Oladipo,106.8,Evan Fournier,105.6
Orlando Magic,Tobias Harris,106.7,Ben Gordon,106.2
Orlando Magic,Elfrid Payton,105,Willie Green,99.3
Orlando Magic,Channing Frye,107.4,Kyle O'Quinn,102.5
Philadelphia 76ers,Nerlens Noel,100.4,JaKarr Sampson,103.9
Philadelphia 76ers,Luc Mbah a Moute,100.5,Henry Sims,101.8
Philadelphia 76ers,Robert Covington,100.5,Jerami Grant,100.8
Philadelphia 76ers,Michael Carter-Williams,98.3,Furkan Aldemir,108.4
Philadelphia 76ers,Tony Wroten,106.6,KJ McDaniels,100.5
Toronto Raptors,Jonas Valanciunas,105.6,Patrick Patterson,105.3
Toronto Raptors,Amir Johnson,104.4,Lou Williams,104.6
Toronto Raptors,DeMar DeRozan,103.9,Tyler Hansbrough,101.6
Toronto Raptors,Kyle Lowry,104.5,James Johnson,101.9
Toronto Raptors,Terrence Ross,107.7,Greivis Vasquez,104.8
Washington Wizards,Marcin Gortat,97.5,Kevin Seraphin,104
Washington Wizards,John Wall,98.1,Rasual Butler,101.9
Washington Wizards,Paul Pierce,98.6,Otto Porter Jr.,102.5
Washington Wizards,Nene,97.8,Kris Humphries,101.3
Washington Wizards,Bradley Beal,98.9,Garrett Temple,97.8
Dallas Mavericks,Monta Ellis,103.4,J.J. Barea,104.8
Dallas Mavericks,Dirk Nowitzki,104.8,Devin Harris,104.6
Dallas Mavericks,Tyson Chandler,102.7,Richard Jefferson,102.5
Dallas Mavericks,Chandler Parsons,102.9,Al-Farouq Aminu,101.4
Dallas Mavericks,Rajon Rondo,103.9,Charlie Villanueva,106.8
Denver Nuggets,Ty Lawson,106.5,JJ Hickson,105.1
Denver Nuggets,Wilson Chandler,107.8,Jusuf Nurkic,101.8
Denver Nuggets,Kenneth Faried,107.1,Danilo Gallinari,103.3
Denver Nuggets,Arron Afflalo,105.6,Darrell Arthur,98.7
Denver Nuggets,Timofey Mozgov,103.5,Gary Harris,107.6
Golden State Warriors,Harrison Barnes,97.9,Shaun Livingston,99.2
Golden State Warriors,Stephen Curry,97.2,Andre Iguodala,96.8
Golden State Warriors,Draymond Green,96,Marreese Speights,101
Golden State Warriors,Klay Thompson,97.7,Leandro Barbosa,101.7
Golden State Warriors,Andrew Bogut,95.2,David Lee,102.6
Houston Rockets,Trevor Ariza,100,Jason Terry,99
Houston Rockets,James Harden,101.9,Joey Dorsey,102.3
Houston Rockets,Donatas Motiejunas,101,Corey Brewer,103.3
Houston Rockets,Patrick Beverley,102.3,Josh Smith,101.8
Houston Rockets,Dwight Howard,97,Kostas Papanikolaou,101.5
LA Clippers,Chris Paul,102.9,Glen Davis,99.8
LA Clippers,DeAndre Jordan,101.9,Spencer Hawes,104.6
LA Clippers,JJ Redick,101.6,Jamal Crawford,105.6
LA Clippers,Matt Barnes,102.1,Hedo Turkoglu,104.3
LA Clippers,Blake Griffin,103.5,Austin Rivers,104.6
