Team,startupPlayers,DEFstartup,backupPlayers,DEFbackup
Los Angeles Lakers,Wesley Johnson,108.8,Ed Davis,108.4
Los Angeles Lakers,Jordan Hill,109.5,Jeremy Lin,108.5
Los Angeles Lakers,Jordan Clarkson,109,Carlos Boozer,109.9
Los Angeles Lakers,Wayne Ellington,103.9,Robert Sacre,102.8
Los Angeles Lakers,Kobe Bryant,112.6,Ryan Kelly,107.3
Memphis Grizzlies,Marc Gasol,101.9,Kosta Koufos,94.8
Memphis Grizzlies,Courtney Lee,102.8,Beno Udrih,101
Memphis Grizzlies,Zach Randolph,99.9,Vince Carter,100
Memphis Grizzlies,Mike Conley,101.5,Jon Leuer,98
Memphis Grizzlies,Tony Allen,94.9,Nick Calathes,92.2
Minnesota Timberwolves,Andrew Wiggins,110.3,Chase Budinger,109
Minnesota Timberwolves,Gorgui Dieng,108.6,Anthony Bennett,113.2
Minnesota Timberwolves,Thaddeus Young,106.9,Robbie John Hummel,111.8
Minnesota Timberwolves,Zach LaVine,112.4,Mo Williams,104.4
Minnesota Timberwolves,Kevin Martin,111.7,Nikola Pekovic,105.9
New Orleans Pelicans,Tyreke Evans,105.3,Alexis Ajinca,104
New Orleans Pelicans,Omer Asik,103.3,Dante Cunningham,103.7
New Orleans Pelicans,Anthony Davis,103.3,Ryan Anderson,108.7
New Orleans Pelicans,Eric Gordon,104.6,Quincy Pondexter,103.2
New Orleans Pelicans,Jrue Holiday,105.3,Jimmer Fredette,104.9
Oklahoma City Thunder,Russell Westbrook,105,Anthony Morrow,102.1
Oklahoma City Thunder,Steven Adams,102.9,Nick Collison,100.3
Oklahoma City Thunder,Andre Roberson,100.1,Kendrick Perkins,100.3
Oklahoma City Thunder,Serge Ibaka,101.2,Reggie Jackson,102.8
Oklahoma City Thunder,Kevin Durant,99.5,Dion Waiters,104.2
Phoenix Suns,Markieff Morris,101.4,Marcus Morris,105.8
Phoenix Suns,Eric Bledsoe,102.4,Gerald Green,106
Phoenix Suns,PJ Tucker,102.7,Miles Plumlee,105.3
Phoenix Suns,Goran Dragic,104,Brandan Wright,103.6
Phoenix Suns,Alex Len,101.5,TJ Warren,103.9
Portland Trail Blazers,Damian Lillard,102.7,Steve Blake,100.5
Portland Trail Blazers,LaMarcus Aldridge,102.5,Chris Kaman,102.7
Portland Trail Blazers,Nicolas Batum,103,CJ McCollum,97.7
Portland Trail Blazers,Wesley Matthews,99.4,Meyers Leonard,99.6
Portland Trail Blazers,Robin Lopez,102.3,Allen Crabbe,101.9
Sacramento Kings,Ben McLemore,104.5,Derrick Williams,109.6
Sacramento Kings,Rudy Gay,106.9,Nik Stauskas,108.4
Sacramento Kings,Jason Thompson,106.8,Carl Landry,107.1
Sacramento Kings,DeMarcus Cousins,102.3,Ray McCallum,109.2
Sacramento Kings,Darren Collison,104.4,Omri Casspi,107.8
San Antonio Spurs,Danny Green,98.4,Boris Diaw,98.8
San Antonio Spurs,Tim Duncan,99.3,Matt Bonner,103.5
San Antonio Spurs,Tony Parker,102,Aron Baynes,97.7
San Antonio Spurs,Kawhi Leonard,97.1,Manu Ginobili,96.7
San Antonio Spurs,Tiago Splitter,97.3,Marco Belinelli,105.1
Utah Jazz,Gordon Hayward,102.7,Rudy Gobert,98.8
Utah Jazz,Derrick Favors,102.3,Joe Ingles,102.1
Utah Jazz,Enes Kanter,108.9,Trevor Booker,101.8
Utah Jazz,Trey Burke,104.5,Rodney Hood,98.7
Utah Jazz,Dante Exum,99,Elijah Millsap,95.4
