,Players PER,Players name,season
0,33.08,Thanasis Antetokounmpo,2016
1,31.56,Stephen Curry,2016
2,27.77,Boban Marjanovic,2016
3,27.64,LeBron James,2016
4,26.11,Kawhi Leonard,2016
5,25.36,James Harden,2016
6,24.09,Enes Kanter,2016
7,23.67,DeMarcus Cousins,2016
8,22.59,Karl-Anthony Towns,2016
9,22.51,Carl Landry,2016
10,22.25,Damian Lillard,2016
11,22.2,Kyle Lowry,2016
12,21.8,Brook Lopez,2016
13,21.71,Derrick Favors,2016
14,21.58,Nikola Jokic,2016
15,21.35,Cole Aldrich,2016
16,21.33,Jimmy Butler,2016
17,21.15,Nikola Vucevic,2016
18,21.06,Kenneth Faried,2016
19,20.87,Kemba Walker,2016
20,20.42,Dwyane Wade,2016
21,20.29,Chris Bosh,2016
22,20.03,Jarnell Stokes,2016
23,19.96,Kyrie Irving,2016
24,19.74,Jrue Holiday,2016
25,32.11,Rakeem Christmas,2016
26,28.25,Kevin Durant,2016
27,27.64,Russell Westbrook,2016
28,26.31,Chris Paul,2016
29,25.69,Hassan Whiteside,2016
30,25.1,Anthony Davis,2016
31,24.02,Coty Clarke,2016
32,22.63,Jonas Valanciunas,2016
33,22.57,Michael Beasley,2016
34,22.43,LaMarcus Aldridge,2016
35,22.22,Blake Griffin,2016
36,21.87,Greg Monroe,2016
37,21.76,Pau Gasol,2016
38,21.58,DeMar DeRozan,2016
39,21.54,Isaiah Thomas,2016
40,21.33,Paul Millsap,2016
41,21.3,Andre Drummond,2016
42,21.15,Alan Williams,2016
43,20.98,Paul George,2016
44,20.66,DeAndre Jordan,2016
45,20.38,Carmelo Anthony,2016
46,20.1,Eric Bledsoe,2016
47,20.0,JaVale McGee,2016
48,19.83,John Wall,2016
49,19.64,David Lee,2016
50,19.62,Reggie Jackson,2016
51,19.45,Mike Conley,2016
52,19.22,Willie Reed,2016
53,19.09,Dirk Nowitzki,2016
54,19.04,Marcin Gortat,2016
55,18.99,Dwight Howard,2016
56,18.76,Ed Davis,2016
57,18.67,Klay Thompson,2016
58,18.39,Zach Randolph,2016
59,18.36,Brandan Wright,2016
60,18.26,Al Jefferson,2016
61,17.96,Tyreke Evans,2016
62,17.84,James Ennis III,2016
63,17.8,Kristaps Porzingis,2016
64,17.79,CJ McCollum,2016
65,17.76,Lou Williams,2016
66,17.69,Jeff Withey,2016
67,17.66,David West,2016
