,Team,TotalbackupDef,TotalbackupPer,TotalstartupDef,TotalstartupPer
0,Atlanta Hawks,490.0,62.989999999999995,496.20000000000005,85.38
1,Boston Celtics,475.70000000000005,47.21,482.80000000000007,86.75
2,Brooklyn Nets,534.5,70.5,534.0,67.59
3,Charlotte Hornets,536.8,60.85,543.0,62.05
4,Chicago Bulls,461.00000000000006,73.65,484.6,88.91
5,Cleveland Cavaliers,514.1,62.25,538.6,73.08999999999999
6,Detroit Pistons,506.1,52.65,526.0,76.17
7,Indiana Pacers,506.70000000000005,63.85999999999999,497.79999999999995,86.04
8,Miami Heat,488.29999999999995,49.72,482.90000000000003,99.39
9,Milwaukee Bucks,488.20000000000005,72.38,529.0,80.67
10,New York Knicks,487.9,63.74,495.1,80.44
11,Orlando Magic,508.0,53.68000000000001,508.19999999999993,85.33999999999999
12,Philadelphia 76ers,482.2,78.95,481.19999999999993,80.09
13,Toronto Raptors,500.4,56.78,513.4,69.63
14,Washington Wizards,517.3,64.55,524.1,74.4
15,Dallas Mavericks,504.0,75.61,494.5,76.53
16,Denver Nuggets,510.8,74.68,522.7,85.99
17,Golden State Warriors,532.6999999999999,72.51,531.1999999999999,82.41
18,Houston Rockets,514.1,77.61,507.2,81.30000000000001
19,LA Clippers,513.2,49.839999999999996,512.4,92.31
20,Los Angeles Lakers,517.5,52.5,501.69999999999993,84.51
21,Memphis Grizzlies,490.79999999999995,59.92,493.79999999999995,82.87
22,Minnesota Timberwolves,517.3000000000001,63.120000000000005,519.0,83.21
23,New Orleans Pelicans,505.70000000000005,60.98,514.5,76.27000000000001
24,Oklahoma City Thunder,503.1,62.739999999999995,490.80000000000007,86.74000000000001
25,Phoenix Suns,525.5999999999999,68.30000000000001,514.9,84.24000000000001
26,Portland Trail Blazers,534.1,61.790000000000006,505.29999999999995,82.53999999999999
27,Sacramento Kings,525.3,51.36,537.9,89.72
28,San Antonio Spurs,506.70000000000005,72.44000000000001,502.59999999999997,90.06
29,Utah Jazz,510.6,67.5,522.9,84.76
