,Team,TotalbackupDef,TotalbackupPer,TotalstartupDef,TotalstartupPer
0,Atlanta Hawks,514.9,68.95,510.4,76.52
1,Boston Celtics,502.9,68.37,499.49999999999994,77.78
2,Brooklyn Nets,519.1,69.79,515.6,83.72
3,Charlotte Hornets,540.5,63.019999999999996,547.4000000000001,71.8
4,Chicago Bulls,501.59999999999997,68.46,499.70000000000005,71.98
5,Cleveland Cavaliers,527.4,64.80000000000001,540.4,72.98
6,Detroit Pistons,537.1,81.11,517.4,64.41
7,Indiana Pacers,487.59999999999997,54.46,481.30000000000007,82.75
8,Miami Heat,505.7,64.34,496.5,98.97
9,Milwaukee Bucks,513.2,67.72,510.9,78.73
10,New York Knicks,514.4,72.22,521.6,84.13
11,Orlando Magic,533.0,65.13000000000001,530.3000000000001,72.94
12,Philadelphia 76ers,515.2,61.64,511.90000000000003,75.79
13,Toronto Raptors,529.6,70.81,513.9,80.93
14,Washington Wizards,504.1,59.58,501.1,64.37
15,Dallas Mavericks,515.7,73.9,524.1999999999999,84.59
16,Denver Nuggets,511.5999999999999,84.82000000000001,509.5,85.7
17,Golden State Warriors,509.3,60.34,515.5999999999999,78.17
18,Houston Rockets,514.1,68.57000000000001,520.0,83.39
19,LA Clippers,488.6,72.38,518.0,90.43
20,Los Angeles Lakers,516.1,59.14,516.3,87.88
21,Memphis Grizzlies,509.5,61.629999999999995,481.4,84.78999999999999
22,Minnesota Timberwolves,511.4,60.88000000000001,518.0,81.75000000000001
23,New Orleans Pelicans,540.3000000000001,65.64,536.9999999999999,86.28
24,Oklahoma City Thunder,493.3,63.42,494.1,92.77
25,Phoenix Suns,533.9,63.81,524.3,76.24
26,Portland Trail Blazers,534.1,47.15,535.2,86.47
27,Sacramento Kings,550.0,63.84,540.7,80.78999999999999
28,San Antonio Spurs,503.50000000000006,57.260000000000005,486.1,96.92
29,Utah Jazz,508.3,78.14999999999999,528.4,78.00999999999999
