,Team,TotalbackupDef,TotalbackupPer,TotalstartupDef,TotalstartupPer
0,Atlanta Hawks,488.9,67.47,496.80000000000007,81.97
1,Boston Celtics,498.29999999999995,67.06,509.50000000000006,83.45
2,Brooklyn Nets,544.4,72.36000000000001,536.3,72.36999999999999
3,Charlotte Hornets,495.9,72.9,517.6,76.57
4,Chicago Bulls,519.4,58.42,528.2,81.4
5,Cleveland Cavaliers,507.8,57.93000000000001,516.8,93.74000000000001
6,Detroit Pistons,518.2,57.32000000000001,518.5,80.36
7,Indiana Pacers,505.3,66.28,499.19999999999993,80.16
8,Miami Heat,503.40000000000003,61.190000000000005,510.1,96.99
9,Milwaukee Bucks,521.9,60.470000000000006,530.5,86.39
10,New York Knicks,521.1,68.02,527.6,79.14999999999999
11,Orlando Magic,514.2,73.21,524.9,82.84
12,Philadelphia 76ers,533.9,60.01,533.0999999999999,74.31
13,Toronto Raptors,506.1,64.26,524.5,91.49
14,Washington Wizards,513.2,45.16,519.5,81.24
15,Dallas Mavericks,516.1999999999999,69.83,521.2,77.25
16,Denver Nuggets,529.9,61.550000000000004,534.6,84.41999999999999
17,Golden State Warriors,509.6,65.84,494.3,97.78
18,Houston Rockets,530.2,54.81,525.8,88.69
19,LA Clippers,509.90000000000003,65.88000000000001,497.0,94.05
20,Los Angeles Lakers,533.1,69.97,561.5,67.66
21,Memphis Grizzlies,518.6999999999999,69.35,523.5999999999999,80.23
22,Minnesota Timberwolves,541.7,69.28,520.3000000000001,75.49
23,New Orleans Pelicans,529.2,74.13,534.8000000000001,76.23
24,Oklahoma City Thunder,522.0,58.650000000000006,506.7,95.65
25,Phoenix Suns,534.2,64.28999999999999,531.0,73.93
26,Portland Trail Blazers,524.8,68.72,530.7,78.67
27,Sacramento Kings,533.2,69.22,531.1,80.08000000000001
28,San Antonio Spurs,480.20000000000005,77.24,477.90000000000003,92.22999999999999
29,Utah Jazz,505.50000000000006,68.23,508.70000000000005,82.04
