,Players PER,Players name,season
0,44.4,Sim Bhullar,2015
1,31.48,Tyrus Thomas,2015
2,29.12,Russell Westbrook,2015
3,27.65,Kevin Durant,2015
4,26.26,Hassan Whiteside,2015
5,26.01,LeBron James,2015
6,22.86,Blake Griffin,2015
7,22.82,Arinze Onuaku,2015
8,22.73,Pau Gasol,2015
9,22.09,Kawhi Leonard,2015
10,21.73,Marc Gasol,2015
11,21.6,Rudy Gobert,2015
12,21.57,Kyrie Irving,2015
13,21.5,Andre Drummond,2015
14,21.43,Al Horford,2015
15,21.26,Greg Monroe,2015
16,20.86,Klay Thompson,2015
17,20.64,Jeff Teague,2015
18,20.6,Jonas Valanciunas,2015
19,20.44,Brandan Wright,2015
20,20.36,Enes Kanter,2015
21,20.12,Tyson Chandler,2015
22,20.01,Shayne Whittington,2015
23,20.0,Ed Davis,2015
24,19.92,John Wall,2015
25,40.93,Eric Moreland,2015
26,30.89,Anthony Davis,2015
27,28.06,Stephen Curry,2015
28,26.76,James Harden,2015
29,26.04,Chris Paul,2015
30,25.29,DeMarcus Cousins,2015
31,22.85,LaMarcus Aldridge,2015
32,22.76,Brook Lopez,2015
33,22.69,Tim Duncan,2015
34,21.86,Derrick Favors,2015
35,21.62,Nikola Vucevic,2015
36,21.58,Carmelo Anthony,2015
37,21.52,George Hill,2015
38,21.44,Dwyane Wade,2015
39,21.32,Jimmy Butler,2015
40,21.05,DeAndre Jordan,2015
41,20.79,Damian Lillard,2015
42,20.63,Isaiah Thomas,2015
43,20.58,Jeremy Evans,2015
44,20.4,Amar'e Stoudemire,2015
45,20.24,Gordon Hayward,2015
46,20.1,Paul Millsap,2015
47,20.01,Alexis Ajinca,2015
48,19.99,Shabazz Muhammad,2015
49,19.9,Lou Williams,2015
50,19.87,Chris Bosh,2015
51,19.75,Al Jefferson,2015
52,19.58,Marreese Speights,2015
53,19.51,Alexey Shved,2015
54,19.31,Dwight Howard,2015
55,19.01,Tyler Zeller,2015
56,18.89,Kevin Love,2015
57,18.66,Jarnell Stokes,2015
58,18.5,Ty Lawson,2015
59,18.46,Kenneth Faried,2015
60,18.28,Marcin Gortat,2015
61,18.08,John Henson,2015
62,18.04,Mason Plumlee,2015
63,17.93,Nikola Mirotic,2015
64,17.9,David Lee,2015
65,17.77,Tyreke Evans,2015
66,17.69,Kobe Bryant,2015
67,17.66,Kemba Walker,2015
68,17.5,Charlie Villanueva,2015
69,17.46,DeMar DeRozan,2015
70,17.26,Gorgui Dieng,2015
71,17.17,Brandon Knight,2015
72,16.9,Ersan Ilyasova,2015
73,16.82,Jerome Adolphus Jordan,2015
74,16.76,Tobias Harris,2015
75,19.76,Rudy Gay,2015
76,19.74,Brandon Jennings,2015
77,19.54,Zach Randolph,2015
78,19.33,Kyle Lowry,2015
79,19.26,Dirk Nowitzki,2015
80,18.98,Tiago Splitter,2015
81,18.82,Jrue Holiday,2015
82,18.61,Mike Conley,2015
83,18.47,Eric Bledsoe,2015
84,18.31,Terrence Jones,2015
85,18.16,Cole Aldrich,2015
86,18.08,Mike Muscala,2015
87,17.93,Jared Sullinger,2015
88,17.93,James Johnson,2015
89,17.79,James Michael McAdoo,2015
90,17.74,Anderson Varejao,2015
91,17.67,Jeff Withey,2015
92,17.53,Darren Collison,2015
93,17.47,Goran Dragic,2015
94,17.38,Chris Kaman,2015
95,17.24,Reggie Jackson,2015
96,16.94,Jordan Clarkson,2015
97,16.84,Luis Scola,2015
98,16.81,Danilo Gallinari,2015
99,16.73,Kevin Martin,2015
100,16.71,Andrea Bargnani,2015
101,16.69,Nikola Pekovic,2015
102,16.6,Serge Ibaka,2015
103,16.59,Monta Ellis,2015
104,16.5,Carlos Boozer,2015
105,16.39,Brandon Bass,2015
106,16.26,Robin Lopez,2015
107,16.21,Jordan Hill,2015
108,16.2,Manu Ginobili,2015
109,16.12,Chris Andersen,2015
110,16.06,David West,2015
111,16.0,Bernard James,2015
112,15.97,Aron Baynes,2015
113,15.94,Derrick Rose,2015
114,15.94,Tony Parker,2015
115,15.82,Andrew Bogut,2015
116,15.74,Thaddeus Young,2015
117,15.73,Deron Williams,2015
118,15.69,Ryan Anderson,2015
119,15.68,Tristan Thompson,2015
120,15.57,Cory Joseph,2015
121,15.5,Kris Humphries,2015
122,15.49,Beno Udrih,2015
123,15.48,Mo Williams,2015
124,15.47,Roy Hibbert,2015
125,16.71,Jamal Crawford,2015
126,16.64,Mitch McGary,2015
127,16.59,Timofey Mozgov,2015
128,16.55,Danny Green,2015
129,16.43,Draymond Green,2015
130,16.37,Chandler Parsons,2015
131,16.23,JJ Redick,2015
132,16.21,Festus Ezeli,2015
133,16.15,Wesley Matthews,2015
134,16.1,Taj Gibson,2015
135,16.02,Lester Hudson,2015
136,15.98,Victor Oladipo,2015
137,15.94,DeMarre Carroll,2015
138,15.94,John Jenkins,2015
139,15.93,Kelly Olynyk,2015
140,15.81,Markieff Morris,2015
141,15.74,Dennis Schroder,2015
142,15.7,Khris Middleton,2015
143,15.68,Zaza Pachulia,2015
144,15.65,Jeremy Lin,2015
145,15.55,Luol Deng,2015
146,15.49,Omer Asik,2015
147,15.48,Rodney Stuckey,2015
148,15.47,Gerald Green,2015
149,15.43,C.J. Watson,2015
150,15.43,Amir Johnson,2015
151,15.33,Leandro Barbosa,2015
152,15.29,Thomas Robinson,2015
153,15.25,Larry Sanders,2015
154,15.23,Paul Pierce,2015
155,15.14,Michael Kidd-Gilchrist,2015
156,15.14,J.J. Barea,2015
157,15.06,Marcus Thornton,2015
158,14.99,Jonas Jerebko,2015
159,14.96,Jeremy Lamb,2015
160,14.93,JaMychal Green,2015
161,14.92,Josh Smith,2015
162,14.89,Giannis Antetokounmpo,2015
163,14.88,Anthony Morrow,2015
164,14.85,Meyers Leonard,2015
165,14.8,Kyle Korver,2015
166,14.74,Joel Anthony,2015
167,14.68,Tony Allen,2015
168,14.67,Justin Hamilton,2015
169,14.6,Bryce Cotton,2015
170,14.52,Henry Sims,2015
171,14.48,Jeff Green,2015
172,14.45,Omri Casspi,2015
173,14.44,Jeff Ayres,2015
174,14.39,JJ Hickson,2015
175,15.35,Joakim Noah,2015
176,15.31,Trevor Booker,2015
177,15.27,Kevin Garnett,2015
178,15.24,Ricky Rubio,2015
179,15.18,Bismack Biyombo,2015
