,id,date,home_team,home_team_score,visit_team,visit_team_score,WINrate
0,400488879,2014-10-30,Toronto,93,Boston Celtics,87,1.0689655172413792
1,400488897,2014-11-01,Boston Celtics,98,Milwaukee,105,0.9333333333333333
2,400488914,2014-11-03,Detroit,87,Boston Celtics,77,1.12987012987013
3,400488922,2014-11-04,Memphis,95,Boston Celtics,88,1.0795454545454546
4,400488937,2014-11-06,Boston Celtics,97,Utah,87,1.1149425287356323
5,400488948,2014-11-08,Orlando,89,Boston Celtics,91,0.978021978021978
6,400488962,2014-11-09,Miami,110,Boston Celtics,111,0.990990990990991
7,400488974,2014-11-11,Boston Celtics,120,Orlando,105,1.1428571428571428
8,400488986,2014-11-13,Boston Celtics,83,Charlotte,89,0.9325842696629213
9,400489001,2014-11-15,Boston Celtics,96,Portland,109,0.8807339449541285
10,400489015,2014-11-16,Minnesota,106,Boston Celtics,88,1.2045454545454546
11,400489032,2014-11-19,Houston,109,Boston Celtics,85,1.2823529411764707
12,400489043,2014-11-20,San Antonio,104,Boston Celtics,93,1.118279569892473
13,400489052,2014-11-22,Boston Celtics,82,Indiana,97,0.845360824742268
14,400489063,2014-11-23,Atlanta,87,Boston Celtics,94,0.925531914893617
15,400489075,2014-11-25,Charlotte,86,Boston Celtics,96,0.8958333333333334
16,400489090,2014-11-27,Boston Celtics,93,Memphis,100,0.93
17,400489105,2014-11-29,Boston Celtics,103,Cleveland,86,1.197674418604651
18,400489120,2014-11-30,Milwaukee,92,Boston Celtics,85,1.0823529411764705
19,400489135,2014-12-03,Boston Celtics,108,Milwaukee,100,1.08
20,400489156,2014-12-06,Boston Celtics,106,Denver,98,1.0816326530612246
21,400489172,2014-12-08,NY Knicks,73,Boston Celtics,114,0.6403508771929824
22,400489187,2014-12-10,Brooklyn,104,Boston Celtics,96,1.0833333333333333
23,400489192,2014-12-11,Boston Celtics,88,LA,96,0.9166666666666666
24,400489206,2014-12-13,Boston Celtics,90,NY Knicks,86,1.0465116279069768
25,400489231,2014-12-16,Boston Celtics,101,Minnesota,97,1.041237113402062
26,400489246,2014-12-18,Boston Celtics,106,Detroit,107,0.9906542056074766
27,400489266,2014-12-21,Boston Celtics,99,Washington,106,0.9339622641509434
28,400489277,2014-12-22,Indiana,106,Boston Celtics,79,1.3417721518987342
29,400489309,2014-12-28,Boston Celtics,103,Cleveland,100,1.03
30,400489333,2014-12-31,Boston Celtics,91,Atlanta,92,0.9891304347826086
31,400489348,2014-01-02,Chicago,94,Boston Celtics,82,1.146341463414634
32,400489357,2014-01-03,Boston Celtics,92,New Orleans,95,0.968421052631579
33,400489375,2014-01-05,Oklahoma City,119,Boston Celtics,96,1.2395833333333333
34,400489390,2014-01-07,Denver,129,Boston Celtics,98,1.316326530612245
35,400489401,2014-01-08,LA,111,Boston Celtics,105,1.0571428571428572
36,400489414,2014-01-10,Golden State,99,Boston Celtics,97,1.0206185567010309
37,400489424,2014-01-11,Portland,112,Boston Celtics,104,1.0769230769230769
38,400489429,2014-01-13,Boston Celtics,92,Houston,104,0.8846153846153846
39,400489442,2014-01-15,Boston Celtics,88,Toronto,83,1.0602409638554218
40,400489459,2014-01-17,Boston Celtics,104,Los Angeles,107,0.9719626168224299
41,400489475,2014-01-19,Orlando,93,Boston Celtics,91,1.021978021978022
42,400489490,2014-01-21,Miami,93,Boston Celtics,86,1.0813953488372092
43,400489498,2014-01-22,Washington,111,Boston Celtics,113,0.9823008849557522
44,400489509,2014-01-24,Boston Celtics,83,Oklahoma City,101,0.8217821782178217
45,400489531,2014-01-26,Boston Celtics,79,Brooklyn,85,0.9294117647058824
46,400489543,2014-01-28,NY Knicks,114,Boston Celtics,88,1.2954545454545454
47,400489551,2014-01-29,Boston Celtics,94,Philadelphia,95,0.9894736842105263
48,400489582,2014-02-02,Boston Celtics,96,Orlando,89,1.0786516853932584
49,400489599,2014-02-05,Philadelphia,108,Boston Celtics,114,0.9473684210526315
50,400489616,2014-02-07,Boston Celtics,99,Sacramento,89,1.1123595505617978
51,400489631,2014-02-09,Boston Celtics,91,Dallas,102,0.8921568627450981
52,400489640,2014-02-10,Milwaukee,86,Boston Celtics,102,0.8431372549019608
53,400489653,2014-02-12,Boston Celtics,92,San Antonio,104,0.8846153846153846
54,400489680,2014-02-19,Phoenix,100,Boston Celtics,94,1.0638297872340425
55,400489697,2014-02-21,Los Angeles,101,Boston Celtics,92,1.0978260869565217
56,400489704,2014-02-22,Sacramento,105,Boston Celtics,98,1.0714285714285714
57,400489718,2014-02-24,Utah,110,Boston Celtics,98,1.1224489795918366
58,400489727,2014-02-26,Boston Celtics,115,Atlanta,104,1.1057692307692308
59,400489750,2014-03-01,Boston Celtics,97,Indiana,102,0.9509803921568627
60,400489780,2014-03-05,Boston Celtics,88,Golden State,108,0.8148148148148148
61,400489793,2014-03-07,Boston Celtics,91,Brooklyn,84,1.0833333333333333
62,400489810,2014-03-09,Boston Celtics,118,Detroit,111,1.063063063063063
63,400489823,2014-03-11,Indiana,94,Boston Celtics,83,1.1325301204819278
