Date,HomeTeam,HomeTeamPTS,VisitTeam,VisitTeamPTS,Winning
2011-12-25,NYK,106,BOS,104,1.0192307692307692
2011-12-25,LAL,87,CHI,88,0.9886363636363636
2011-12-25,OKC,97,ORL,89,1.0898876404494382
2011-12-25,GSW,86,LAC,105,0.819047619047619
2011-12-25,DAL,94,MIA,105,0.8952380952380953
2011-12-26,DAL,93,DEN,115,0.808695652173913
2011-12-26,ORL,104,HOU,95,1.0947368421052632
2011-12-26,SAC,100,LAL,91,1.098901098901099
2011-12-26,GSW,99,CHI,91,1.0879120879120878
2011-12-26,PHX,84,NOH,85,0.9882352941176471
2011-12-26,WAS,84,NJN,90,0.9333333333333333
2011-12-26,CLE,96,TOR,104,0.9230769230769231
2011-12-26,IND,91,DET,79,1.1518987341772151
2011-12-26,POR,107,PHI,103,1.0388349514563107
2011-12-26,SAS,95,MEM,82,1.1585365853658536
2011-12-26,MIN,100,OKC,104,0.9615384615384616
2011-12-26,CHA,96,MIL,95,1.0105263157894737
2011-12-27,NJN,70,ATL,106,0.660377358490566
2011-12-27,POR,101,SAC,79,1.2784810126582278
2011-12-27,MIA,115,BOS,107,1.074766355140187
2011-12-27,LAL,96,UTA,71,1.352112676056338
2011-12-27,MIL,98,MIN,95,1.0315789473684212
2011-12-28,ATL,101,WAS,83,1.216867469879518
2011-12-28,GSW,92,NYK,78,1.1794871794871795
2011-12-28,PHX,83,PHI,103,0.8058252427184466
2011-12-28,DET,89,CLE,105,0.8476190476190476
2011-12-28,SAS,115,LAC,90,1.2777777777777777
2011-12-28,NOH,97,BOS,78,1.2435897435897436
2011-12-28,MEM,95,OKC,98,0.9693877551020408
2011-12-28,TOR,85,IND,90,0.9444444444444444
2011-12-28,DEN,117,UTA,100,1.17
2011-12-28,CHA,95,MIA,96,0.9895833333333334
2011-12-29,HOU,105,SAS,85,1.2352941176470589
2011-12-29,LAL,99,NYK,82,1.2073170731707317
2011-12-29,ORL,94,NJN,78,1.205128205128205
2011-12-29,SAC,98,CHI,108,0.9074074074074074
2011-12-29,POR,111,DEN,102,1.088235294117647
2011-12-29,OKC,104,DAL,102,1.0196078431372548
2011-12-30,CHA,79,ORL,100,0.79
2011-12-30,MIN,101,MIA,103,0.9805825242718447
2011-12-30,MEM,113,HOU,93,1.2150537634408602
2011-12-30,BOS,96,DET,85,1.1294117647058823
2011-12-30,UTA,102,PHI,99,1.0303030303030303
2011-12-30,LAC,101,CHI,114,0.8859649122807017
2011-12-30,DAL,99,TOR,86,1.1511627906976745
2011-12-30,NOH,78,PHX,93,0.8387096774193549
2011-12-30,ATL,105,NJN,98,1.0714285714285714
2011-12-30,MIL,102,WAS,81,1.2592592592592593
2011-12-30,IND,98,CLE,91,1.0769230769230769
2011-12-31,SAS,104,UTA,89,1.1685393258426966
2011-12-31,LAL,92,DEN,89,1.0337078651685394
2011-12-31,SAC,92,NYK,114,0.8070175438596491
2011-12-31,GSW,79,PHI,107,0.7383177570093458
2011-12-31,HOU,95,ATL,84,1.130952380952381
2011-12-31,OKC,107,PHX,97,1.1030927835051547
2011-12-31,DET,96,IND,88,1.0909090909090908
2012-01-01,ORL,102,TOR,96,1.0625
2012-01-01,SAC,96,NOH,80,1.2
2012-01-01,DEN,99,LAL,90,1.1
2012-01-01,WAS,86,BOS,94,0.9148936170212766
2012-01-01,MIA,129,CHA,90,1.4333333333333333
2012-01-01,CLE,98,NJN,82,1.1951219512195121
2012-01-01,LAC,93,POR,88,1.0568181818181819
2012-01-01,MIN,99,DAL,82,1.2073170731707317
2012-01-01,CHI,104,MEM,64,1.625
2012-01-02,DET,89,ORL,78,1.141025641025641
2012-01-02,DEN,91,MIL,86,1.058139534883721
2012-01-02,PHX,102,GSW,91,1.120879120879121
2012-01-02,UTA,94,NOH,90,1.0444444444444445
2012-01-02,NJN,94,IND,108,0.8703703703703703
2012-01-02,NYK,85,TOR,90,0.9444444444444444
2012-01-02,MIN,106,SAS,96,1.1041666666666667
2012-01-02,DAL,100,OKC,87,1.1494252873563218
2012-01-02,BOS,100,WAS,92,1.0869565217391304
2012-01-02,MIA,92,ATL,100,0.92
2012-01-03,MEM,113,SAC,96,1.1770833333333333
2012-01-03,LAL,108,HOU,99,1.0909090909090908
2012-01-03,OKC,93,POR,103,0.9029126213592233
2012-01-03,CLE,115,CHA,101,1.1386138613861385
2012-01-03,UTA,85,MIL,73,1.1643835616438356
2012-01-03,CHI,76,ATL,74,1.027027027027027
2012-01-04,DAL,98,PHX,89,1.101123595505618
2012-01-04,LAC,117,HOU,89,1.3146067415730338
2012-01-04,DET,83,CHI,99,0.8383838383838383
2012-01-04,SAS,101,GSW,95,1.063157894736842
2012-01-04,MIN,86,MEM,90,0.9555555555555556
2012-01-04,MIA,118,IND,83,1.4216867469879517
2012-01-04,NYK,110,CHA,118,0.9322033898305084
2012-01-04,NOH,93,PHI,101,0.9207920792079208
2012-01-04,ORL,103,WAS,85,1.2117647058823529
2012-01-04,BOS,89,NJN,70,1.2714285714285714
2012-01-04,DEN,110,SAC,83,1.3253012048192772
2012-01-04,TOR,92,CLE,77,1.1948051948051948
2012-01-05,SAS,93,DAL,71,1.3098591549295775
2012-01-05,ATL,109,MIA,116,0.9396551724137931
2012-01-05,SAC,103,MIL,100,1.03
2012-01-05,POR,107,LAL,96,1.1145833333333333
2012-01-06,CHA,96,ATL,102,0.9411764705882353
2012-01-06,PHI,96,DET,73,1.3150684931506849
2012-01-06,NOH,88,DEN,96,0.9166666666666666
2012-01-06,OKC,109,HOU,94,1.1595744680851063
2012-01-06,TOR,85,NJN,97,0.8762886597938144
2012-01-06,ORL,83,CHI,97,0.8556701030927835
2012-01-06,LAL,97,GSW,90,1.0777777777777777
2012-01-06,UTA,94,MEM,85,1.1058823529411765
2012-01-06,BOS,74,IND,87,0.8505747126436781
2012-01-06,PHX,102,POR,77,1.3246753246753247
2012-01-06,WAS,96,NYK,99,0.9696969696969697
2012-01-06,MIN,87,CLE,98,0.8877551020408163
2012-01-07,GSW,87,UTA,88,0.9886363636363636
2012-01-07,HOU,95,OKC,98,0.9693877551020408
2012-01-07,IND,99,CHA,77,1.2857142857142858
2012-01-07,DET,80,NYK,103,0.7766990291262136
2012-01-07,ATL,109,CHI,94,1.1595744680851063
2012-01-07,DAL,96,NOH,81,1.1851851851851851
2012-01-07,LAC,92,MIL,86,1.069767441860465
2012-01-07,NJN,90,MIA,101,0.8910891089108911
2012-01-07,SAS,121,DEN,117,1.0341880341880343
2012-01-07,PHI,97,TOR,62,1.564516129032258
2012-01-08,OKC,108,SAS,96,1.125
2012-01-08,POR,98,CLE,78,1.2564102564102564
2012-01-08,PHX,109,MIL,93,1.1720430107526882
2012-01-08,SAC,97,ORL,104,0.9326923076923077
2012-01-08,LAL,90,MEM,82,1.0975609756097562
2012-01-08,WAS,72,MIN,93,0.7741935483870968
2012-01-09,NYK,91,CHA,87,1.0459770114942528
2012-01-09,PHI,96,IND,86,1.1162790697674418
2012-01-09,NJN,101,ATL,106,0.9528301886792453
2012-01-09,TOR,97,MIN,87,1.1149425287356323
2012-01-09,DEN,81,NOH,94,0.8617021276595744
2012-01-09,CHI,92,DET,68,1.3529411764705883
2012-01-10,LAL,99,PHX,83,1.1927710843373494
2012-01-10,POR,105,LAC,97,1.0824742268041236
2012-01-10,MIL,106,SAS,103,1.029126213592233
2012-01-10,MEM,95,OKC,100,0.95
2012-01-10,GSW,111,MIA,106,1.0471698113207548
2012-01-10,MIN,100,CHI,111,0.9009009009009009
2012-01-10,PHI,112,SAC,85,1.3176470588235294
2012-01-10,WAS,93,TOR,78,1.1923076923076923
2012-01-10,UTA,113,CLE,105,1.0761904761904761
2012-01-10,CHA,70,HOU,82,0.8536585365853658
2012-01-10,DET,86,DAL,100,0.86
2012-01-11,CHI,78,WAS,64,1.21875
2012-01-11,NOH,85,OKC,95,0.8947368421052632
2012-01-11,POR,104,ORL,107,0.9719626168224299
2012-01-11,LAC,95,MIA,89,1.0674157303370786
2012-01-11,IND,96,ATL,84,1.1428571428571428
2012-01-11,DEN,123,NJN,115,1.0695652173913044
2012-01-11,UTA,87,LAL,90,0.9666666666666667
2012-01-11,NYK,85,PHI,79,1.0759493670886076
2012-01-11,BOS,85,DAL,90,0.9444444444444444
2012-01-11,TOR,91,SAC,98,0.9285714285714286
2012-01-11,SAS,101,HOU,95,1.063157894736842
2012-01-12,ATL,111,CHA,81,1.3703703703703705
2012-01-12,MIL,102,DET,93,1.096774193548387
2012-01-12,PHX,90,CLE,101,0.8910891089108911
2012-01-12,MEM,94,NYK,83,1.1325301204819278
2012-01-12,GSW,109,ORL,117,0.9316239316239316
2012-01-13,HOU,103,SAC,89,1.1573033707865168
2012-01-13,CHA,81,DET,98,0.826530612244898
2012-01-13,DAL,102,MIL,76,1.3421052631578947
2012-01-13,PHX,103,NJN,110,0.9363636363636364
2012-01-13,BOS,79,CHI,88,0.8977272727272727
2012-01-13,LAL,97,CLE,92,1.0543478260869565
2012-01-13,PHI,120,WAS,89,1.348314606741573
2012-01-13,SAS,99,POR,83,1.1927710843373494
2012-01-13,DEN,117,MIA,104,1.125
2012-01-13,NOH,80,MIN,87,0.9195402298850575
2012-01-13,TOR,90,IND,95,0.9473684210526315
2012-01-14,DAL,99,SAC,60,1.65
2012-01-14,HOU,107,POR,105,1.019047619047619
2012-01-14,IND,97,BOS,83,1.1686746987951808
2012-01-14,MEM,108,NOH,99,1.0909090909090908
2012-01-14,CHA,112,GSW,100,1.12
2012-01-14,LAC,102,LAL,94,1.0851063829787233
2012-01-14,ATL,93,MIN,91,1.021978021978022
2012-01-14,UTA,107,NJN,94,1.1382978723404256
2012-01-14,OKC,104,NYK,92,1.1304347826086956
2012-01-14,CHI,77,TOR,64,1.203125
2012-01-14,WAS,90,PHI,103,0.8737864077669902
2012-01-15,DET,91,GSW,99,0.9191919191919192
2012-01-15,DEN,96,UTA,106,0.9056603773584906
2012-01-15,SAS,102,PHX,91,1.120879120879121
2012-01-16,CHA,94,CLE,102,0.9215686274509803
2012-01-16,WAS,106,HOU,114,0.9298245614035088
2012-01-16,LAL,73,DAL,70,1.042857142857143
2012-01-16,NYK,93,ORL,102,0.9117647058823529
2012-01-16,PHI,94,MIL,82,1.146341463414634
2012-01-16,NOH,77,POR,84,0.9166666666666666
2012-01-16,BOS,88,OKC,97,0.9072164948453608
2012-01-16,ATL,93,TOR,84,1.1071428571428572
2012-01-16,MEM,102,CHI,86,1.186046511627907
2012-01-16,MIN,99,SAC,86,1.1511627906976745
2012-01-16,LAC,101,NJN,91,1.10989010989011
2012-01-17,ORL,96,CHA,89,1.0786516853932584
2012-01-17,CHI,118,PHX,97,1.2164948453608246
2012-01-17,MIL,95,DEN,105,0.9047619047619048
2012-01-17,MIA,120,SAS,98,1.2244897959183674
2012-01-17,HOU,97,DET,80,1.2125
2012-01-17,UTA,108,LAC,79,1.3670886075949367
2012-01-17,CLE,95,GSW,105,0.9047619047619048
2012-01-18,WAS,105,OKC,102,1.0294117647058822
2012-01-18,PHI,104,DEN,108,0.9629629629629629
2012-01-18,ATL,92,POR,89,1.0337078651685394
2012-01-18,BOS,96,TOR,73,1.3150684931506849
2012-01-18,ORL,83,SAS,85,0.9764705882352941
2012-01-18,NOH,87,MEM,93,0.9354838709677419
2012-01-18,NYK,88,PHX,91,0.967032967032967
2012-01-18,SAC,92,IND,88,1.0454545454545454
2012-01-18,MIN,93,DET,85,1.0941176470588236
2012-01-18,LAC,91,DAL,89,1.0224719101123596
2012-01-18,NJN,107,GSW,100,1.07
2012-01-19,UTA,91,DAL,94,0.9680851063829787
2012-01-19,HOU,90,NOH,88,1.0227272727272727
2012-01-19,MIA,98,LAL,87,1.1264367816091954
2012-01-20,NYK,86,MIL,100,0.86
2012-01-20,WAS,104,DEN,108,0.9629629629629629
2012-01-20,ORL,92,LAL,80,1.15
2012-01-20,BOS,71,PHX,79,0.8987341772151899
2012-01-20,CLE,75,CHI,114,0.6578947368421053
2012-01-20,TOR,84,POR,94,0.8936170212765957
2012-01-20,PHI,90,ATL,76,1.1842105263157894
2012-01-20,SAS,86,SAC,88,0.9772727272727273
2012-01-20,DET,81,MEM,98,0.826530612244898
2012-01-20,GSW,91,IND,94,0.9680851063829787
2012-01-20,LAC,98,MIN,101,0.9702970297029703
2012-01-21,NJN,74,OKC,84,0.8809523809523809
2012-01-21,MEM,128,SAC,95,1.3473684210526315
2012-01-21,MIA,113,PHI,92,1.2282608695652173
2012-01-21,NYK,114,DEN,119,0.957983193277311
2012-01-21,HOU,105,SAS,102,1.0294117647058822
2012-01-21,CHI,95,CHA,89,1.0674157303370786
2012-01-21,UTA,108,MIN,98,1.1020408163265305
2012-01-21,ATL,121,CLE,94,1.2872340425531914
2012-01-21,NOH,81,DAL,83,0.9759036144578314
2012-01-21,DET,94,POR,91,1.032967032967033
2012-01-22,LAL,96,IND,98,0.9795918367346939
2012-01-22,MIA,82,MIL,91,0.9010989010989011
2012-01-22,LAC,103,TOR,91,1.1318681318681318
2012-01-22,NJN,97,CHA,87,1.1149425287356323
2012-01-22,WAS,94,BOS,100,0.94
2012-01-23,BOS,87,ORL,56,1.5535714285714286
2012-01-23,NOH,102,SAS,104,0.9807692307692307
2012-01-23,DAL,93,PHX,87,1.0689655172413792
2012-01-23,CHI,110,NJN,95,1.1578947368421053
2012-01-23,GSW,90,MEM,91,0.989010989010989
2012-01-23,OKC,99,DET,79,1.2531645569620253
2012-01-23,POR,101,SAC,89,1.1348314606741574
2012-01-23,PHI,103,WAS,83,1.2409638554216869
2012-01-23,MIN,92,HOU,107,0.8598130841121495
2012-01-23,MIL,92,ATL,97,0.9484536082474226
2012-01-24,PHX,96,TOR,99,0.9696969696969697
2012-01-24,MIA,92,CLE,85,1.0823529411764705
2012-01-24,POR,97,MEM,84,1.1547619047619047
2012-01-24,CHA,78,NYK,111,0.7027027027027027
2012-01-24,IND,83,ORL,102,0.8137254901960784
2012-01-25,LAL,96,LAC,91,1.054945054945055
2012-01-25,DAL,90,MIN,105,0.8571428571428571
2012-01-25,CHI,90,IND,95,0.9473684210526315
2012-01-25,UTA,106,TOR,111,0.954954954954955
2012-01-25,DET,98,MIA,101,0.9702970297029703
2012-01-25,HOU,99,MIL,105,0.9428571428571428
2012-01-25,SAC,93,DEN,122,0.7622950819672131
2012-01-25,WAS,92,CHA,75,1.2266666666666666
2012-01-25,OKC,101,NOH,91,1.10989010989011
2012-01-25,PHI,90,NJN,97,0.9278350515463918
2012-01-25,GSW,101,POR,93,1.086021505376344
2012-01-25,CLE,91,NYK,81,1.123456790123457
2012-01-25,SAS,105,ATL,83,1.2650602409638554
2012-01-26,ORL,83,BOS,91,0.9120879120879121
2012-01-26,LAC,98,MEM,91,1.0769230769230769
2012-01-27,DAL,116,UTA,101,1.1485148514851484
2012-01-27,POR,109,PHX,71,1.5352112676056338
2012-01-27,MIN,87,SAS,79,1.1012658227848102
2012-01-27,CHI,107,MIL,100,1.07
2012-01-27,CLE,96,NJN,99,0.9696969696969697
2012-01-27,HOU,103,WAS,76,1.355263157894737
2012-01-27,DEN,96,TOR,81,1.1851851851851851
2012-01-27,BOS,94,IND,87,1.0804597701149425
2012-01-27,NOH,93,ORL,67,1.3880597014925373
2012-01-27,GSW,109,OKC,120,0.9083333333333333
2012-01-27,PHI,89,CHA,72,1.2361111111111112
2012-01-27,DET,101,ATL,107,0.9439252336448598
2012-01-27,MIA,99,NYK,89,1.1123595505617978
2012-01-28,PHX,86,MEM,84,1.0238095238095237
2012-01-28,HOU,97,NYK,84,1.1547619047619047
2012-01-28,MIL,100,LAL,89,1.1235955056179776
2012-01-28,UTA,96,SAC,93,1.032258064516129
2012-01-28,PHI,95,DET,74,1.2837837837837838
2012-01-28,CHA,99,WAS,102,0.9705882352941176
2012-01-29,NJN,73,TOR,94,0.776595744680851
2012-01-29,BOS,87,CLE,88,0.9886363636363636
2012-01-29,NOH,72,ATL,94,0.7659574468085106
2012-01-29,ORL,85,IND,106,0.8018867924528302
2012-01-29,MIA,97,CHI,93,1.043010752688172
2012-01-29,MIN,101,LAL,106,0.9528301886792453
2012-01-29,DAL,101,SAS,100,1.01
2012-01-29,DEN,105,LAC,109,0.963302752293578
2012-01-30,PHI,74,ORL,69,1.0724637681159421
2012-01-30,MIA,109,NOH,95,1.1473684210526316
2012-01-30,HOU,108,MIN,120,0.9
2012-01-30,WAS,88,CHI,98,0.8979591836734694
2012-01-30,UTA,93,POR,89,1.0449438202247192
2012-01-30,PHX,99,DAL,122,0.8114754098360656
2012-01-30,MIL,103,DET,82,1.2560975609756098
2012-01-30,LAC,112,OKC,100,1.12
2012-01-30,MEM,73,SAS,83,0.8795180722891566
2012-01-31,IND,106,NJN,99,1.0707070707070707
2012-01-31,LAL,106,CHA,73,1.452054794520548
2012-01-31,MEM,100,DEN,97,1.0309278350515463
2012-01-31,CLE,90,BOS,93,0.967741935483871
2012-01-31,NYK,113,DET,86,1.313953488372093
2012-01-31,TOR,77,ATL,100,0.77
2012-01-31,GSW,93,SAC,90,1.0333333333333334
2012-02-01,BOS,100,TOR,64,1.5625
2012-02-01,UTA,105,LAC,107,0.9813084112149533
2012-02-01,ORL,109,WAS,103,1.058252427184466
2012-02-01,SAS,99,HOU,91,1.0879120879120878
2012-02-01,MIN,99,IND,109,0.908256880733945
2012-02-01,PHI,98,CHI,82,1.1951219512195121
2012-02-01,MIL,105,MIA,97,1.0824742268041236
2012-02-01,DAL,86,OKC,95,0.9052631578947369
2012-02-01,POR,112,CHA,68,1.6470588235294117
2012-02-01,NOH,103,PHX,120,0.8583333333333333
2012-02-01,NJN,99,DET,96,1.03125
