date,Unnamed: 0,id,date,home_team,home_team_score,visit_team,visit_team_score,WINrate
2012-12-25,0,311225018,2012-12-25,NY Knicks,106,Boston Celtics,104,1.0192307692307692
2012-12-27,1,311227014,2012-12-27,Miami,115,Boston Celtics,107,1.074766355140187
2012-12-28,2,311228003,2012-12-28,New Orleans,97,Boston Celtics,78,1.2435897435897436
2012-12-30,3,311230002,2012-12-30,Boston Celtics,96,Detroit,85,1.1294117647058823
2012-01-01,4,320101027,2012-01-01,Washington,86,Boston Celtics,94,0.9148936170212766
2012-01-02,5,320102002,2012-01-02,Boston Celtics,100,Washington,92,1.0869565217391304
2012-01-04,6,320104002,2012-01-04,Boston Celtics,89,Brooklyn,70,1.2714285714285714
2012-01-06,7,320106002,2012-01-06,Boston Celtics,74,Indiana,87,0.8505747126436781
2012-01-11,8,320111002,2012-01-11,Boston Celtics,85,Dallas,90,0.9444444444444444
2012-01-13,9,320113002,2012-01-13,Boston Celtics,79,Chicago,88,0.8977272727272727
2012-01-14,10,320114011,2012-01-14,Indiana,97,Boston Celtics,83,1.1686746987951808
2012-01-16,11,320116002,2012-01-16,Boston Celtics,88,Oklahoma City,97,0.9072164948453608
2012-01-18,12,320118002,2012-01-18,Boston Celtics,96,Toronto,73,1.3150684931506849
2012-01-20,13,320120002,2012-01-20,Boston Celtics,71,Phoenix,79,0.8987341772151899
2012-01-22,14,320122027,2012-01-22,Washington,94,Boston Celtics,100,0.94
2012-01-23,15,320123002,2012-01-23,Boston Celtics,87,Orlando,56,1.5535714285714286
2012-01-26,16,320126019,2012-01-26,Orlando,83,Boston Celtics,91,0.912087912087912
2012-01-27,17,320127002,2012-01-27,Boston Celtics,94,Indiana,87,1.0804597701149423
2012-01-29,18,320129002,2012-01-29,Boston Celtics,87,Cleveland,88,0.9886363636363636
2012-01-31,19,320131005,2012-01-31,Cleveland,90,Boston Celtics,93,0.967741935483871
2012-02-01,20,320201002,2012-02-01,Boston Celtics,100,Toronto,64,1.5625
2012-02-03,21,320203002,2012-02-03,Boston Celtics,91,NY Knicks,89,1.0224719101123596
2012-02-05,22,320205002,2012-02-05,Boston Celtics,98,Memphis,80,1.225
2012-02-07,23,320207002,2012-02-07,Boston Celtics,94,Charlotte,84,1.119047619047619
2012-02-09,24,320209002,2012-02-09,Boston Celtics,87,Los Angeles,88,0.9886363636363636
2012-02-10,25,320210028,2012-02-10,Toronto,86,Boston Celtics,74,1.162162162162162
2012-02-12,26,320212002,2012-02-12,Boston Celtics,95,Chicago,91,1.043956043956044
2012-02-15,27,320215002,2012-02-15,Boston Celtics,88,Detroit,98,0.8979591836734694
2012-02-16,28,320216004,2012-02-16,Chicago,89,Boston Celtics,80,1.1125
2012-02-19,29,320219008,2012-02-19,Detroit,96,Boston Celtics,81,1.1851851851851851
2012-02-20,30,320220006,2012-02-20,Dallas,89,Boston Celtics,73,1.2191780821917808
2012-02-22,31,320222025,2012-02-22,Oklahoma City,119,Boston Celtics,104,1.1442307692307692
2012-02-28,32,320228005,2012-02-28,Cleveland,83,Boston Celtics,86,0.9651162790697676
2012-03-02,33,320229002,2012-03-02,Boston Celtics,107,Milwaukee,94,1.1382978723404256
2012-03-04,34,320302002,2012-03-04,Boston Celtics,115,Brooklyn,111,1.036036036036036
2012-03-06,35,320304002,2012-03-06,Boston Celtics,97,NY Knicks,92,1.0543478260869563
2012-03-07,36,320306002,2012-03-07,Boston Celtics,103,Houston,71,1.4507042253521127
2012-03-09,37,320307020,2012-03-09,Philadelphia,104,Boston Celtics,86,1.2093023255813953
2012-03-11,38,320309002,2012-03-11,Boston Celtics,97,Portland,94,1.0319148936170213
2012-03-12,39,320311013,2012-03-12,Los Angeles,85,Boston Celtics,94,0.9042553191489362
2012-03-14,40,320312012,2012-03-14,LA,103,Boston Celtics,105,0.9809523809523808
2012-03-16,41,320314009,2012-03-16,Golden State,120,Boston Celtics,95,1.263157894736842
2012-03-17,42,320316023,2012-03-17,Sacramento,98,Boston Celtics,91,1.0769230769230769
2012-03-19,43,320317007,2012-03-19,Denver,76,Boston Celtics,79,0.9620253164556962
