Date,HomeTeam,HomeTeamPTS,VisitTeam,VisitTeamPTS,Winning
2013-10-29,LAL,116,LAC,103,1.1262135922330097
2013-10-29,IND,97,ORL,87,1.1149425287356323
2013-10-29,MIA,107,CHI,95,1.1263157894736842
2013-10-30,PHI,114,MIA,110,1.0363636363636364
2013-10-30,GSW,125,LAL,94,1.3297872340425532
2013-10-30,CLE,98,BKN,94,1.0425531914893618
2013-10-30,HOU,96,CHA,83,1.1566265060240963
2013-10-30,SAC,90,DEN,88,1.0227272727272727
2013-10-30,DAL,118,ATL,109,1.0825688073394495
2013-10-30,NOP,90,IND,95,0.9473684210526315
2013-10-30,NYK,90,MIL,83,1.0843373493975903
2013-10-30,MIN,120,ORL,115,1.0434782608695652
2013-10-30,PHX,104,POR,91,1.1428571428571428
2013-10-30,SAS,101,MEM,94,1.074468085106383
2013-10-30,UTA,98,OKC,101,0.9702970297029703
2013-10-30,TOR,93,BOS,87,1.0689655172413792
2013-10-30,DET,113,WAS,102,1.107843137254902
2013-10-31,LAC,126,GSW,115,1.0956521739130434
2013-10-31,CHI,82,NYK,81,1.0123456790123457
2013-11-01,WAS,102,PHI,109,0.9357798165137615
2013-11-01,BKN,101,MIA,100,1.01
2013-11-01,HOU,113,DAL,105,1.0761904761904761
2013-11-01,MEM,111,DET,108,1.0277777777777777
2013-11-01,LAL,85,SAS,91,0.9340659340659341
2013-11-01,CHA,90,CLE,84,1.0714285714285714
2013-11-01,ATL,102,TOR,95,1.0736842105263158
2013-11-01,ORL,110,NOP,90,1.2222222222222223
2013-11-01,BOS,98,MIL,105,0.9333333333333333
2013-11-01,SAC,101,LAC,110,0.9181818181818182
2013-11-01,DEN,98,POR,113,0.8672566371681416
2013-11-01,MIN,100,OKC,81,1.2345679012345678
2013-11-01,PHX,87,UTA,84,1.0357142857142858
2013-11-02,MIL,90,TOR,97,0.9278350515463918
2013-11-02,NOP,105,CHA,84,1.25
2013-11-02,POR,115,SAS,105,1.0952380952380953
2013-11-02,IND,89,CLE,74,1.2027027027027026
2013-11-02,GSW,98,SAC,87,1.1264367816091954
2013-11-02,PHI,107,CHI,104,1.0288461538461537
2013-11-02,UTA,93,HOU,104,0.8942307692307693
2013-11-02,DAL,111,MEM,99,1.121212121212121
