GAME_DATE,Team_ID,Game_ID,GAME_DATE,MATCHUP,HomeTeam,VisitTeam,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2016-10-25,1610612762,0021600002,2016-10-25,UTA @ POR,POR,UTA,L,0,1,0.0,240,40,82,0.488,8,24,0.333,16,16,1.0,6,25,31,19,9,5,11,19,104
2016-10-25,1610612744,0021600003,2016-10-25,GSW vs. SAS,GSW,SAS,L,0,1,0.0,240,40,85,0.471,7,33,0.212,13,18,0.722,8,27,35,24,11,6,16,19,100
2016-10-25,1610612739,0021600001,2016-10-25,CLE vs. NYK,CLE,NYK,W,1,0,1.0,240,45,94,0.479,13,35,0.371,14,19,0.737,11,40,51,31,12,5,14,22,117
2016-10-26,1610612751,0021600006,2016-10-26,BKN @ BOS,BOS,BKN,L,0,1,0.0,240,43,97,0.443,15,44,0.341,16,20,0.8,15,29,44,22,8,3,16,19,117
2016-10-26,1610612740,0021600010,2016-10-26,NOP vs. DEN,NOP,DEN,L,0,1,0.0,240,38,92,0.413,3,19,0.158,23,26,0.885,5,28,33,31,16,5,11,29,102
2016-10-26,1610612742,0021600005,2016-10-26,DAL @ IND,IND,DAL,L,0,1,0.0,265,45,104,0.433,18,48,0.375,13,18,0.722,10,39,49,26,8,8,15,27,121
2016-10-26,1610612745,0021600013,2016-10-26,HOU @ LAL,LAL,HOU,L,0,1,0.0,240,44,86,0.512,7,29,0.241,19,27,0.704,10,29,39,29,10,1,14,23,114
2016-10-26,1610612748,0021600004,2016-10-26,MIA @ ORL,ORL,MIA,W,1,0,1.0,240,47,97,0.485,4,16,0.25,10,16,0.625,16,36,52,27,5,7,10,22,108
2016-10-26,1610612749,0021600008,2016-10-26,MIL vs. CHA,MIL,CHA,L,0,1,0.0,240,39,92,0.424,3,16,0.188,15,20,0.75,10,36,46,23,4,5,8,22,96
2016-10-26,1610612755,0021600011,2016-10-26,PHI vs. OKC,PHI,OKC,L,0,1,0.0,240,36,84,0.429,7,24,0.292,18,25,0.72,5,38,43,21,5,10,13,22,97
2016-10-26,1610612756,0021600012,2016-10-26,PHX vs. SAC,PHX,SAC,L,0,1,0.0,240,36,77,0.468,4,16,0.25,18,27,0.667,10,31,41,20,6,3,18,29,94
2016-10-26,1610612761,0021600007,2016-10-26,TOR vs. DET,TOR,DET,W,1,0,1.0,240,41,86,0.477,3,18,0.167,24,29,0.828,14,37,51,17,8,0,11,22,109
2016-10-26,1610612763,0021600009,2016-10-26,MEM vs. MIN,MEM,MIN,W,1,0,1.0,240,36,80,0.45,11,24,0.458,19,27,0.704,11,34,45,19,6,11,13,25,102
2016-10-27,1610612757,0021600017,2016-10-27,POR vs. LAC,POR,LAC,L,1,1,0.5,240,39,85,0.459,4,18,0.222,24,32,0.75,9,39,48,18,4,4,14,34,106
2016-10-27,1610612759,0021600016,2016-10-27,SAS @ SAC,SAC,SAS,W,2,0,1.0,240,36,79,0.456,6,18,0.333,24,27,0.889,9,31,40,23,10,8,9,26,102
2016-10-27,1610612764,0021600014,2016-10-27,WAS @ ATL,ATL,WAS,L,0,1,0.0,240,40,94,0.426,6,20,0.3,13,18,0.722,12,28,40,25,14,4,19,20,99
2016-10-27,1610612741,0021600015,2016-10-27,CHI vs. BOS,CHI,BOS,W,1,0,1.0,240,36,92,0.391,11,25,0.44,22,30,0.733,18,37,55,25,5,1,12,21,105
2016-10-28,1610612754,0021600019,2016-10-28,IND @ BKN,BKN,IND,L,1,1,0.5,240,37,98,0.378,7,24,0.292,13,20,0.65,14,35,49,22,7,6,13,22,94
2016-10-28,1610612744,0021600025,2016-10-28,GSW @ NOP,NOP,GSW,W,1,1,0.5,240,44,91,0.484,9,28,0.321,25,28,0.893,9,40,49,32,8,2,14,22,122
2016-10-28,1610612760,0021600021,2016-10-28,OKC vs. PHX,OKC,PHX,W,2,0,1.0,265,40,96,0.417,5,21,0.238,28,38,0.737,14,43,57,13,11,3,22,24,113
2016-10-28,1610612745,0021600023,2016-10-28,HOU @ DAL,DAL,HOU,W,1,1,0.5,240,33,70,0.471,15,32,0.469,25,31,0.806,5,36,41,21,6,1,18,22,106
2016-10-28,1610612766,0021600022,2016-10-28,CHA @ MIA,MIA,CHA,W,2,0,1.0,240,35,92,0.38,7,22,0.318,20,24,0.833,13,36,49,20,10,9,8,20,97
2016-10-28,1610612762,0021600024,2016-10-28,UTA vs. LAL,UTA,LAL,W,1,1,0.5,240,31,75,0.413,6,25,0.24,28,40,0.7,13,34,47,14,4,7,14,18,96
2016-10-28,1610612761,0021600018,2016-10-28,TOR vs. CLE,TOR,CLE,L,1,1,0.5,240,35,90,0.389,4,16,0.25,17,18,0.944,18,33,51,12,9,3,18,20,91
2016-10-28,1610612753,0021600020,2016-10-28,ORL @ DET,DET,ORL,L,0,2,0.0,240,33,95,0.347,8,26,0.308,8,12,0.667,14,30,44,20,8,3,9,13,82
2016-10-29,1610612754,0021600030,2016-10-29,IND @ CHI,CHI,IND,L,1,2,0.333,240,43,88,0.489,7,18,0.389,8,9,0.889,8,25,33,34,8,7,13,16,101
