GAME_DATE,Team_ID,Game_ID,GAME_DATE,MATCHUP,HomeTeam,VisitTeam,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2014-10-28,1610612740,0021400001,2014-10-28,NOP vs. ORL,NOP,ORL,W,1,0,1.0,240,41,101,0.406,4,17,0.235,15,31,0.484,26,36,62,20,10,17,9,17,101
2014-10-28,1610612742,0021400002,2014-10-28,DAL @ SAS,SAS,DAL,L,0,1,0.0,240,38,78,0.487,8,21,0.381,16,19,0.842,9,24,33,17,9,3,10,20,100
2014-10-28,1610612745,0021400003,2014-10-28,HOU @ LAL,LAL,HOU,W,1,0,1.0,240,31,73,0.425,12,29,0.414,34,50,0.68,14,33,47,22,7,3,13,30,108
2014-10-29,1610612751,0021400006,2014-10-29,BKN @ BOS,BOS,BKN,L,0,1,0.0,240,39,80,0.488,7,19,0.368,20,26,0.769,9,30,39,20,6,7,20,21,105
2014-10-29,1610612741,0021400010,2014-10-29,CHI @ NYK,NYK,CHI,W,1,0,1.0,240,36,71,0.507,7,24,0.292,25,30,0.833,10,37,47,21,9,4,15,18,104
2014-10-29,1610612743,0021400011,2014-10-29,DEN vs. DET,DEN,DET,W,1,0,1.0,240,30,85,0.353,6,24,0.25,23,31,0.742,14,37,51,17,7,4,15,21,89
2014-10-29,1610612744,0021400014,2014-10-29,GSW @ SAC,SAC,GSW,W,1,0,1.0,240,33,75,0.44,6,27,0.222,23,32,0.719,7,37,44,21,12,8,22,32,95
2014-10-29,1610612745,0021400012,2014-10-29,HOU @ UTA,UTA,HOU,W,2,0,1.0,240,40,77,0.519,14,27,0.519,10,14,0.714,8,27,35,18,7,6,18,23,104
2014-10-29,1610612747,0021400013,2014-10-29,LAL @ PHX,PHX,LAL,L,0,2,0.0,240,37,86,0.43,4,13,0.308,21,25,0.84,12,26,38,20,9,3,13,18,99
2014-10-29,1610612748,0021400007,2014-10-29,MIA vs. WAS,MIA,WAS,W,1,0,1.0,240,39,81,0.481,9,28,0.321,20,23,0.87,12,32,44,20,9,3,14,17,107
2014-10-29,1610612749,0021400004,2014-10-29,MIL @ CHA,CHA,MIL,L,0,1,0.0,265,39,80,0.488,7,14,0.5,21,24,0.875,3,32,35,25,9,10,14,25,106
2014-10-29,1610612750,0021400009,2014-10-29,MIN @ MEM,MEM,MIN,L,0,1,0.0,240,39,86,0.453,6,12,0.5,17,23,0.739,19,28,47,20,8,4,23,21,101
2014-10-29,1610612754,0021400005,2014-10-29,IND vs. PHI,IND,PHI,W,1,0,1.0,240,38,81,0.469,8,25,0.32,19,28,0.679,14,36,50,22,5,13,17,24,103
2014-10-29,1610612757,0021400015,2014-10-29,POR vs. OKC,POR,OKC,W,1,0,1.0,240,39,87,0.448,11,29,0.379,17,22,0.773,13,29,42,23,4,9,10,19,106
2014-10-29,1610612761,0021400008,2014-10-29,TOR vs. ATL,TOR,ATL,W,1,0,1.0,240,37,90,0.411,8,26,0.308,27,33,0.818,16,32,48,26,13,9,9,22,109
2014-10-30,1610612746,0021400020,2014-10-30,LAC vs. OKC,LAC,OKC,W,1,0,1.0,240,34,87,0.391,7,30,0.233,18,25,0.72,14,19,33,17,10,4,11,27,93
2014-10-30,1610612750,0021400017,2014-10-30,MIN vs. DET,MIN,DET,W,1,1,0.5,240,37,76,0.487,4,10,0.4,19,28,0.679,10,33,43,18,8,3,12,21,97
2014-10-30,1610612762,0021400019,2014-10-30,UTA @ DAL,DAL,UTA,L,0,2,0.0,240,36,83,0.434,14,35,0.4,16,18,0.889,15,25,40,22,6,0,16,21,102
2014-10-30,1610612739,0021400018,2014-10-30,CLE vs. NYK,CLE,NYK,L,0,1,0.0,240,32,70,0.457,9,24,0.375,17,20,0.85,11,22,33,22,5,2,19,15,90
2014-10-30,1610612764,0021400016,2014-10-30,WAS @ ORL,ORL,WAS,W,1,1,0.5,240,39,80,0.488,7,13,0.538,20,26,0.769,6,31,37,22,10,0,12,25,105
2014-10-31,1610612757,0021400025,2014-10-31,POR @ SAC,SAC,POR,L,1,1,0.5,240,34,83,0.41,9,26,0.346,17,19,0.895,10,28,38,20,5,8,10,26,94
2014-10-31,1610612747,0021400026,2014-10-31,LAL vs. LAC,LAL,LAC,L,0,3,0.0,240,42,82,0.512,7,20,0.35,20,28,0.714,9,31,40,24,5,2,14,35,111
2014-10-31,1610612763,0021400021,2014-10-31,MEM @ IND,IND,MEM,W,2,0,1.0,240,35,79,0.443,7,19,0.368,20,27,0.741,11,29,40,20,11,2,9,21,97
2014-10-31,1610612749,0021400023,2014-10-31,MIL vs. PHI,MIL,PHI,W,1,1,0.5,240,36,88,0.409,9,24,0.375,12,21,0.571,15,40,55,25,10,11,18,19,93
2014-10-31,1610612739,0021400022,2014-10-31,CLE @ CHI,CHI,CLE,W,1,1,0.5,265,41,104,0.394,3,15,0.2,29,33,0.879,20,32,52,18,8,4,9,18,114
2014-10-31,1610612759,0021400024,2014-10-31,SAS @ PHX,PHX,SAS,L,1,1,0.5,240,32,78,0.41,8,25,0.32,17,23,0.739,5,40,45,20,3,3,12,25,89
2014-11-01,1610612761,0021400029,2014-11-01,TOR @ ORL,ORL,TOR,W,2,0,1.0,240,33,83,0.398,4,21,0.19,38,48,0.792,15,35,50,13,4,4,7,21,108
2014-11-01,1610612760,0021400036,2014-11-01,OKC vs. DEN,OKC,DEN,W,1,2,0.333,240,37,80,0.463,6,20,0.3,22,31,0.71,6,35,41,24,8,6,13,20,102
2014-11-01,1610612755,0021400030,2014-11-01,PHI vs. MIA,PHI,MIA,L,0,3,0.0,240,35,67,0.522,7,23,0.304,19,26,0.731,4,33,37,28,9,10,24,21,96
2014-11-01,1610612737,0021400032,2014-11-01,ATL vs. IND,ATL,IND,W,1,1,0.5,240,35,69,0.507,7,20,0.35,25,33,0.758,3,34,37,26,10,6,12,20,102
2014-11-01,1610612750,0021400035,2014-11-01,MIN vs. CHI,MIN,CHI,L,1,2,0.333,240,38,85,0.447,4,12,0.333,25,31,0.806,13,29,42,26,9,4,10,29,105
2014-11-01,1610612762,0021400037,2014-11-01,UTA vs. PHX,UTA,PHX,W,1,2,0.333,240,42,88,0.477,7,26,0.269,27,33,0.818,13,39,52,19,10,6,13,15,118
2014-11-01,1610612738,0021400034,2014-11-01,BOS @ HOU,HOU,BOS,L,1,1,0.5,240,37,98,0.378,1,25,0.04,15,18,0.833,14,30,44,20,10,8,10,26,90
2014-11-01,1610612763,0021400028,2014-11-01,MEM @ CHA,CHA,MEM,W,3,0,1.0,240,29,80,0.363,3,11,0.273,10,13,0.769,9,36,45,16,8,0,18,22,71
2014-11-01,1610612765,0021400033,2014-11-01,DET vs. BKN,DET,BKN,L,0,3,0.0,240,32,76,0.421,1,17,0.059,25,35,0.714,10,31,41,21,3,3,7,15,90
2014-11-01,1610612764,0021400031,2014-11-01,WAS vs. MIL,WAS,MIL,W,2,1,0.667,240,40,73,0.548,4,13,0.308,24,33,0.727,6,28,34,28,18,5,19,21,108
2014-11-01,1610612747,0021400038,2014-11-01,LAL @ GSW,GSW,LAL,L,0,4,0.0,240,41,88,0.466,4,14,0.286,18,25,0.72,17,20,37,21,9,3,22,27,104
2014-11-01,1610612740,0021400027,2014-11-01,NOP vs. DAL,NOP,DAL,L,1,1,0.5,240,38,89,0.427,7,19,0.368,21,28,0.75,14,33,47,24,8,4,13,19,104
2014-11-02,1610612757,0021400042,2014-11-02,POR vs. GSW,POR,GSW,L,1,2,0.333,240,37,92,0.402,7,27,0.259,9,14,0.643,17,39,56,20,9,2,19,19,90
2014-11-02,1610612748,0021400040,2014-11-02,MIA vs. TOR,MIA,TOR,W,3,0,1.0,240,35,70,0.5,9,24,0.375,28,38,0.737,11,32,43,22,6,6,16,29,107
2014-11-02,1610612752,0021400041,2014-11-02,NYK vs. CHA,NYK,CHA,W,2,1,0.667,240,39,78,0.5,8,16,0.5,10,17,0.588,8,27,35,23,5,0,12,26,96
2014-11-02,1610612758,0021400039,2014-11-02,SAC @ LAC,LAC,SAC,W,2,1,0.667,240,34,68,0.5,3,10,0.3,27,33,0.818,9,37,46,21,4,11,19,22,98
2014-11-03,1610612745,0021400043,2014-11-03,HOU @ PHI,PHI,HOU,W,4,0,1.0,240,32,75,0.427,16,34,0.471,24,30,0.8,13,34,47,27,12,6,21,20,104
2014-11-03,1610612762,0021400048,2014-11-03,UTA @ LAC,LAC,UTA,L,1,3,0.25,240,36,77,0.468,10,27,0.37,19,24,0.792,9,34,43,24,4,2,17,20,101
2014-11-03,1610612738,0021400046,2014-11-03,BOS @ DAL,DAL,BOS,L,1,2,0.333,240,45,102,0.441,11,31,0.355,12,16,0.75,22,27,49,29,9,6,17,21,113
2014-11-03,1610612763,0021400045,2014-11-03,MEM vs. NOP,MEM,NOP,W,4,0,1.0,240,31,76,0.408,4,14,0.286,27,37,0.73,9,43,52,19,5,6,11,24,93
2014-11-03,1610612760,0021400044,2014-11-03,OKC @ BKN,BKN,OKC,L,1,3,0.25,240,32,82,0.39,8,23,0.348,13,21,0.619,15,29,44,14,3,3,17,17,85
