date,Unnamed: 0,id,date,home_team,home_team_score,visit_team,visit_team_score,WINrate
2014-12-11,23,400489192,2014-12-11,Boston Celtics,88,LA,96,0.9166666666666666
2014-12-13,24,400489206,2014-12-13,Boston Celtics,90,NY Knicks,86,1.0465116279069768
2014-12-16,25,400489231,2014-12-16,Boston Celtics,101,Minnesota,97,1.0412371134020622
2014-12-18,26,400489246,2014-12-18,Boston Celtics,106,Detroit,107,0.9906542056074766
2014-12-21,27,400489266,2014-12-21,Boston Celtics,99,Washington,106,0.9339622641509434
2014-12-22,28,400489277,2014-12-22,Indiana,106,Boston Celtics,79,1.3417721518987342
2014-12-28,29,400489309,2014-12-28,Boston Celtics,103,Cleveland,100,1.03
2014-12-31,30,400489333,2014-12-31,Boston Celtics,91,Atlanta,92,0.9891304347826086
2014-01-02,31,400489348,2014-01-02,Chicago,94,Boston Celtics,82,1.146341463414634
2014-01-03,32,400489357,2014-01-03,Boston Celtics,92,New Orleans,95,0.9684210526315791
2014-01-05,33,400489375,2014-01-05,Oklahoma City,119,Boston Celtics,96,1.2395833333333333
2014-01-07,34,400489390,2014-01-07,Denver,129,Boston Celtics,98,1.3163265306122451
2014-01-08,35,400489401,2014-01-08,LA,111,Boston Celtics,105,1.0571428571428572
2014-01-10,36,400489414,2014-01-10,Golden State,99,Boston Celtics,97,1.0206185567010309
2014-01-11,37,400489424,2014-01-11,Portland,112,Boston Celtics,104,1.0769230769230769
2014-01-13,38,400489429,2014-01-13,Boston Celtics,92,Houston,104,0.8846153846153846
2014-01-15,39,400489442,2014-01-15,Boston Celtics,88,Toronto,83,1.0602409638554218
2014-01-17,40,400489459,2014-01-17,Boston Celtics,104,Los Angeles,107,0.97196261682243
2014-01-19,41,400489475,2014-01-19,Orlando,93,Boston Celtics,91,1.021978021978022
2014-01-21,42,400489490,2014-01-21,Miami,93,Boston Celtics,86,1.0813953488372092
2014-01-22,43,400489498,2014-01-22,Washington,111,Boston Celtics,113,0.9823008849557522
2014-01-24,44,400489509,2014-01-24,Boston Celtics,83,Oklahoma City,101,0.8217821782178217
2014-01-26,45,400489531,2014-01-26,Boston Celtics,79,Brooklyn,85,0.9294117647058824
2014-01-28,46,400489543,2014-01-28,NY Knicks,114,Boston Celtics,88,1.2954545454545454
2014-01-29,47,400489551,2014-01-29,Boston Celtics,94,Philadelphia,95,0.9894736842105264
2014-02-02,48,400489582,2014-02-02,Boston Celtics,96,Orlando,89,1.0786516853932584
2014-02-05,49,400489599,2014-02-05,Philadelphia,108,Boston Celtics,114,0.9473684210526316
2014-02-07,50,400489616,2014-02-07,Boston Celtics,99,Sacramento,89,1.1123595505617978
2014-02-09,51,400489631,2014-02-09,Boston Celtics,91,Dallas,102,0.8921568627450981
2014-02-10,52,400489640,2014-02-10,Milwaukee,86,Boston Celtics,102,0.8431372549019608
2014-02-12,53,400489653,2014-02-12,Boston Celtics,92,San Antonio,104,0.8846153846153846
2014-02-19,54,400489680,2014-02-19,Phoenix,100,Boston Celtics,94,1.0638297872340423
2014-02-21,55,400489697,2014-02-21,Los Angeles,101,Boston Celtics,92,1.0978260869565215
2014-02-22,56,400489704,2014-02-22,Sacramento,105,Boston Celtics,98,1.0714285714285714
2014-02-24,57,400489718,2014-02-24,Utah,110,Boston Celtics,98,1.1224489795918366
2014-02-26,58,400489727,2014-02-26,Boston Celtics,115,Atlanta,104,1.1057692307692308
2014-03-01,59,400489750,2014-03-01,Boston Celtics,97,Indiana,102,0.9509803921568628
2014-03-05,60,400489780,2014-03-05,Boston Celtics,88,Golden State,108,0.8148148148148148
2014-03-07,61,400489793,2014-03-07,Boston Celtics,91,Brooklyn,84,1.0833333333333333
2014-03-09,62,400489810,2014-03-09,Boston Celtics,118,Detroit,111,1.063063063063063
2014-03-11,63,400489823,2014-03-11,Indiana,94,Boston Celtics,83,1.1325301204819278
2014-03-12,64,400489835,2014-03-12,Boston Celtics,92,NY Knicks,116,0.7931034482758621
2014-03-14,65,400489848,2014-03-14,Boston Celtics,80,Phoenix,87,0.9195402298850576
2014-03-16,66,400489863,2014-03-16,New Orleans,121,Boston Celtics,120,1.0083333333333333
2014-03-17,67,400489874,2014-03-17,Dallas,94,Boston Celtics,89,1.0561797752808988
2014-03-19,68,400489882,2014-03-19,Boston Celtics,101,Miami,96,1.0520833333333333
2014-03-21,69,400489899,2014-03-21,Brooklyn,114,Boston Celtics,98,1.163265306122449
2014-03-26,70,400489936,2014-03-26,Boston Celtics,90,Toronto,99,0.9090909090909092
2014-03-28,71,400489949,2014-03-28,Toronto,105,Boston Celtics,103,1.019417475728155
2014-03-30,72,400489970,2014-03-30,Boston Celtics,102,Chicago,107,0.9532710280373832
2014-03-31,73,400489979,2014-03-31,Chicago,94,Boston Celtics,80,1.175
2014-04-02,74,400489992,2014-04-02,Washington,118,Boston Celtics,92,1.2826086956521738
2014-04-04,75,400490006,2014-04-04,Boston Celtics,102,Philadelphia,111,0.9189189189189191
2014-04-05,76,400490019,2014-04-05,Detroit,115,Boston Celtics,111,1.036036036036036
2014-04-09,77,400490039,2014-04-09,Atlanta,105,Boston Celtics,97,1.0824742268041236
2014-04-11,78,400490051,2014-04-11,Boston Celtics,106,Charlotte,103,1.029126213592233
2014-04-12,79,400490066,2014-04-12,Cleveland,99,Boston Celtics,111,0.8918918918918919
2014-04-14,80,400490077,2014-04-14,Philadelphia,113,Boston Celtics,108,1.0462962962962965
2014-04-16,81,400490095,2014-04-16,Boston Celtics,102,Washington,118,0.8644067796610171
2014-10-30,82,400488877,2014-10-30,Cleveland,98,Brooklyn Nets,94,1.0425531914893618
2014-11-01,83,400488901,2014-11-01,Brooklyn Nets,101,Miami,100,1.01
2014-11-03,84,400488916,2014-11-03,Orlando,107,Brooklyn Nets,86,1.244186046511628
2014-11-05,85,400488925,2014-11-05,Brooklyn Nets,104,Utah,88,1.181818181818182
2014-11-08,86,400488950,2014-11-08,Washington,112,Brooklyn Nets,108,1.037037037037037
2014-11-09,87,400488960,2014-11-09,Brooklyn Nets,91,Indiana,96,0.9479166666666666
2014-11-13,88,400488994,2014-11-13,Sacramento,107,Brooklyn Nets,86,1.244186046511628
2014-11-15,89,400489005,2014-11-15,Phoenix,98,Brooklyn Nets,100,0.98
2014-11-16,90,400489019,2014-11-16,LA,110,Brooklyn Nets,103,1.0679611650485437
2014-11-18,91,400489023,2014-11-18,Brooklyn Nets,98,Portland,108,0.9074074074074074
2014-11-20,92,400489034,2014-11-20,Charlotte,95,Brooklyn Nets,91,1.043956043956044
2014-11-22,93,400489055,2014-11-22,Minnesota,111,Brooklyn Nets,81,1.3703703703703705
2014-11-24,94,400489070,2014-11-24,Brooklyn Nets,97,Detroit,109,0.8899082568807339
2014-11-26,95,400489084,2014-11-26,Toronto,100,Brooklyn Nets,102,0.9803921568627452
2014-11-27,96,400489091,2014-11-27,Brooklyn Nets,94,Los Angeles,99,0.9494949494949496
2014-11-29,97,400489107,2014-11-29,Houston,114,Brooklyn Nets,95,1.2
2014-11-30,98,400489116,2014-11-30,Memphis,88,Brooklyn Nets,97,0.9072164948453608
2014-12-03,99,400489136,2014-12-03,Brooklyn Nets,87,Denver,111,0.7837837837837838
2014-12-05,100,400489150,2014-12-05,Brooklyn Nets,83,NY Knicks,113,0.7345132743362832
2014-12-07,101,400489168,2014-12-07,Milwaukee,82,Brooklyn Nets,90,0.9111111111111112
2014-12-12,102,400489200,2014-12-12,Brooklyn Nets,102,LA,93,1.0967741935483872
2014-12-13,103,400489207,2014-12-13,Detroit,103,Brooklyn Nets,99,1.0404040404040404
2014-12-16,104,400489232,2014-12-16,Brooklyn Nets,130,Philadelphia,94,1.3829787234042554
2014-12-18,105,400489247,2014-12-18,Brooklyn Nets,107,Washington,113,0.9469026548672568
2014-12-20,106,400489256,2014-12-20,Philadelphia,121,Brooklyn Nets,120,1.0083333333333333
2014-12-23,107,400489283,2014-12-23,Brooklyn Nets,86,Indiana,103,0.8349514563106796
2014-12-25,108,400489291,2014-12-25,Brooklyn Nets,78,Chicago,95,0.8210526315789474
2014-12-27,109,400489302,2014-12-27,Brooklyn Nets,104,Milwaukee,93,1.118279569892473
2014-12-28,110,400489310,2014-12-28,Indiana,105,Brooklyn Nets,91,1.1538461538461535
2014-12-31,111,400489338,2014-12-31,San Antonio,113,Brooklyn Nets,92,1.2282608695652173
2014-01-02,112,400489349,2014-01-02,Oklahoma City,93,Brooklyn Nets,95,0.9789473684210528
2014-01-04,113,400489364,2014-01-04,Brooklyn Nets,89,Cleveland,82,1.0853658536585369
2014-01-06,114,400489379,2014-01-06,Brooklyn Nets,91,Atlanta,86,1.0581395348837208
2014-01-08,115,400489396,2014-01-08,Brooklyn Nets,102,Golden State,98,1.0408163265306123
2014-01-10,116,400489410,2014-01-10,Brooklyn Nets,104,Miami,95,1.0947368421052632
2014-01-11,117,400489416,2014-01-11,Toronto,96,Brooklyn Nets,80,1.2
2014-01-16,118,400489452,2014-01-16,Atlanta,110,Brooklyn Nets,127,0.8661417322834646
2014-01-20,119,400489483,2014-01-20,NY Knicks,80,Brooklyn Nets,103,0.7766990291262136
2014-01-21,120,400489489,2014-01-21,Brooklyn Nets,101,Orlando,90,1.1222222222222222
2014-01-24,121,400489510,2014-01-24,Brooklyn Nets,107,Dallas,106,1.0094339622641508
2014-01-27,122,400489536,2014-01-27,Brooklyn Nets,103,Toronto,104,0.9903846153846154
2014-01-31,123,400489565,2014-01-31,Brooklyn Nets,95,Oklahoma City,120,0.7916666666666666
2014-02-01,124,400489570,2014-02-01,Indiana,97,Brooklyn Nets,96,1.0104166666666667
2014-02-03,125,400489585,2014-02-03,Brooklyn Nets,108,Philadelphia,102,1.0588235294117647
2014-02-06,126,400489610,2014-02-06,Brooklyn Nets,103,San Antonio,89,1.1573033707865168
2014-02-07,127,400489617,2014-02-07,Detroit,111,Brooklyn Nets,95,1.168421052631579
2014-02-09,128,400489632,2014-02-09,Brooklyn Nets,93,New Orleans,81,1.148148148148148
2014-02-12,129,400489654,2014-02-12,Brooklyn Nets,105,Charlotte,89,1.1797752808988764
2014-02-13,130,400489663,2014-02-13,Chicago,92,Brooklyn Nets,76,1.2105263157894737
2014-02-19,131,400489681,2014-02-19,Utah,99,Brooklyn Nets,105,0.9428571428571428
2014-02-22,132,400489705,2014-02-22,Golden State,93,Brooklyn Nets,86,1.0813953488372092
2014-02-23,133,400489712,2014-02-23,Los Angeles,102,Brooklyn Nets,108,0.9444444444444444
2014-02-26,134,400489734,2014-02-26,Portland,124,Brooklyn Nets,80,1.55
2014-02-27,135,400489739,2014-02-27,Denver,89,Brooklyn Nets,112,0.7946428571428571
2014-03-01,136,400489751,2014-03-01,Milwaukee,98,Brooklyn Nets,107,0.9158878504672896
2014-03-03,137,400489764,2014-03-03,Brooklyn Nets,96,Chicago,80,1.2
2014-03-05,138,400489781,2014-03-05,Brooklyn Nets,103,Memphis,94,1.0957446808510638
2014-03-09,139,400489811,2014-03-09,Brooklyn Nets,104,Sacramento,89,1.1685393258426966
2014-03-10,140,400489817,2014-03-10,Brooklyn Nets,101,Toronto,97,1.0412371134020622
2014-03-12,141,400489830,2014-03-12,Miami,95,Brooklyn Nets,96,0.9895833333333334
2014-03-15,142,400489855,2014-03-15,Washington,101,Brooklyn Nets,94,1.074468085106383
2014-03-17,143,400489871,2014-03-17,Brooklyn Nets,108,Phoenix,95,1.136842105263158
2014-03-19,144,400489883,2014-03-19,Brooklyn Nets,104,Charlotte,99,1.0505050505050506
2014-03-23,145,400489917,2014-03-23,Dallas,104,Brooklyn Nets,107,0.97196261682243
2014-03-24,146,400489925,2014-03-24,New Orleans,109,Brooklyn Nets,104,1.0480769230769231
2014-03-26,147,400489934,2014-03-26,Charlotte,116,Brooklyn Nets,111,1.045045045045045
2014-03-28,148,400489951,2014-03-28,Brooklyn Nets,108,Cleveland,97,1.11340206185567
2014-03-30,149,400489968,2014-03-30,Brooklyn Nets,114,Minnesota,99,1.1515151515151516
2014-04-01,150,400489984,2014-04-01,Brooklyn Nets,105,Houston,96,1.09375
2014-04-02,151,400489988,2014-04-02,NY Knicks,110,Brooklyn Nets,81,1.3580246913580247
2014-04-04,152,400490007,2014-04-04,Brooklyn Nets,116,Detroit,104,1.1153846153846154
2014-04-05,153,400490020,2014-04-05,Philadelphia,101,Brooklyn Nets,105,0.961904761904762
2014-04-08,154,400490031,2014-04-08,Miami,87,Brooklyn Nets,88,0.9886363636363636
2014-04-09,155,400490036,2014-04-09,Orlando,115,Brooklyn Nets,111,1.036036036036036
2014-04-11,156,400490052,2014-04-11,Brooklyn Nets,88,Atlanta,93,0.946236559139785
2014-04-13,157,400490072,2014-04-13,Brooklyn Nets,97,Orlando,88,1.1022727272727273
2014-04-15,158,400490087,2014-04-15,Brooklyn Nets,98,NY Knicks,109,0.8990825688073395
2014-04-16,159,400490097,2014-04-16,Cleveland,114,Brooklyn Nets,85,1.3411764705882352
2014-10-30,160,400488881,2014-10-30,New York Knicks,90,Milwaukee,83,1.0843373493975903
2014-10-31,161,400488891,2014-10-31,Chicago,82,New York Knicks,81,1.0123456790123455
2014-11-03,162,400488918,2014-11-03,New York Knicks,100,Minnesota,109,0.9174311926605504
2014-11-05,163,400488927,2014-11-05,New York Knicks,97,Charlotte,102,0.9509803921568628
2014-11-08,164,400488946,2014-11-08,Charlotte,91,New York Knicks,101,0.9009900990099008
2014-11-10,165,400488967,2014-11-10,New York Knicks,89,San Antonio,120,0.7416666666666667
2014-11-13,166,400488989,2014-11-13,Atlanta,91,New York Knicks,95,0.9578947368421052
2014-11-14,167,400488996,2014-11-14,New York Knicks,106,Houston,109,0.9724770642201837
2014-11-16,168,400489012,2014-11-16,New York Knicks,90,Atlanta,110,0.8181818181818182
2014-11-19,169,400489030,2014-11-19,Detroit,92,New York Knicks,86,1.069767441860465
2014-11-20,170,400489036,2014-11-20,New York Knicks,96,Indiana,103,0.9320388349514565
2014-11-23,171,400489062,2014-11-23,Washington,98,New York Knicks,89,1.1011235955056178
2014-11-25,172,400489083,2014-11-25,Portland,102,New York Knicks,91,1.120879120879121
2014-11-27,173,400489100,2014-11-27,LA,93,New York Knicks,80,1.1625
2014-11-29,174,400489111,2014-11-29,Denver,97,New York Knicks,95,1.0210526315789474
2014-12-01,175,400489127,2014-12-01,New York Knicks,99,New Orleans,103,0.9611650485436892
2014-12-06,176,400489157,2014-12-06,New York Knicks,121,Orlando,83,1.4578313253012047
2014-12-10,177,400489183,2014-12-10,Cleveland,109,New York Knicks,94,1.1595744680851063
2014-12-11,178,400489197,2014-12-11,New York Knicks,83,Chicago,78,1.064102564102564
2014-12-14,179,400489218,2014-12-14,New York Knicks,111,Atlanta,106,1.0471698113207548
2014-12-16,180,400489234,2014-12-16,New York Knicks,101,Washington,102,0.9901960784313726
2014-12-18,181,400489248,2014-12-18,Milwaukee,101,New York Knicks,107,0.9439252336448598
2014-12-21,182,400489265,2014-12-21,New York Knicks,87,Memphis,95,0.9157894736842104
2014-12-23,183,400489282,2014-12-23,Orlando,98,New York Knicks,103,0.9514563106796116
2014-12-25,184,400489292,2014-12-25,New York Knicks,94,Oklahoma City,123,0.7642276422764228
2014-12-27,185,400489303,2014-12-27,New York Knicks,83,Toronto,95,0.8736842105263158
2014-12-28,186,400489311,2014-12-28,Toronto,115,New York Knicks,100,1.15
2014-01-02,187,400489350,2014-01-02,San Antonio,101,New York Knicks,105,0.961904761904762
2014-01-03,188,400489358,2014-01-03,Houston,102,New York Knicks,100,1.02
2014-01-05,189,400489376,2014-01-05,Dallas,80,New York Knicks,92,0.8695652173913043
2014-01-07,190,400489385,2014-01-07,New York Knicks,89,Detroit,85,1.0470588235294118
2014-01-09,191,400489402,2014-01-09,New York Knicks,102,Miami,92,1.108695652173913
2014-01-11,192,400489419,2014-01-11,Philadelphia,92,New York Knicks,102,0.9019607843137256
2014-01-13,193,400489430,2014-01-13,New York Knicks,98,Phoenix,96,1.0208333333333333
2014-01-14,194,400489435,2014-01-14,Charlotte,108,New York Knicks,98,1.1020408163265305
2014-01-16,195,400489451,2014-01-16,Indiana,117,New York Knicks,89,1.3146067415730338
2014-01-17,196,400489454,2014-01-17,New York Knicks,95,LA,109,0.8715596330275229
2014-01-22,197,400489499,2014-01-22,New York Knicks,106,Philadelphia,110,0.9636363636363636
2014-01-24,198,400489513,2014-01-24,New York Knicks,125,Charlotte,96,1.3020833333333333
2014-01-26,199,400489528,2014-01-26,New York Knicks,110,Los Angeles,103,1.0679611650485437
2014-01-30,200,400489560,2014-01-30,New York Knicks,117,Cleveland,86,1.3604651162790695
2014-02-01,201,400489578,2014-02-01,New York Knicks,91,Miami,106,0.8584905660377359
2014-02-03,202,400489587,2014-02-03,Milwaukee,101,New York Knicks,98,1.030612244897959
2014-02-05,203,400489601,2014-02-05,New York Knicks,90,Portland,94,0.9574468085106383
2014-02-07,204,400489618,2014-02-07,New York Knicks,117,Denver,90,1.3
2014-02-09,205,400489629,2014-02-09,Oklahoma City,112,New York Knicks,100,1.12
2014-02-12,206,400489656,2014-02-12,New York Knicks,101,Sacramento,106,0.9528301886792452
2014-02-18,207,400489669,2014-02-18,Memphis,98,New York Knicks,93,1.053763440860215
2014-02-19,208,400489679,2014-02-19,New Orleans,91,New York Knicks,98,0.9285714285714286
2014-02-21,209,400489689,2014-02-21,Orlando,129,New York Knicks,121,1.0661157024793388
2014-02-22,210,400489700,2014-02-22,Atlanta,107,New York Knicks,98,1.0918367346938775
2014-02-24,211,400489716,2014-02-24,New York Knicks,108,Dallas,110,0.9818181818181818
2014-02-27,212,400489738,2014-02-27,Miami,108,New York Knicks,82,1.3170731707317074
2014-02-28,213,400489742,2014-02-28,New York Knicks,103,Golden State,126,0.8174603174603174
2014-03-02,214,400489756,2014-03-02,Chicago,109,New York Knicks,90,1.2111111111111108
2014-03-03,215,400489765,2014-03-03,Detroit,96,New York Knicks,85,1.1294117647058823
2014-03-05,216,400489784,2014-03-05,Minnesota,106,New York Knicks,118,0.8983050847457628
2014-03-07,217,400489794,2014-03-07,New York Knicks,108,Utah,81,1.3333333333333333
2014-03-08,218,400489801,2014-03-08,Cleveland,97,New York Knicks,107,0.9065420560747663
2014-03-10,219,400489819,2014-03-10,New York Knicks,123,Philadelphia,110,1.1181818181818182
2014-03-15,220,400489854,2014-03-15,New York Knicks,115,Milwaukee,94,1.2234042553191489
2014-03-19,221,400489886,2014-03-19,New York Knicks,92,Indiana,86,1.069767441860465
2014-03-21,222,400489896,2014-03-21,Philadelphia,92,New York Knicks,93,0.989247311827957
2014-03-23,223,400489918,2014-03-23,New York Knicks,100,Cleveland,106,0.9433962264150944
2014-03-25,224,400489933,2014-03-25,Los Angeles,127,New York Knicks,96,1.3229166666666667
2014-03-26,225,400489942,2014-03-26,Sacramento,99,New York Knicks,107,0.9252336448598132
2014-03-28,226,400489958,2014-03-28,Phoenix,112,New York Knicks,88,1.2727272727272727
2014-03-30,227,400489971,2014-03-30,Golden State,84,New York Knicks,89,0.9438202247191012
2014-03-31,228,400489983,2014-03-31,Utah,83,New York Knicks,92,0.9021739130434784
2014-04-04,229,400490009,2014-04-04,New York Knicks,89,Washington,90,0.9888888888888888
2014-04-06,230,400490022,2014-04-06,Miami,102,New York Knicks,91,1.120879120879121
2014-04-11,231,400490050,2014-04-11,Toronto,100,New York Knicks,108,0.925925925925926
2014-04-13,232,400490070,2014-04-13,New York Knicks,100,Chicago,89,1.1235955056179776
2014-04-16,233,400490099,2014-04-16,New York Knicks,95,Toronto,92,1.0326086956521738
2014-10-30,234,400488878,2014-10-30,Philadelphia 76ers,114,Miami,110,1.0363636363636364
2014-11-01,235,400488895,2014-11-01,Washington,102,Philadelphia 76ers,109,0.9357798165137616
2014-11-02,236,400488907,2014-11-02,Philadelphia 76ers,107,Chicago,104,1.0288461538461535
2014-11-04,237,400488921,2014-11-04,Philadelphia 76ers,90,Golden State,110,0.8181818181818182
2014-11-06,238,400488936,2014-11-06,Philadelphia 76ers,102,Washington,116,0.8793103448275862
2014-11-08,239,400488949,2014-11-08,Philadelphia 76ers,94,Cleveland,79,1.1898734177215189
2014-11-09,240,400488961,2014-11-09,Cleveland,127,Philadelphia 76ers,125,1.016
2014-11-11,241,400488973,2014-11-11,Philadelphia 76ers,85,San Antonio,109,0.7798165137614679
2014-11-13,242,400488985,2014-11-13,Philadelphia 76ers,123,Houston,117,1.051282051282051
2014-11-15,243,400489000,2014-11-15,Atlanta,113,Philadelphia 76ers,103,1.0970873786407769
2014-11-16,244,400489016,2014-11-16,New Orleans,135,Philadelphia 76ers,98,1.3775510204081634
2014-11-18,245,400489026,2014-11-18,Dallas,97,Philadelphia 76ers,94,1.0319148936170213
2014-11-20,246,400489038,2014-11-20,Philadelphia 76ers,98,Toronto,108,0.9074074074074074
2014-11-22,247,400489050,2014-11-22,Philadelphia 76ers,115,Milwaukee,107,1.074766355140187
2014-11-23,248,400489061,2014-11-23,Indiana,106,Philadelphia 76ers,98,1.0816326530612246
2014-11-27,249,400489089,2014-11-27,Orlando,105,Philadelphia 76ers,94,1.1170212765957446
2014-11-29,250,400489110,2014-11-29,Philadelphia 76ers,105,New Orleans,121,0.8677685950413223
2014-12-01,251,400489123,2014-12-01,Detroit,115,Philadelphia 76ers,100,1.15
2014-12-03,252,400489134,2014-12-03,Philadelphia 76ers,126,Orlando,125,1.008
2014-12-06,253,400489153,2014-12-06,Charlotte,105,Philadelphia 76ers,88,1.193181818181818
2014-12-07,254,400489163,2014-12-07,Philadelphia 76ers,92,Denver,103,0.8932038834951457
2014-12-09,255,400489178,2014-12-09,Philadelphia 76ers,83,LA,94,0.8829787234042553
2014-12-11,256,400489195,2014-12-11,Minnesota,106,Philadelphia 76ers,99,1.0707070707070707
2014-12-13,257,400489204,2014-12-13,Toronto,108,Philadelphia 76ers,100,1.08
2014-12-14,258,400489220,2014-12-14,Philadelphia 76ers,105,Portland,139,0.7553956834532374
2014-12-21,259,400489271,2014-12-21,Milwaukee,116,Philadelphia 76ers,106,1.0943396226415094
2014-12-28,260,400489318,2014-12-28,Phoenix,115,Philadelphia 76ers,101,1.1386138613861383
2014-12-29,261,400489325,2014-12-29,Los Angeles,104,Philadelphia 76ers,111,0.9369369369369368
2014-01-01,262,400489344,2014-01-01,Denver,102,Philadelphia 76ers,114,0.8947368421052632
2014-01-02,263,400489354,2014-01-02,Sacramento,104,Philadelphia 76ers,113,0.9203539823008848
2014-01-04,264,400489369,2014-01-04,Portland,99,Philadelphia 76ers,101,0.9801980198019802
2014-01-06,265,400489378,2014-01-06,Philadelphia 76ers,95,Minnesota,126,0.7539682539682541
2014-01-07,266,400489382,2014-01-07,Cleveland,111,Philadelphia 76ers,93,1.1935483870967742
2014-01-10,267,400489405,2014-01-10,Philadelphia 76ers,104,Detroit,114,0.912280701754386
2014-01-15,268,400489440,2014-01-15,Philadelphia 76ers,95,Charlotte,92,1.0326086956521738
2014-01-17,269,400489456,2014-01-17,Philadelphia 76ers,86,Miami,101,0.8514851485148515
2014-01-18,270,400489469,2014-01-18,Chicago,103,Philadelphia 76ers,78,1.3205128205128205
2014-01-20,271,400489482,2014-01-20,Washington,107,Philadelphia 76ers,99,1.0808080808080809
2014-01-24,272,400489507,2014-01-24,Philadelphia 76ers,95,Toronto,104,0.9134615384615384
2014-01-25,273,400489521,2014-01-25,Philadelphia 76ers,91,Oklahoma City,103,0.883495145631068
2014-01-27,274,400489535,2014-01-27,Philadelphia 76ers,113,Phoenix,124,0.9112903225806452
2014-01-31,275,400489563,2014-01-31,Philadelphia 76ers,99,Atlanta,125,0.792
2014-02-01,276,400489573,2014-02-01,Detroit,113,Philadelphia 76ers,96,1.1770833333333333
2014-02-07,277,400489614,2014-02-07,Philadelphia 76ers,98,Los Angeles,112,0.875
2014-02-09,278,400489636,2014-02-09,LA,123,Philadelphia 76ers,78,1.5769230769230769
2014-02-10,279,400489642,2014-02-10,Golden State,123,Philadelphia 76ers,80,1.5375
2014-02-12,280,400489660,2014-02-12,Utah,105,Philadelphia 76ers,100,1.05
2014-02-18,281,400489666,2014-02-18,Philadelphia 76ers,85,Cleveland,114,0.7456140350877193
2014-02-21,282,400489690,2014-02-21,Philadelphia 76ers,112,Dallas,124,0.9032258064516128
2014-02-24,283,400489714,2014-02-24,Philadelphia 76ers,110,Milwaukee,130,0.8461538461538461
2014-02-26,284,400489726,2014-02-26,Philadelphia 76ers,90,Orlando,101,0.8910891089108911
2014-03-01,285,400489748,2014-03-01,Philadelphia 76ers,103,Washington,122,0.8442622950819673
2014-03-02,286,400489759,2014-03-02,Orlando,92,Philadelphia 76ers,81,1.1358024691358024
2014-03-04,287,400489774,2014-03-04,Oklahoma City,125,Philadelphia 76ers,92,1.358695652173913
2014-03-08,288,400489802,2014-03-08,Philadelphia 76ers,92,Utah,104,0.8846153846153846
2014-03-12,289,400489832,2014-03-12,Philadelphia 76ers,98,Sacramento,115,0.8521739130434782
2014-03-14,290,400489846,2014-03-14,Philadelphia 76ers,94,Indiana,101,0.9306930693069309
2014-03-15,291,400489858,2014-03-15,Philadelphia 76ers,77,Memphis,103,0.7475728155339806
2014-03-17,292,400489870,2014-03-17,Indiana,99,Philadelphia 76ers,90,1.1
2014-03-19,293,400489881,2014-03-19,Philadelphia 76ers,94,Chicago,102,0.9215686274509804
2014-03-22,294,400489907,2014-03-22,Chicago,91,Philadelphia 76ers,81,1.1234567901234571
2014-03-24,295,400489927,2014-03-24,San Antonio,113,Philadelphia 76ers,91,1.2417582417582418
2014-03-27,296,400489945,2014-03-27,Houston,120,Philadelphia 76ers,98,1.2244897959183674
