date,Unnamed: 0,id,date,home_team,home_team_score,visit_team,visit_team_score,WINrate
2014-10-30,0,400488879,2014-10-30,Toronto,93,Boston Celtics,87,1.0689655172413792
2014-11-01,1,400488897,2014-11-01,Boston Celtics,98,Milwaukee,105,0.9333333333333332
2014-11-03,2,400488914,2014-11-03,Detroit,87,Boston Celtics,77,1.12987012987013
2014-11-04,3,400488922,2014-11-04,Memphis,95,Boston Celtics,88,1.0795454545454546
2014-11-06,4,400488937,2014-11-06,Boston Celtics,97,Utah,87,1.1149425287356325
2014-11-08,5,400488948,2014-11-08,Orlando,89,Boston Celtics,91,0.978021978021978
2014-11-09,6,400488962,2014-11-09,Miami,110,Boston Celtics,111,0.990990990990991
2014-11-11,7,400488974,2014-11-11,Boston Celtics,120,Orlando,105,1.1428571428571428
2014-11-13,8,400488986,2014-11-13,Boston Celtics,83,Charlotte,89,0.9325842696629212
2014-11-15,9,400489001,2014-11-15,Boston Celtics,96,Portland,109,0.8807339449541285
2014-11-16,10,400489015,2014-11-16,Minnesota,106,Boston Celtics,88,1.2045454545454546
2014-11-19,11,400489032,2014-11-19,Houston,109,Boston Celtics,85,1.2823529411764707
2014-11-20,12,400489043,2014-11-20,San Antonio,104,Boston Celtics,93,1.118279569892473
2014-11-22,13,400489052,2014-11-22,Boston Celtics,82,Indiana,97,0.8453608247422679
2014-11-23,14,400489063,2014-11-23,Atlanta,87,Boston Celtics,94,0.9255319148936171
2014-11-25,15,400489075,2014-11-25,Charlotte,86,Boston Celtics,96,0.8958333333333334
2014-11-27,16,400489090,2014-11-27,Boston Celtics,93,Memphis,100,0.93
2014-11-29,17,400489105,2014-11-29,Boston Celtics,103,Cleveland,86,1.1976744186046508
2014-11-30,18,400489120,2014-11-30,Milwaukee,92,Boston Celtics,85,1.0823529411764703
2014-12-03,19,400489135,2014-12-03,Boston Celtics,108,Milwaukee,100,1.08
2014-12-06,20,400489156,2014-12-06,Boston Celtics,106,Denver,98,1.0816326530612246
2014-12-08,21,400489172,2014-12-08,NY Knicks,73,Boston Celtics,114,0.6403508771929824
2014-12-10,22,400489187,2014-12-10,Brooklyn,104,Boston Celtics,96,1.0833333333333333
