Date,HomeTeam,HomeTeamPTS,VisitTeam,VisitTeamPTS,Winning
2015-10-27,ATL,94,DET,106,0.8867924528301887
2015-10-27,CHI,97,CLE,95,1.0210526315789474
2015-10-27,GSW,111,NOP,95,1.168421052631579
2015-10-28,MEM,76,CLE,106,0.7169811320754716
2015-10-28,POR,112,NOP,94,1.1914893617021276
2015-10-28,BKN,100,CHI,115,0.8695652173913043
2015-10-28,PHX,95,DAL,111,0.8558558558558559
2015-10-28,HOU,85,DEN,105,0.8095238095238095
2015-10-28,SAC,104,LAC,111,0.9369369369369369
2015-10-28,LAL,111,MIN,112,0.9910714285714286
2015-10-28,MIA,104,CHA,94,1.1063829787234043
2015-10-28,MIL,97,NYK,122,0.7950819672131147
2015-10-28,ORL,87,WAS,88,0.9886363636363636
2015-10-28,TOR,106,IND,99,1.0707070707070707
2015-10-28,BOS,112,PHI,95,1.1789473684210525
2015-10-28,OKC,112,SAS,106,1.0566037735849056
2015-10-28,DET,92,UTA,87,1.0574712643678161
2015-10-29,NYK,101,ATL,112,0.9017857142857143
2015-10-29,LAC,104,DAL,88,1.1818181818181819
2015-10-29,IND,103,MEM,112,0.9196428571428571
2015-10-30,SAC,132,LAL,114,1.1578947368421053
2015-10-30,DEN,78,MIN,95,0.8210526315789474
2015-10-30,HOU,92,GSW,112,0.8214285714285714
2015-10-30,SAS,102,BKN,75,1.36
2015-10-30,PHX,110,POR,92,1.1956521739130435
2015-10-30,MIL,113,WAS,118,0.9576271186440678
2015-10-30,CLE,102,MIA,92,1.108695652173913
2015-10-30,ORL,136,OKC,139,0.9784172661870504
2015-10-30,DET,98,CHI,94,1.0425531914893618
2015-10-30,ATL,97,CHA,94,1.0319148936170213
2015-10-30,PHI,71,UTA,99,0.7171717171717171
2015-10-30,BOS,103,TOR,113,0.911504424778761
2015-10-31,LAC,114,SAC,109,1.0458715596330275
2015-10-31,NOP,120,GSW,134,0.8955223880597015
2015-10-31,MEM,101,BKN,91,1.10989010989011
2015-10-31,POR,90,PHX,101,0.8910891089108911
2015-10-31,WAS,110,NYK,117,0.9401709401709402
2015-10-31,IND,76,UTA,97,0.7835051546391752
2015-11-01,OKC,117,DEN,93,1.2580645161290323
2015-11-01,TOR,106,MIL,87,1.2183908045977012
2015-11-01,BOS,87,SAS,95,0.9157894736842105
2015-11-01,CHI,92,ORL,87,1.0574712643678161
2015-11-01,LAL,93,DAL,103,0.9029126213592233
2015-11-01,MIA,109,HOU,89,1.2247191011235956
2015-11-01,CHA,92,ATL,94,0.9787234042553191
2015-11-02,MIN,101,POR,106,0.9528301886792453
2015-11-02,NYK,84,SAS,94,0.8936170212765957
2015-11-02,PHI,100,CLE,107,0.9345794392523364
2015-11-02,HOU,110,OKC,105,1.0476190476190477
2015-11-02,GSW,119,MEM,69,1.7246376811594204
2015-11-02,LAC,102,PHX,96,1.0625
2015-11-02,BKN,96,MIL,103,0.9320388349514563
2015-11-03,NOP,94,ORL,103,0.912621359223301
2015-11-03,SAC,89,MEM,103,0.8640776699029126
2015-11-03,DET,82,IND,94,0.8723404255319149
2015-11-03,DAL,91,TOR,102,0.8921568627450981
2015-11-03,LAL,109,DEN,120,0.9083333333333333
2015-11-03,CHA,130,CHI,105,1.2380952380952381
2015-11-03,MIA,92,ATL,98,0.9387755102040817
2015-11-04,HOU,119,ORL,114,1.043859649122807
2015-11-04,CLE,96,NYK,86,1.1162790697674418
2015-11-04,MIL,91,PHI,87,1.0459770114942528
2015-11-04,PHX,118,SAC,97,1.2164948453608246
2015-11-04,IND,100,BOS,98,1.0204081632653061
2015-11-04,OKC,98,TOR,103,0.9514563106796117
2015-11-04,GSW,112,LAC,108,1.037037037037037
2015-11-04,WAS,102,SAS,99,1.0303030303030303
2015-11-04,UTA,92,POR,108,0.8518518518518519
2015-11-04,ATL,101,BKN,87,1.160919540229885
2015-11-05,CHI,104,OKC,98,1.0612244897959184
2015-11-05,MIN,84,MIA,96,0.875
2015-11-05,DEN,84,UTA,96,0.875
2015-11-05,POR,115,MEM,96,1.1979166666666667
2015-11-05,DAL,94,CHA,108,0.8703703703703703
2015-11-06,CLE,108,PHI,102,1.0588235294117647
2015-11-06,IND,90,MIA,87,1.0344827586206897
2015-11-06,PHX,92,DET,100,0.92
2015-11-06,NYK,92,MIL,99,0.9292929292929293
2015-11-06,BOS,118,WAS,98,1.2040816326530612
2015-11-06,SAC,110,HOU,116,0.9482758620689655
2015-11-06,BKN,98,LAL,104,0.9423076923076923
2015-11-06,NOP,115,ATL,121,0.9504132231404959
2015-11-06,ORL,92,TOR,87,1.0574712643678161
2015-11-06,GSW,119,DEN,104,1.1442307692307692
2015-11-07,MIL,94,BKN,86,1.0930232558139534
2015-11-07,DAL,107,NOP,98,1.0918367346938775
2015-11-07,CHI,93,MIN,102,0.9117647058823529
2015-11-07,UTA,89,MEM,79,1.1265822784810127
2015-11-07,SAC,94,GSW,103,0.912621359223301
2015-11-07,SAS,114,CHA,94,1.2127659574468086
2015-11-07,LAC,105,HOU,109,0.963302752293578
2015-11-07,PHI,97,ORL,105,0.9238095238095239
2015-11-07,ATL,114,WAS,99,1.1515151515151516
2015-11-08,NYK,99,LAL,95,1.0421052631578946
2015-11-08,OKC,124,PHX,103,1.203883495145631
2015-11-08,MIA,96,TOR,76,1.263157894736842
2015-11-08,CLE,101,IND,97,1.041237113402062
2015-11-08,POR,103,DET,120,0.8583333333333333
2015-11-09,SAC,88,SAS,106,0.8301886792452831
2015-11-09,DEN,108,POR,104,1.0384615384615385
2015-11-09,ATL,107,MIN,117,0.9145299145299145
2015-11-09,LAC,94,MEM,92,1.0217391304347827
2015-11-09,PHI,88,CHI,111,0.7927927927927928
2015-11-09,IND,97,ORL,84,1.1547619047619047
2015-11-09,GSW,109,DET,95,1.1473684210526316
2015-11-10,MIN,95,CHA,104,0.9134615384615384
2015-11-10,TOR,109,NYK,111,0.9819819819819819
2015-11-10,MIA,101,LAL,88,1.1477272727272727
2015-11-10,NOP,120,DAL,105,1.1428571428571428
2015-11-10,WAS,101,OKC,125,0.808
2015-11-10,CLE,118,UTA,114,1.0350877192982457
2015-11-10,MIL,83,BOS,99,0.8383838383838383
2015-11-11,CHA,95,NYK,93,1.021505376344086
2015-11-11,SAC,101,DET,92,1.0978260869565217
2015-11-11,DEN,103,MIL,102,1.0098039215686274
2015-11-11,MEM,84,GSW,100,0.84
2015-11-11,ATL,106,NOP,98,1.0816326530612246
2015-11-11,BOS,91,IND,102,0.8921568627450981
2015-11-11,DAL,118,LAC,108,1.0925925925925926
2015-11-11,ORL,101,LAL,99,1.02020202020202
2015-11-11,PHI,103,TOR,119,0.865546218487395
2015-11-11,POR,101,SAS,113,0.8938053097345132
2015-11-11,HOU,98,BKN,106,0.9245283018867925
2015-11-12,PHX,118,LAC,104,1.1346153846153846
2015-11-12,MIA,92,UTA,91,1.010989010989011
2015-11-12,MIN,116,GSW,129,0.8992248062015504
2015-11-13,MEM,101,POR,100,1.01
2015-11-13,BOS,106,ATL,93,1.1397849462365592
2015-11-13,IND,107,MIN,103,1.0388349514563107
2015-11-13,DAL,90,LAL,82,1.0975609756097562
2015-11-13,CHI,102,CHA,97,1.0515463917525774
2015-11-13,ORL,102,UTA,93,1.096774193548387
2015-11-13,TOR,100,NOP,81,1.2345679012345678
2015-11-13,NYK,84,CLE,90,0.9333333333333333
2015-11-13,OKC,102,PHI,85,1.2
2015-11-13,SAC,111,BKN,109,1.018348623853211
2015-11-13,DEN,107,HOU,98,1.0918367346938775
2015-11-14,GSW,107,BKN,99,1.0808080808080809
2015-11-14,MIL,108,CLE,105,1.0285714285714285
2015-11-14,LAC,101,DET,96,1.0520833333333333
2015-11-14,WAS,108,ORL,99,1.0909090909090908
2015-11-14,PHX,105,DEN,81,1.2962962962962963
2015-11-14,HOU,98,DAL,110,0.8909090909090909
2015-11-14,SAS,92,PHI,83,1.108433734939759
2015-11-15,CHA,106,POR,94,1.127659574468085
2015-11-15,LAL,97,DET,85,1.1411764705882352
2015-11-15,ATL,96,UTA,97,0.9896907216494846
2015-11-15,OKC,85,BOS,100,0.85
2015-11-15,NYK,95,NOP,87,1.0919540229885059
2015-11-15,MIN,106,MEM,114,0.9298245614035088
2015-11-15,SAC,107,TOR,101,1.0594059405940595
2015-11-16,MEM,122,OKC,114,1.0701754385964912
2015-11-16,PHX,120,LAL,101,1.188118811881188
2015-11-16,HOU,95,BOS,111,0.8558558558558559
2015-11-16,SAS,93,POR,80,1.1625
2015-11-16,PHI,86,DAL,92,0.9347826086956522
2015-11-16,CHI,96,IND,95,1.0105263157894737
2015-11-17,NYK,102,CHA,94,1.0851063829787233
2015-11-17,BKN,90,ATL,88,1.0227272727272727
2015-11-17,DET,104,CLE,99,1.0505050505050506
2015-11-17,GSW,115,TOR,110,1.0454545454545454
2015-11-17,WAS,115,MIL,86,1.3372093023255813
2015-11-17,MIA,91,MIN,103,0.883495145631068
2015-11-17,NOP,98,DEN,115,0.8521739130434782
2015-11-18,PHX,97,CHI,103,0.941747572815534
2015-11-18,HOU,108,POR,103,1.0485436893203883
2015-11-18,BOS,102,DAL,106,0.9622641509433962
2015-11-18,SAS,109,DEN,98,1.1122448979591837
2015-11-18,OKC,110,NOP,103,1.0679611650485437
2015-11-18,ATL,103,SAC,97,1.0618556701030928
2015-11-18,ORL,104,MIN,101,1.0297029702970297
2015-11-18,CHA,116,BKN,111,1.045045045045045
2015-11-18,UTA,93,TOR,89,1.0449438202247192
2015-11-18,PHI,85,IND,112,0.7589285714285714
2015-11-19,MIA,116,SAC,109,1.0642201834862386
2015-11-19,LAC,117,GSW,124,0.9435483870967742
2015-11-19,CLE,115,MIL,100,1.15
2015-11-20,LAL,91,TOR,102,0.8921568627450981
2015-11-20,CHA,113,PHI,88,1.2840909090909092
2015-11-20,DAL,102,UTA,93,1.096774193548387
2015-11-20,DEN,107,PHX,114,0.9385964912280702
2015-11-20,MEM,96,HOU,84,1.1428571428571428
2015-11-20,GSW,106,CHI,94,1.127659574468085
2015-11-20,BOS,120,BKN,95,1.263157894736842
2015-11-20,MIN,86,DET,96,0.8958333333333334
2015-11-20,NOP,104,SAS,90,1.1555555555555554
2015-11-20,POR,102,LAC,91,1.120879120879121
2015-11-20,OKC,90,NYK,93,0.967741935483871
2015-11-21,MIA,96,PHI,91,1.054945054945055
2015-11-21,HOU,102,NYK,107,0.9532710280373832
