GAME_DATE,Team_ID,Game_ID,GAME_DATE,MATCHUP,HomeTeam,VisitTeam,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2010-10-27,1610612737,0021000008,2010-10-27,ATL @ MEM,MEM,ATL,W,1,0,1.0,240,42,80,0.525,8,16,0.5,27,31,0.871,9,35,44,20,7,9,15,20,119
2010-10-29,1610612737,0021000021,2010-10-29,ATL @ PHI,PHI,ATL,W,2,0,1.0,240,36,70,0.514,6,17,0.353,26,31,0.839,10,36,46,24,3,8,20,26,104
2010-10-30,1610612737,0021000031,2010-10-30,ATL vs. WAS,ATL,WAS,W,3,0,1.0,240,34,81,0.42,5,19,0.263,26,30,0.867,13,30,43,19,4,4,16,22,99
2010-11-02,1610612737,0021000047,2010-11-02,ATL @ CLE,CLE,ATL,W,4,0,1.0,240,37,84,0.44,5,17,0.294,21,30,0.7,14,29,43,26,7,7,7,17,100
2010-11-03,1610612737,0021000054,2010-11-03,ATL vs. DET,ATL,DET,W,5,0,1.0,240,36,67,0.537,3,14,0.214,19,23,0.826,3,32,35,25,3,3,13,13,94
2010-11-05,1610612737,0021000074,2010-11-05,ATL @ MIN,MIN,ATL,W,6,0,1.0,240,44,81,0.543,4,18,0.222,21,26,0.808,8,35,43,27,5,8,15,15,113
2010-11-07,1610612737,0021000090,2010-11-07,ATL vs. PHX,ATL,PHX,L,6,1,0.857,240,45,83,0.542,7,23,0.304,17,22,0.773,13,27,40,29,6,4,14,22,114
2010-11-08,1610612737,0021000096,2010-11-08,ATL @ ORL,ORL,ATL,L,6,2,0.75,240,36,76,0.474,4,13,0.308,13,16,0.813,9,37,46,18,6,3,15,24,89
2010-11-10,1610612737,0021000108,2010-11-10,ATL vs. MIL,ATL,MIL,L,6,3,0.667,240,36,73,0.493,5,13,0.385,14,21,0.667,7,25,32,24,3,3,17,16,91
2010-11-12,1610612737,0021000121,2010-11-12,ATL vs. UTA,ATL,UTA,L,6,4,0.6,240,35,71,0.493,5,19,0.263,11,21,0.524,11,30,41,23,5,5,15,22,86
2010-11-14,1610612737,0021000139,2010-11-14,ATL vs. MIN,ATL,MIN,W,7,4,0.636,240,36,80,0.45,5,11,0.455,34,39,0.872,15,25,40,22,12,7,15,25,111
2010-11-16,1610612737,0021000152,2010-11-16,ATL @ IND,IND,ATL,W,8,4,0.667,240,37,74,0.5,8,15,0.533,20,23,0.87,5,25,30,26,4,8,9,24,102
2010-11-20,1610612737,0021000184,2010-11-20,ATL vs. DAL,ATL,DAL,L,8,5,0.615,240,39,81,0.481,7,25,0.28,8,10,0.8,7,30,37,28,8,5,12,17,93
2010-11-22,1610612737,0021000195,2010-11-22,ATL vs. BOS,ATL,BOS,L,8,6,0.571,240,28,81,0.346,6,16,0.375,14,17,0.824,8,22,30,21,4,1,12,13,76
2010-11-23,1610612737,0021000204,2010-11-23,ATL @ NJN,NJN,ATL,L,8,7,0.533,265,41,89,0.461,9,15,0.6,10,13,0.769,13,32,45,26,4,3,13,25,101
2010-11-25,1610612737,0021000220,2010-11-25,ATL vs. WAS,ATL,WAS,W,9,7,0.563,240,42,88,0.477,7,18,0.389,25,27,0.926,16,33,49,23,6,6,14,24,116
2010-11-27,1610612737,0021000234,2010-11-27,ATL @ NYK,NYK,ATL,W,10,7,0.588,240,39,89,0.438,10,26,0.385,11,14,0.786,11,33,44,22,6,2,6,16,99
2010-11-28,1610612737,0021000242,2010-11-28,ATL @ TOR,TOR,ATL,W,11,7,0.611,240,37,79,0.468,8,18,0.444,14,20,0.7,7,37,44,24,6,5,10,14,96
2010-12-01,1610612737,0021000261,2010-12-01,ATL vs. MEM,ATL,MEM,W,12,7,0.632,240,42,79,0.532,7,12,0.583,21,26,0.808,8,20,28,33,6,4,11,20,112
