,id,date,home_team,home_team_score,visit_team,visit_team_score,WINrate
0,400899380,2017-10-26,Boston Celtics,122,Brooklyn,117,1.0427350427350428
1,400899422,2017-10-27,Chicago,105,Boston Celtics,99,1.0606060606060606
2,400899477,2017-10-29,Charlotte,98,Boston Celtics,104,0.9423076923076923
3,400899511,2017-11-02,Boston Celtics,107,Chicago,100,1.07
4,400899518,2017-11-03,Cleveland,128,Boston Celtics,122,1.0491803278688525
5,400899541,2017-11-06,Boston Celtics,107,Denver,123,0.8699186991869918
6,400899557,2017-11-09,Washington,118,Boston Celtics,93,1.2688172043010753
7,400899575,2017-11-11,Boston Celtics,115,NY Knicks,87,1.3218390804597702
8,400899580,2017-11-12,Indiana,99,Boston Celtics,105,0.9428571428571428
9,400899598,2017-11-14,New Orleans,106,Boston Celtics,105,1.0095238095238095
10,400899611,2017-11-16,Boston Celtics,90,Dallas,83,1.0843373493975903
11,400899629,2017-11-18,Boston Celtics,88,Golden State,104,0.8461538461538461
12,400899638,2017-11-19,Detroit,92,Boston Celtics,94,0.9787234042553191
13,400899655,2017-11-21,Minnesota,93,Boston Celtics,99,0.9393939393939394
14,400899667,2017-11-23,Brooklyn,92,Boston Celtics,111,0.8288288288288288
15,400899675,2017-11-25,Boston Celtics,103,San Antonio,109,0.944954128440367
16,400899706,2017-11-28,Miami,104,Boston Celtics,112,0.9285714285714286
17,400899717,2017-11-30,Boston Celtics,114,Detroit,121,0.9421487603305785
18,400899447,2017-12-02,Boston Celtics,97,Sacramento,92,1.0543478260869565
19,400899736,2017-12-03,Philadelphia,106,Boston Celtics,107,0.9906542056074766
20,400899753,2017-12-05,Houston,107,Boston Celtics,106,1.009433962264151
21,400899764,2017-12-07,Orlando,87,Boston Celtics,117,0.7435897435897436
22,400899781,2017-12-09,Boston Celtics,94,Toronto,101,0.9306930693069307
23,400899799,2017-12-11,Oklahoma City,99,Boston Celtics,96,1.03125
24,400899825,2017-12-14,San Antonio,108,Boston Celtics,101,1.0693069306930694
25,400899833,2017-12-16,Boston Celtics,96,Charlotte,88,1.0909090909090908
26,400899852,2017-12-18,Miami,95,Boston Celtics,105,0.9047619047619048
27,400899866,2017-12-20,Memphis,109,Boston Celtics,112,0.9732142857142857
28,400899882,2017-12-22,Indiana,102,Boston Celtics,109,0.9357798165137615
