Date,HomeTeam,HomeTeamPTS,VisitTeam,VisitTeamPTS,Winning
2014-10-28,NOP,101,ORL,84,1.2023809523809523
2014-10-28,SAS,101,DAL,100,1.01
2014-10-28,LAL,90,HOU,108,0.8333333333333334
2014-10-29,BOS,121,BKN,105,1.1523809523809523
2014-10-29,NYK,80,CHI,104,0.7692307692307693
2014-10-29,DEN,89,DET,79,1.1265822784810127
2014-10-29,SAC,77,GSW,95,0.8105263157894737
2014-10-29,UTA,93,HOU,104,0.8942307692307693
2014-10-29,PHX,119,LAL,99,1.202020202020202
2014-10-29,MIA,107,WAS,95,1.1263157894736842
2014-10-29,CHA,108,MIL,106,1.0188679245283019
2014-10-29,MEM,105,MIN,101,1.0396039603960396
2014-10-29,IND,103,PHI,91,1.1318681318681318
2014-10-29,POR,106,OKC,89,1.1910112359550562
2014-10-29,TOR,109,ATL,102,1.0686274509803921
2014-10-30,LAC,93,OKC,90,1.0333333333333334
2014-10-30,MIN,97,DET,91,1.065934065934066
2014-10-30,DAL,120,UTA,102,1.1764705882352942
2014-10-30,CLE,90,NYK,95,0.9473684210526315
2014-10-30,ORL,98,WAS,105,0.9333333333333333
2014-10-31,SAC,103,POR,94,1.0957446808510638
2014-10-31,LAL,111,LAC,118,0.940677966101695
2014-10-31,IND,89,MEM,97,0.9175257731958762
2014-10-31,MIL,93,PHI,81,1.1481481481481481
2014-10-31,CHI,108,CLE,114,0.9473684210526315
2014-10-31,PHX,94,SAS,89,1.0561797752808988
2014-11-01,ORL,95,TOR,108,0.8796296296296297
2014-11-01,OKC,102,DEN,91,1.120879120879121
2014-11-01,PHI,96,MIA,114,0.8421052631578947
2014-11-01,ATL,102,IND,92,1.108695652173913
2014-11-01,MIN,105,CHI,106,0.9905660377358491
2014-11-01,UTA,118,PHX,91,1.2967032967032968
2014-11-01,HOU,104,BOS,90,1.1555555555555554
2014-11-01,CHA,69,MEM,71,0.971830985915493
2014-11-01,DET,90,BKN,102,0.8823529411764706
2014-11-01,WAS,108,MIL,97,1.1134020618556701
2014-11-01,GSW,127,LAL,104,1.2211538461538463
2014-11-01,NOP,104,DAL,109,0.9541284403669725
2014-11-02,POR,90,GSW,95,0.9473684210526315
2014-11-02,MIA,107,TOR,102,1.0490196078431373
2014-11-02,NYK,96,CHA,93,1.032258064516129
2014-11-02,LAC,92,SAC,98,0.9387755102040817
2014-11-03,PHI,93,HOU,104,0.8942307692307693
2014-11-03,LAC,107,UTA,101,1.0594059405940595
2014-11-03,DAL,118,BOS,113,1.0442477876106195
2014-11-03,MEM,93,NOP,81,1.1481481481481481
2014-11-03,BKN,116,OKC,85,1.3647058823529412
2014-11-03,DEN,105,SAC,110,0.9545454545454546
2014-11-04,MIA,91,HOU,108,0.8425925925925926
2014-11-04,CHI,98,ORL,90,1.0888888888888888
2014-11-04,TOR,100,OKC,88,1.1363636363636365
2014-11-04,NYK,83,WAS,98,0.8469387755102041
2014-11-04,NOP,100,CHA,91,1.098901098901099
2014-11-04,LAL,106,PHX,112,0.9464285714285714
2014-11-04,IND,81,MIL,87,0.9310344827586207
2014-11-04,POR,101,CLE,82,1.2317073170731707
2014-11-05,SAS,94,ATL,92,1.0217391304347827
2014-11-05,DET,98,NYK,95,1.0315789473684212
