,id,date,home_team,home_team_score,visit_team,visit_team_score,WINrate
0,400827892,2016-10-28,Boston Celtics,112,Philadelphia,95,1.1789473684210525
1,400827911,2016-10-30,Boston Celtics,103,Toronto,113,0.911504424778761
2,400827927,2016-11-01,Boston Celtics,87,San Antonio,95,0.9157894736842105
3,400827947,2016-11-04,Indiana,100,Boston Celtics,98,1.0204081632653061
4,400827963,2016-11-06,Boston Celtics,118,Washington,98,1.2040816326530612
5,400827997,2016-11-10,Milwaukee,83,Boston Celtics,99,0.8383838383838383
6,400828003,2016-11-11,Boston Celtics,91,Indiana,102,0.8921568627450981
7,400828016,2016-11-13,Boston Celtics,106,Atlanta,93,1.1397849462365592
8,400828036,2016-11-15,Oklahoma City,85,Boston Celtics,100,0.85
9,400828041,2016-11-16,Houston,95,Boston Celtics,111,0.8558558558558559
10,400828055,2016-11-18,Boston Celtics,102,Dallas,106,0.9622641509433962
11,400828066,2016-11-20,Boston Celtics,120,Brooklyn,95,1.263157894736842
12,400828084,2016-11-22,Brooklyn,111,Boston Celtics,101,1.099009900990099
13,400828097,2016-11-24,Atlanta,121,Boston Celtics,97,1.2474226804123711
14,400828104,2016-11-25,Boston Celtics,84,Philadelphia,80,1.05
15,400828116,2016-11-27,Boston Celtics,111,Washington,78,1.4230769230769231
16,400828136,2016-11-29,Orlando,110,Boston Celtics,91,1.2087912087912087
17,400828142,2016-11-30,Miami,95,Boston Celtics,105,0.9047619047619048
18,400828169,2016-12-03,Sacramento,97,Boston Celtics,114,0.8508771929824561
19,400828183,2016-12-05,San Antonio,108,Boston Celtics,105,1.0285714285714285
20,400828199,2016-12-07,New Orleans,93,Boston Celtics,111,0.8378378378378378
21,400828206,2016-12-09,Boston Celtics,105,Chicago,100,1.05
22,400828223,2016-12-11,Boston Celtics,119,Golden State,124,0.9596774193548387
23,400828232,2016-12-12,Charlotte,93,Boston Celtics,98,0.9489795918367347
24,400828254,2016-12-15,Boston Celtics,77,Cleveland,89,0.8651685393258427
25,400828261,2016-12-16,Detroit,119,Boston Celtics,116,1.0258620689655173
26,400828276,2016-12-18,Boston Celtics,101,Atlanta,109,0.926605504587156
27,400828298,2016-12-21,Boston Celtics,113,Minnesota,99,1.1414141414141414
28,400828310,2016-12-23,Charlotte,89,Boston Celtics,102,0.8725490196078431
29,400828333,2016-12-26,Detroit,93,Boston Celtics,99,0.9393939393939394
30,400828341,2016-12-27,Boston Celtics,100,NY Knicks,91,1.098901098901099
31,400828363,2016-12-30,Boston Celtics,104,Los Angeles,112,0.9285714285714286
32,400828382,2016-01-02,Boston Celtics,97,Brooklyn,100,0.97
33,400828400,2016-01-04,Brooklyn,94,Boston Celtics,103,0.912621359223301
34,400828415,2016-01-06,Boston Celtics,94,Detroit,99,0.9494949494949495
35,400828424,2016-01-07,Chicago,101,Boston Celtics,92,1.0978260869565217
36,400828447,2016-01-10,Memphis,101,Boston Celtics,98,1.030612244897959
37,400828458,2016-01-12,NY Knicks,120,Boston Celtics,114,1.0526315789473684
38,400828467,2016-01-13,Boston Celtics,103,Indiana,94,1.0957446808510638
39,400828482,2016-01-15,Boston Celtics,117,Phoenix,103,1.1359223300970873
40,400828491,2016-01-16,Washington,117,Boston Celtics,119,0.9831932773109243
41,400828510,2016-01-18,Dallas,118,Boston Celtics,113,1.0442477876106195
42,400828520,2016-01-20,Toronto,115,Boston Celtics,109,1.055045871559633
43,400828533,2016-01-22,Boston Celtics,110,Chicago,101,1.0891089108910892
44,400861758,2016-01-24,Philadelphia,92,Boston Celtics,112,0.8214285714285714
45,400828555,2016-01-25,Washington,91,Boston Celtics,116,0.7844827586206896
46,400828572,2016-01-27,Boston Celtics,111,Denver,103,1.0776699029126213
47,400828585,2016-01-29,Boston Celtics,113,Orlando,94,1.202127659574468
48,400828603,2016-01-31,Orlando,119,Boston Celtics,114,1.043859649122807
49,400828617,2016-02-02,NY Knicks,89,Boston Celtics,97,0.9175257731958762
50,400828624,2016-02-03,Boston Celtics,102,Detroit,95,1.0736842105263158
51,400828642,2016-02-05,Cleveland,103,Boston Celtics,104,0.9903846153846154
52,400828660,2016-02-07,Boston Celtics,128,Sacramento,119,1.0756302521008403
53,400828673,2016-02-09,Milwaukee,112,Boston Celtics,111,1.009009009009009
54,400828679,2016-02-10,Boston Celtics,139,LA,134,1.037313432835821
55,400828704,2016-02-19,Utah,111,Boston Celtics,93,1.1935483870967742
56,400828712,2016-02-21,Denver,101,Boston Celtics,121,0.8347107438016529
57,400828725,2016-02-22,Minnesota,124,Boston Celtics,122,1.0163934426229508
58,400828743,2016-02-25,Boston Celtics,112,Milwaukee,107,1.0467289719626167
59,400828756,2016-02-27,Boston Celtics,101,Miami,89,1.1348314606741574
60,400828773,2016-03-02,Boston Celtics,116,Utah,93,1.2473118279569892
61,400828786,2016-03-04,Boston Celtics,105,Portland,104,1.0096153846153846
62,400828802,2016-03-05,Boston Celtics,120,NY Knicks,103,1.1650485436893203
63,400828809,2016-03-09,Cleveland,116,Boston Celtics,96,1.2083333333333333
64,400828840,2016-03-11,Boston Celtics,98,Memphis,102,0.9607843137254902
65,400828852,2016-03-15,Boston Celtics,103,Houston,98,1.0510204081632653
66,400828884,2016-03-16,Indiana,109,Boston Celtics,130,0.8384615384615385
67,400828890,2016-03-18,Boston Celtics,105,Oklahoma City,91,1.1538461538461537
68,400828910,2016-03-20,Toronto,105,Boston Celtics,120,0.875
69,400828926,2016-03-21,Philadelphia,107,Boston Celtics,96,1.1145833333333333
70,400828933,2016-03-23,Boston Celtics,91,Orlando,79,1.1518987341772151
71,400828944,2016-03-26,Boston Celtics,99,Toronto,102,0.9705882352941176
72,400828977,2016-03-28,Phoenix,114,Boston Celtics,90,1.2666666666666666
73,400828993,2016-03-31,LA,116,Boston Celtics,109,1.0642201834862386
74,400829014,2016-04-01,Portland,106,Boston Celtics,109,0.9724770642201835
75,400829023,2016-04-03,Golden State,100,Boston Celtics,107,0.9345794392523364
76,400829040,2016-04-06,Los Angeles,104,Boston Celtics,97,1.0721649484536082
77,400829055,2016-04-08,Boston Celtics,124,New Orleans,109,1.1376146788990826
78,400829068,2016-04-09,Boston Celtics,118,Milwaukee,107,1.102803738317757
79,400829075,2016-04-11,Atlanta,100,Boston Celtics,114,0.8771929824561403
80,400829092,2016-04-13,Boston Celtics,98,Charlotte,88,1.1136363636363635
81,400829104,2016-10-28,Boston Celtics,100,Miami,115,0.8695652173913043
82,400827893,2016-10-30,Brooklyn Nets,102,Chicago,75,1.36
83,400827915,2016-10-31,San Antonio,101,Brooklyn Nets,91,1.10989010989011
84,400827923,2016-11-02,Memphis,96,Brooklyn Nets,103,0.9320388349514563
85,400827934,2016-11-04,Brooklyn Nets,101,Milwaukee,87,1.160919540229885
86,400827949,2016-11-06,Atlanta,98,Brooklyn Nets,104,0.9423076923076923
87,400827964,2016-11-07,Brooklyn Nets,94,Los Angeles,86,1.0930232558139534
88,400827976,2016-11-11,Milwaukee,98,Brooklyn Nets,106,0.9245283018867925
89,400828006,2016-11-13,Houston,111,Brooklyn Nets,109,1.018348623853211
90,400828024,2016-11-14,Sacramento,107,Brooklyn Nets,99,1.0808080808080809
91,400828031,2016-11-17,Golden State,90,Brooklyn Nets,88,1.0227272727272727
92,400828046,2016-11-18,Brooklyn Nets,116,Atlanta,111,1.045045045045045
93,400828052,2016-11-20,Charlotte,120,Brooklyn Nets,95,1.263157894736842
94,400828110,2016-11-28,Oklahoma City,90,Brooklyn Nets,88,1.0227272727272727
95,400828127,2016-11-29,Cleveland,87,Brooklyn Nets,83,1.0481927710843373
96,400828135,2016-12-01,Brooklyn Nets,94,Detroit,91,1.032967032967033
97,400828151,2016-12-04,Brooklyn Nets,108,Phoenix,91,1.1868131868131868
98,400828170,2016-12-06,NY Knicks,98,Brooklyn Nets,114,0.8596491228070176
99,400828187,2016-12-08,Brooklyn Nets,110,Golden State,105,1.0476190476190477
100,400828202,2016-12-10,Brooklyn Nets,100,Houston,91,1.098901098901099
101,400828216,2016-12-12,Brooklyn Nets,100,Philadelphia,105,0.9523809523809523
102,400828231,2016-12-14,Brooklyn Nets,82,LA,105,0.780952380952381
103,400828245,2016-12-16,Brooklyn Nets,98,Orlando,104,0.9423076923076923
104,400828260,2016-12-18,Brooklyn Nets,104,Miami,97,1.0721649484536082
105,400828273,2016-12-20,Indiana,85,Brooklyn Nets,100,0.85
106,400828290,2016-12-21,Brooklyn Nets,102,Minnesota,105,0.9714285714285714
107,400828301,2016-12-23,Chicago,118,Brooklyn Nets,119,0.9915966386554622
108,400828315,2016-12-26,Brooklyn Nets,96,Dallas,111,0.8648648648648649
109,400828334,2016-12-28,Brooklyn Nets,105,Washington,111,0.9459459459459459
110,400828349,2016-12-30,Miami,100,Brooklyn Nets,93,1.075268817204301
111,400828362,2016-01-02,Orlando,97,Brooklyn Nets,100,0.97
112,400828416,2016-01-08,Brooklyn Nets,77,Toronto,83,0.927710843373494
113,400828428,2016-01-09,Brooklyn Nets,103,Orlando,89,1.1573033707865168
114,400828440,2016-01-11,Detroit,79,Brooklyn Nets,106,0.7452830188679245
115,400828453,2016-01-13,Brooklyn Nets,110,San Antonio,104,1.0576923076923077
116,400828466,2016-01-15,Brooklyn Nets,104,NY Knicks,116,0.896551724137931
117,400828483,2016-01-16,Brooklyn Nets,114,Portland,86,1.3255813953488371
118,400828489,2016-01-18,Atlanta,112,Brooklyn Nets,100,1.12
119,400828508,2016-01-20,Toronto,78,Brooklyn Nets,91,0.8571428571428571
120,400828518,2016-01-22,Brooklyn Nets,86,Cleveland,108,0.7962962962962963
121,400828534,2016-01-24,Brooklyn Nets,116,Utah,106,1.0943396226415094
122,400828551,2016-01-26,Brooklyn Nets,98,Oklahoma City,102,0.9607843137254902
123,400828565,2016-01-29,Brooklyn Nets,91,Miami,79,1.1518987341772151
124,400828589,2016-01-30,Dallas,105,Brooklyn Nets,103,1.0194174757281553
125,400828597,2016-02-01,New Orleans,100,Brooklyn Nets,105,0.9523809523809523
126,400828609,2016-02-03,Brooklyn Nets,100,Detroit,114,0.8771929824561403
127,400828625,2016-02-05,Brooklyn Nets,128,Indiana,119,1.0756302521008403
128,400828641,2016-02-06,Brooklyn Nets,103,Sacramento,98,1.0510204081632653
129,400828651,2016-02-08,Philadelphia,105,Brooklyn Nets,104,1.0096153846153846
130,400828665,2016-02-10,Brooklyn Nets,90,Denver,109,0.8256880733944955
131,400828680,2016-02-19,Brooklyn Nets,109,Memphis,98,1.1122448979591837
132,400828694,2016-02-21,Brooklyn Nets,96,NY Knicks,104,0.9230769230769231
