Date,HomeTeam,HomeTeamPTS,VisitTeam,VisitTeamPTS,Winning
2012-10-30,MIA,120,BOS,107,1.1214953271028036
2012-10-30,CLE,94,WAS,84,1.119047619047619
2012-10-30,LAL,91,DAL,99,0.9191919191919192
2012-10-31,POR,116,LAL,106,1.0943396226415094
2012-10-31,LAC,101,MEM,92,1.0978260869565217
2012-10-31,DET,96,HOU,105,0.9142857142857143
2012-10-31,PHX,85,GSW,87,0.9770114942528736
2012-10-31,TOR,88,IND,90,0.9777777777777777
2012-10-31,PHI,84,DEN,75,1.12
2012-10-31,UTA,113,DAL,94,1.202127659574468
2012-10-31,CHI,93,SAC,87,1.0689655172413792
2012-10-31,NOH,95,SAS,99,0.9595959595959596
2012-11-01,SAS,86,OKC,84,1.0238095238095237
2012-11-02,NOH,88,UTA,86,1.0232558139534884
2012-11-02,ORL,102,DEN,89,1.146067415730337
2012-11-02,CLE,86,CHI,115,0.7478260869565218
2012-11-02,ATL,102,HOU,109,0.9357798165137615
2012-11-02,LAL,95,LAC,105,0.9047619047619048
2012-11-02,BOS,88,MIL,99,0.8888888888888888
2012-11-02,GSW,94,MEM,104,0.9038461538461539
2012-11-02,CHA,90,IND,89,1.0112359550561798
2012-11-02,MIN,92,SAC,80,1.15
2012-11-02,NYK,104,MIA,84,1.2380952380952381
2012-11-02,OKC,106,POR,92,1.1521739130434783
2012-11-02,PHX,92,DET,89,1.0337078651685394
2012-11-03,MIL,105,CLE,102,1.0294117647058822
2012-11-03,CHI,82,NOH,89,0.9213483146067416
2012-11-03,WAS,86,BOS,89,0.9662921348314607
2012-11-03,SAS,110,UTA,100,1.1
2012-11-03,BKN,107,TOR,100,1.07
2012-11-03,MIA,119,DEN,116,1.0258620689655173
2012-11-03,DAL,126,CHA,99,1.2727272727272727
2012-11-03,IND,106,SAC,98,1.0816326530612246
2012-11-03,HOU,85,POR,95,0.8947368421052632
2012-11-03,LAC,110,GSW,114,0.9649122807017544
2012-11-04,TOR,105,MIN,86,1.2209302325581395
2012-11-04,NYK,100,PHI,84,1.1904761904761905
2012-11-04,ORL,115,PHX,94,1.2234042553191489
2012-11-04,OKC,95,ATL,104,0.9134615384615384
2012-11-04,LAL,108,DET,79,1.3670886075949367
2012-11-05,BKN,96,MIN,107,0.897196261682243
2012-11-05,DAL,114,POR,91,1.2527472527472527
2012-11-05,SAC,94,GSW,92,1.0217391304347827
2012-11-05,PHI,88,NYK,110,0.8
2012-11-05,LAC,101,CLE,108,0.9351851851851852
2012-11-05,SAS,101,IND,79,1.2784810126582278
2012-11-05,MIA,124,PHX,99,1.2525252525252526
2012-11-05,MEM,103,UTA,94,1.0957446808510638
2012-11-06,OKC,108,TOR,88,1.2272727272727273
2012-11-06,CHI,99,ORL,93,1.064516129032258
2012-11-06,DEN,109,DET,97,1.1237113402061856
2012-11-07,CHA,110,PHX,117,0.9401709401709402
2012-11-07,ATL,89,IND,86,1.0348837209302326
2012-11-07,SAC,105,DET,103,1.0194174757281553
2012-11-07,GSW,106,CLE,96,1.1041666666666667
2012-11-07,BOS,100,WAS,94,1.0638297872340425
2012-11-07,NOH,62,PHI,77,0.8051948051948052
2012-11-07,MIN,90,ORL,75,1.2
