,id,date,home_team,home_team_score,visit_team,visit_team_score,WINrate
0,311225018,2012-12-25,NY Knicks,106,Boston Celtics,104,1.0192307692307692
1,311227014,2012-12-27,Miami,115,Boston Celtics,107,1.074766355140187
2,311228003,2012-12-28,New Orleans,97,Boston Celtics,78,1.2435897435897436
3,311230002,2012-12-30,Boston Celtics,96,Detroit,85,1.1294117647058823
4,320101027,2012-01-01,Washington,86,Boston Celtics,94,0.9148936170212766
5,320102002,2012-01-02,Boston Celtics,100,Washington,92,1.0869565217391304
6,320104002,2012-01-04,Boston Celtics,89,Brooklyn,70,1.2714285714285714
7,320106002,2012-01-06,Boston Celtics,74,Indiana,87,0.8505747126436781
8,320111002,2012-01-11,Boston Celtics,85,Dallas,90,0.9444444444444444
9,320113002,2012-01-13,Boston Celtics,79,Chicago,88,0.8977272727272727
10,320114011,2012-01-14,Indiana,97,Boston Celtics,83,1.1686746987951808
11,320116002,2012-01-16,Boston Celtics,88,Oklahoma City,97,0.9072164948453608
12,320118002,2012-01-18,Boston Celtics,96,Toronto,73,1.3150684931506849
13,320120002,2012-01-20,Boston Celtics,71,Phoenix,79,0.8987341772151899
14,320122027,2012-01-22,Washington,94,Boston Celtics,100,0.94
15,320123002,2012-01-23,Boston Celtics,87,Orlando,56,1.5535714285714286
16,320126019,2012-01-26,Orlando,83,Boston Celtics,91,0.9120879120879121
17,320127002,2012-01-27,Boston Celtics,94,Indiana,87,1.0804597701149425
18,320129002,2012-01-29,Boston Celtics,87,Cleveland,88,0.9886363636363636
19,320131005,2012-01-31,Cleveland,90,Boston Celtics,93,0.967741935483871
20,320201002,2012-02-01,Boston Celtics,100,Toronto,64,1.5625
21,320203002,2012-02-03,Boston Celtics,91,NY Knicks,89,1.0224719101123596
22,320205002,2012-02-05,Boston Celtics,98,Memphis,80,1.225
23,320207002,2012-02-07,Boston Celtics,94,Charlotte,84,1.119047619047619
24,320209002,2012-02-09,Boston Celtics,87,Los Angeles,88,0.9886363636363636
25,320210028,2012-02-10,Toronto,86,Boston Celtics,74,1.162162162162162
26,320212002,2012-02-12,Boston Celtics,95,Chicago,91,1.043956043956044
27,320215002,2012-02-15,Boston Celtics,88,Detroit,98,0.8979591836734694
28,320216004,2012-02-16,Chicago,89,Boston Celtics,80,1.1125
29,320219008,2012-02-19,Detroit,96,Boston Celtics,81,1.1851851851851851
30,320220006,2012-02-20,Dallas,89,Boston Celtics,73,1.2191780821917808
31,320222025,2012-02-22,Oklahoma City,119,Boston Celtics,104,1.1442307692307692
32,320228005,2012-02-28,Cleveland,83,Boston Celtics,86,0.9651162790697675
33,320229002,2012-03-02,Boston Celtics,107,Milwaukee,94,1.1382978723404256
34,320302002,2012-03-04,Boston Celtics,115,Brooklyn,111,1.0360360360360361
35,320304002,2012-03-06,Boston Celtics,97,NY Knicks,92,1.0543478260869565
36,320306002,2012-03-07,Boston Celtics,103,Houston,71,1.4507042253521127
37,320307020,2012-03-09,Philadelphia,104,Boston Celtics,86,1.2093023255813953
38,320309002,2012-03-11,Boston Celtics,97,Portland,94,1.0319148936170213
39,320311013,2012-03-12,Los Angeles,85,Boston Celtics,94,0.9042553191489362
40,320312012,2012-03-14,LA,103,Boston Celtics,105,0.9809523809523809
41,320314009,2012-03-16,Golden State,120,Boston Celtics,95,1.263157894736842
42,320316023,2012-03-17,Sacramento,98,Boston Celtics,91,1.0769230769230769
43,320317007,2012-03-19,Denver,76,Boston Celtics,79,0.9620253164556962
44,320319001,2012-03-22,Atlanta,91,Boston Celtics,100,0.91
45,320322015,2012-03-23,Milwaukee,99,Boston Celtics,86,1.1511627906976745
46,320323020,2012-03-25,Philadelphia,88,Boston Celtics,76,1.1578947368421053
47,320325002,2012-03-26,Boston Celtics,95,Washington,102,0.9313725490196079
48,320326030,2012-03-28,Charlotte,94,Boston Celtics,82,1.146341463414634
49,320328002,2012-03-30,Boston Celtics,79,Utah,100,0.79
50,320330016,2012-04-01,Minnesota,91,Boston Celtics,72,1.2638888888888888
51,320401002,2012-04-04,Boston Celtics,86,Miami,87,0.9885057471264368
52,320404002,2012-04-05,Boston Celtics,93,San Antonio,86,1.0813953488372092
53,320405004,2012-04-07,Chicago,72,Boston Celtics,86,0.8372093023255814
54,320407011,2012-04-08,Indiana,103,Boston Celtics,79,1.3037974683544304
55,320408002,2012-04-10,Boston Celtics,107,Philadelphia,115,0.9304347826086956
56,320410014,2012-04-11,Miami,88,Boston Celtics,86,1.0232558139534884
57,320411002,2012-04-13,Boston Celtics,84,Atlanta,79,1.0632911392405062
58,320413028,2012-04-14,Toronto,82,Boston Celtics,94,0.8723404255319149
59,320414017,2012-04-15,Brooklyn,82,Boston Celtics,94,0.8723404255319149
60,320415030,2012-04-17,Charlotte,118,Boston Celtics,110,1.0727272727272728
61,320417018,2012-04-18,NY Knicks,102,Boston Celtics,98,1.0408163265306123
62,320418002,2012-04-20,Boston Celtics,97,Orlando,92,1.0543478260869565
63,320420001,2012-04-24,Atlanta,78,Boston Celtics,66,1.1818181818181819
64,320424002,2012-04-26,Boston Celtics,87,Miami,74,1.1756756756756757
65,320426002,2012-12-26,Boston Celtics,84,Milwaukee,90,0.9333333333333333
66,311226027,2012-12-27,Washington,70,Brooklyn Nets,106,0.660377358490566
67,311227017,2012-12-29,Brooklyn Nets,94,Atlanta,78,1.205128205128205
68,311229019,2012-12-30,Orlando,105,Brooklyn Nets,98,1.0714285714285714
69,311230001,2012-01-01,Atlanta,98,Brooklyn Nets,82,1.1951219512195121
70,320101005,2012-01-02,Cleveland,94,Brooklyn Nets,108,0.8703703703703703
71,320102017,2012-01-04,Brooklyn Nets,89,Indiana,70,1.2714285714285714
72,320106028,2012-01-07,Toronto,90,Brooklyn Nets,101,0.8910891089108911
73,320107017,2012-01-09,Brooklyn Nets,101,Miami,106,0.9528301886792453
74,320109017,2012-01-11,Brooklyn Nets,123,Atlanta,115,1.0695652173913044
75,320111007,2012-01-13,Denver,103,Brooklyn Nets,110,0.9363636363636364
76,320113021,2012-01-14,Phoenix,107,Brooklyn Nets,94,1.1382978723404256
77,320114026,2012-01-16,Utah,101,Brooklyn Nets,91,1.10989010989011
78,320116012,2012-01-18,LA,107,Brooklyn Nets,100,1.07
79,320118017,2012-01-21,Brooklyn Nets,74,Golden State,84,0.8809523809523809
80,320121017,2012-01-22,Brooklyn Nets,97,Oklahoma City,87,1.1149425287356323
81,320122017,2012-01-23,Brooklyn Nets,110,Charlotte,95,1.1578947368421053
82,320123004,2012-01-25,Chicago,90,Brooklyn Nets,97,0.9278350515463918
83,320125020,2012-01-27,Philadelphia,96,Brooklyn Nets,99,0.9696969696969697
84,320127005,2012-01-29,Cleveland,73,Brooklyn Nets,94,0.776595744680851
85,320129017,2012-01-31,Brooklyn Nets,106,Toronto,99,1.0707070707070707
86,320131011,2012-02-01,Indiana,99,Brooklyn Nets,96,1.03125
87,320201017,2012-02-03,Brooklyn Nets,105,Detroit,108,0.9722222222222222
88,320203017,2012-02-04,Brooklyn Nets,99,Minnesota,92,1.076086956521739
89,320204018,2012-02-06,NY Knicks,87,Brooklyn Nets,108,0.8055555555555556
90,320206017,2012-02-08,Brooklyn Nets,92,Chicago,99,0.9292929292929293
91,320208017,2012-02-10,Brooklyn Nets,109,Detroit,92,1.184782608695652
92,320210008,2012-02-11,Detroit,89,Brooklyn Nets,103,0.8640776699029126
93,320211017,2012-02-15,Brooklyn Nets,100,San Antonio,105,0.9523809523809523
94,320215017,2012-02-16,Brooklyn Nets,93,Memphis,88,1.0568181818181819
95,320216011,2012-02-18,Indiana,85,Brooklyn Nets,97,0.8762886597938144
96,320218004,2012-02-19,Chicago,85,Brooklyn Nets,92,0.9239130434782609
97,320219017,2012-02-20,Brooklyn Nets,92,Milwaukee,100,0.92
98,320220018,2012-02-22,NY Knicks,91,Brooklyn Nets,108,0.8425925925925926
99,320222017,2012-02-28,Brooklyn Nets,92,Orlando,93,0.989247311827957
100,320228006,2012-03-02,Dallas,107,Brooklyn Nets,94,1.1382978723404256
101,320304030,2012-03-06,Charlotte,108,Brooklyn Nets,78,1.3846153846153846
102,320306014,2012-03-07,Miami,101,Brooklyn Nets,100,1.01
103,320307017,2012-03-09,Brooklyn Nets,74,LA,83,0.891566265060241
104,320309030,2012-03-10,Charlotte,106,Brooklyn Nets,112,0.9464285714285714
105,320310017,2012-03-12,Brooklyn Nets,99,Houston,105,0.9428571428571428
106,320312017,2012-03-14,Brooklyn Nets,98,Milwaukee,84,1.1666666666666667
107,320314017,2012-03-16,Brooklyn Nets,86,Toronto,70,1.2285714285714286
108,320316019,2012-03-17,Orlando,94,Brooklyn Nets,102,0.9215686274509803
109,320317017,2012-03-19,Brooklyn Nets,100,New Orleans,105,0.9523809523809523
110,320319017,2012-03-21,Brooklyn Nets,89,Cleveland,108,0.8240740740740741
111,320321017,2012-03-23,Brooklyn Nets,93,Washington,84,1.1071428571428572
112,320323001,2012-03-24,Atlanta,102,Brooklyn Nets,89,1.146067415730337
113,320324017,2012-03-26,Brooklyn Nets,84,Charlotte,105,0.8
114,320326017,2012-03-28,Brooklyn Nets,100,Utah,84,1.1904761904761905
115,320328017,2012-03-30,Brooklyn Nets,100,Indiana,102,0.9803921568627451
116,320330009,2012-03-31,Golden State,99,Brooklyn Nets,111,0.8918918918918919
117,320331023,2012-04-03,Sacramento,91,Brooklyn Nets,87,1.0459770114942528
118,320403013,2012-04-04,Los Angeles,101,Brooklyn Nets,88,1.1477272727272727
119,320404022,2012-04-06,Portland,110,Brooklyn Nets,98,1.1224489795918366
