GAME_DATE,Team_ID,Game_ID,GAME_DATE,MATCHUP,HomeTeam,VisitTeam,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2011-12-26,1610612750,0021100011,2011-12-26,MIN vs. OKC,MIN,OKC,L,0,1,0.0,240,39,87,0.448,3,22,0.136,19,26,0.731,10,30,40,22,4,2,12,24,100
2011-12-26,1610612766,0021100007,2011-12-26,CHA vs. MIL,CHA,MIL,W,1,0,1.0,240,38,86,0.442,4,19,0.211,16,21,0.762,15,37,52,27,3,6,16,20,96
2011-12-27,1610612737,0021100018,2011-12-27,ATL @ NJN,NJN,ATL,W,1,0,1.0,240,38,86,0.442,12,23,0.522,18,21,0.857,17,34,51,23,11,4,12,23,106
2011-12-27,1610612757,0021100021,2011-12-27,POR vs. SAC,POR,SAC,W,2,0,1.0,240,38,85,0.447,3,18,0.167,22,28,0.786,15,29,44,25,6,8,10,23,101
2011-12-27,1610612758,0021100021,2011-12-27,SAC @ POR,POR,SAC,L,1,1,0.5,240,31,82,0.378,3,16,0.188,14,22,0.636,14,28,42,11,1,4,18,27,79
2011-12-27,1610612748,0021100019,2011-12-27,MIA vs. BOS,MIA,BOS,W,2,0,1.0,240,42,75,0.56,6,10,0.6,25,35,0.714,6,32,38,22,16,8,20,22,115
2011-12-27,1610612747,0021100022,2011-12-27,LAL vs. UTA,LAL,UTA,W,1,2,0.333,240,30,71,0.423,6,16,0.375,30,37,0.811,11,35,46,17,8,9,9,21,96
2011-12-27,1610612749,0021100020,2011-12-27,MIL vs. MIN,MIL,MIN,W,1,1,0.5,240,40,94,0.426,2,16,0.125,16,20,0.8,16,29,45,24,13,5,12,28,98
2011-12-27,1610612738,0021100019,2011-12-27,BOS @ MIA,MIA,BOS,L,0,2,0.0,240,37,72,0.514,12,19,0.632,21,27,0.778,4,24,28,20,9,3,24,27,107
2011-12-27,1610612751,0021100018,2011-12-27,NJN vs. ATL,NJN,ATL,L,1,1,0.5,240,22,71,0.31,5,24,0.208,21,26,0.808,9,27,36,9,5,5,18,22,70
2011-12-27,1610612762,0021100022,2011-12-27,UTA @ LAL,LAL,UTA,L,0,1,0.0,240,29,90,0.322,1,13,0.077,12,17,0.706,18,28,46,20,6,6,10,28,71
2011-12-27,1610612750,0021100020,2011-12-27,MIN @ MIL,MIL,MIN,L,0,2,0.0,240,28,70,0.4,6,14,0.429,33,45,0.733,16,38,54,14,6,0,25,24,95
2011-12-28,1610612764,0021100025,2011-12-28,WAS @ ATL,ATL,WAS,L,0,2,0.0,240,30,77,0.39,6,16,0.375,17,22,0.773,6,26,32,16,10,3,16,24,83
2011-12-28,1610612752,0021100032,2011-12-28,NYK @ GSW,GSW,NYK,L,1,1,0.5,240,28,70,0.4,4,21,0.19,18,25,0.72,4,27,31,15,7,0,15,21,78
2011-12-28,1610612756,0021100031,2011-12-28,PHX vs. PHI,PHX,PHI,L,0,2,0.0,240,33,80,0.413,2,11,0.182,15,18,0.833,8,31,39,15,3,3,12,17,83
2011-12-28,1610612755,0021100031,2011-12-28,PHI @ PHX,PHX,PHI,W,1,1,0.5,240,41,86,0.477,7,17,0.412,14,18,0.778,12,36,48,22,11,2,10,19,103
2011-12-28,1610612739,0021100026,2011-12-28,CLE @ DET,DET,CLE,W,1,1,0.5,240,40,70,0.571,7,12,0.583,18,22,0.818,12,28,40,28,9,3,21,15,105
2011-12-28,1610612759,0021100029,2011-12-28,SAS vs. LAC,SAS,LAC,W,2,0,1.0,240,45,80,0.563,10,19,0.526,15,15,1.0,7,36,43,27,3,1,15,23,115
2011-12-28,1610612740,0021100028,2011-12-28,NOH vs. BOS,NOH,BOS,W,2,0,1.0,240,36,79,0.456,4,12,0.333,21,25,0.84,12,36,48,16,7,12,9,20,97
2011-12-28,1610612744,0021100032,2011-12-28,GSW vs. NYK,GSW,NYK,W,2,1,0.667,240,35,77,0.455,6,16,0.375,16,24,0.667,11,36,47,20,12,4,14,17,92
2011-12-28,1610612737,0021100025,2011-12-28,ATL vs. WAS,ATL,WAS,W,2,0,1.0,240,32,75,0.427,9,23,0.391,28,35,0.8,11,34,45,21,6,5,14,21,101
2011-12-28,1610612765,0021100026,2011-12-28,DET vs. CLE,DET,CLE,L,0,2,0.0,240,36,81,0.444,9,21,0.429,8,11,0.727,10,16,26,16,11,1,16,21,89
2011-12-28,1610612760,0021100027,2011-12-28,OKC @ MEM,MEM,OKC,W,3,0,1.0,240,29,77,0.377,10,25,0.4,30,38,0.789,12,29,41,16,4,8,10,24,98
2011-12-28,1610612746,0021100029,2011-12-28,LAC @ SAS,SAS,LAC,L,1,1,0.5,240,29,74,0.392,7,20,0.35,25,33,0.758,10,20,30,17,8,5,12,17,90
2011-12-28,1610612754,0021100023,2011-12-28,IND @ TOR,TOR,IND,W,2,0,1.0,240,32,81,0.395,7,16,0.438,19,22,0.864,12,29,41,20,10,2,16,16,90
2011-12-28,1610612762,0021100030,2011-12-28,UTA @ DEN,DEN,UTA,L,0,2,0.0,240,38,79,0.481,7,16,0.438,17,25,0.68,8,31,39,25,10,3,22,23,100
