GAME_DATE,Team_ID,Game_ID,GAME_DATE,MATCHUP,HomeTeam,VisitTeam,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2012-10-30,1610612748,0021200002,2012-10-30,MIA vs. BOS,MIA,BOS,W,1,0,1.0,240,43,79,0.544,8,16,0.5,26,32,0.813,5,31,36,25,8,5,8,20,120
2012-10-30,1610612764,0021200001,2012-10-30,WAS @ CLE,CLE,WAS,L,0,1,0.0,240,32,90,0.356,8,32,0.25,12,20,0.6,18,21,39,26,11,10,12,19,84
2012-10-30,1610612738,0021200002,2012-10-30,BOS @ MIA,MIA,BOS,L,0,1,0.0,240,39,75,0.52,6,13,0.462,23,28,0.821,7,34,41,24,4,2,15,23,107
2012-10-30,1610612739,0021200001,2012-10-30,CLE vs. WAS,CLE,WAS,W,1,0,1.0,240,36,79,0.456,7,20,0.35,15,22,0.682,18,36,54,22,7,5,20,21,94
2012-10-30,1610612742,0021200003,2012-10-30,DAL @ LAL,LAL,DAL,W,1,0,1.0,240,40,85,0.471,5,15,0.333,14,18,0.778,9,31,40,22,9,5,11,25,99
2012-10-30,1610612747,0021200003,2012-10-30,LAL vs. DAL,LAL,DAL,L,0,1,0.0,240,38,77,0.494,3,13,0.231,12,31,0.387,15,31,46,24,6,5,14,21,91
2012-10-31,1610612747,0021200012,2012-10-31,LAL @ POR,POR,LAL,L,0,2,0.0,240,36,72,0.5,8,18,0.444,26,32,0.813,15,30,45,21,6,2,24,29,106
2012-10-31,1610612746,0021200011,2012-10-31,LAC vs. MEM,LAC,MEM,W,1,0,1.0,240,38,74,0.514,5,15,0.333,20,29,0.69,8,31,39,25,12,9,22,27,101
2012-10-31,1610612745,0021200006,2012-10-31,HOU @ DET,DET,HOU,W,1,0,1.0,240,39,79,0.494,10,27,0.37,17,23,0.739,12,33,45,28,12,3,20,24,105
2012-10-31,1610612744,0021200010,2012-10-31,GSW @ PHX,PHX,GSW,W,1,0,1.0,240,33,86,0.384,5,17,0.294,16,23,0.696,17,32,49,19,9,3,18,20,87
2012-10-31,1610612754,0021200004,2012-10-31,IND @ TOR,TOR,IND,W,1,0,1.0,240,37,78,0.474,5,11,0.455,11,16,0.688,9,37,46,22,3,10,18,16,90
2012-10-31,1610612755,0021200005,2012-10-31,PHI vs. DEN,PHI,DEN,W,1,0,1.0,240,30,85,0.353,7,25,0.28,17,21,0.81,14,33,47,18,13,11,15,14,84
2012-10-31,1610612756,0021200010,2012-10-31,PHX vs. GSW,PHX,GSW,L,0,1,0.0,240,32,80,0.4,4,21,0.19,17,22,0.773,11,33,44,16,10,12,18,23,85
2012-10-31,1610612743,0021200005,2012-10-31,DEN @ PHI,PHI,DEN,L,0,1,0.0,240,33,88,0.375,4,18,0.222,5,11,0.455,16,38,54,19,9,5,20,22,75
2012-10-31,1610612757,0021200012,2012-10-31,POR vs. LAL,POR,LAL,W,1,0,1.0,240,42,83,0.506,9,20,0.45,23,28,0.821,10,20,30,19,10,5,12,20,116
2012-10-31,1610612742,0021200009,2012-10-31,DAL @ UTA,UTA,DAL,L,1,1,0.5,240,32,85,0.376,11,22,0.5,19,26,0.731,8,32,40,20,8,5,16,32,94
2012-10-31,1610612758,0021200007,2012-10-31,SAC @ CHI,CHI,SAC,L,0,1,0.0,240,34,84,0.405,6,17,0.353,13,16,0.813,11,29,40,14,10,5,19,29,87
2012-10-31,1610612762,0021200009,2012-10-31,UTA vs. DAL,UTA,DAL,W,1,0,1.0,240,38,89,0.427,6,14,0.429,31,42,0.738,20,41,61,24,10,8,14,25,113
2012-10-31,1610612759,0021200008,2012-10-31,SAS @ NOH,NOH,SAS,W,1,0,1.0,240,38,80,0.475,6,20,0.3,17,26,0.654,10,33,43,22,9,8,15,21,99
2012-10-31,1610612765,0021200006,2012-10-31,DET vs. HOU,DET,HOU,L,0,1,0.0,240,35,79,0.443,6,16,0.375,20,26,0.769,10,26,36,21,12,4,16,15,96
2012-10-31,1610612763,0021200011,2012-10-31,MEM @ LAC,LAC,MEM,L,0,1,0.0,240,33,86,0.384,2,14,0.143,24,30,0.8,17,27,44,24,14,4,18,25,92
2012-10-31,1610612741,0021200007,2012-10-31,CHI vs. SAC,CHI,SAC,W,1,0,1.0,240,33,79,0.418,2,9,0.222,25,33,0.758,14,32,46,21,8,10,18,19,93
2012-10-31,1610612740,0021200008,2012-10-31,NOH vs. SAS,NOH,SAS,L,0,1,0.0,240,35,80,0.438,4,17,0.235,21,23,0.913,9,34,43,26,7,6,13,20,95
2012-10-31,1610612761,0021200004,2012-10-31,TOR vs. IND,TOR,IND,L,0,1,0.0,240,33,91,0.363,6,17,0.353,16,19,0.842,15,27,42,18,12,8,10,18,88
2012-11-01,1610612759,0021200014,2012-11-01,SAS vs. OKC,SAS,OKC,W,2,0,1.0,240,35,79,0.443,5,19,0.263,11,16,0.688,6,33,39,27,9,4,13,21,86
2012-11-01,1610612760,0021200014,2012-11-01,OKC @ SAS,SAS,OKC,L,0,1,0.0,240,29,77,0.377,7,17,0.412,19,23,0.826,12,36,48,18,6,5,18,20,84
2012-11-02,1610612740,0021200021,2012-11-02,NOH vs. UTA,NOH,UTA,W,1,1,0.5,240,37,81,0.457,5,14,0.357,9,14,0.643,12,30,42,23,7,4,12,16,88
2012-11-02,1610612743,0021200016,2012-11-02,DEN @ ORL,ORL,DEN,L,0,2,0.0,240,32,84,0.381,7,26,0.269,18,27,0.667,15,30,45,22,5,5,14,17,89
2012-11-02,1610612739,0021200019,2012-11-02,CLE vs. CHI,CLE,CHI,L,1,1,0.5,240,32,79,0.405,8,20,0.4,14,27,0.519,11,22,33,23,7,1,17,25,86
2012-11-02,1610612745,0021200018,2012-11-02,HOU @ ATL,ATL,HOU,W,2,0,1.0,240,38,90,0.422,8,30,0.267,25,29,0.862,23,35,58,22,8,2,21,18,109
2012-11-02,1610612746,0021200025,2012-11-02,LAC @ LAL,LAL,LAC,W,2,0,1.0,240,38,84,0.452,8,22,0.364,21,27,0.778,9,28,37,24,12,4,11,26,105
2012-11-02,1610612738,0021200017,2012-11-02,BOS vs. MIL,BOS,MIL,L,0,2,0.0,240,33,74,0.446,5,14,0.357,17,21,0.81,6,30,36,22,9,4,18,18,88
2012-11-02,1610612747,0021200025,2012-11-02,LAL vs. LAC,LAL,LAC,L,0,3,0.0,240,34,68,0.5,7,16,0.438,20,28,0.714,7,31,38,15,7,7,20,23,95
2012-11-02,1610612741,0021200019,2012-11-02,CHI @ CLE,CLE,CHI,W,2,0,1.0,240,44,69,0.638,4,10,0.4,23,30,0.767,5,36,41,34,7,4,17,21,115
2012-11-02,1610612744,0021200026,2012-11-02,GSW vs. MEM,GSW,MEM,L,1,1,0.5,240,36,80,0.45,10,20,0.5,12,17,0.706,9,27,36,21,5,5,18,24,94
2012-11-02,1610612766,0021200015,2012-11-02,CHA vs. IND,CHA,IND,W,1,0,1.0,240,31,85,0.365,7,19,0.368,21,24,0.875,10,31,41,18,10,9,10,22,90
2012-11-02,1610612737,0021200018,2012-11-02,ATL vs. HOU,ATL,HOU,L,0,1,0.0,240,40,85,0.471,7,22,0.318,15,17,0.882,7,29,36,23,12,4,13,26,102
2012-11-02,1610612762,0021200021,2012-11-02,UTA @ NOH,NOH,UTA,L,1,1,0.5,240,35,85,0.412,10,28,0.357,6,12,0.5,16,28,44,19,7,6,14,21,86
2012-11-02,1610612758,0021200023,2012-11-02,SAC @ MIN,MIN,SAC,L,0,2,0.0,240,32,89,0.36,3,16,0.188,13,16,0.813,11,32,43,17,7,4,11,34,80
2012-11-02,1610612748,0021200020,2012-11-02,MIA @ NYK,NYK,MIA,L,1,1,0.5,240,33,71,0.465,7,20,0.35,11,13,0.846,7,34,41,18,4,5,21,18,84
2012-11-02,1610612757,0021200022,2012-11-02,POR @ OKC,OKC,POR,L,1,1,0.5,240,32,89,0.36,9,26,0.346,19,24,0.792,11,33,44,17,4,0,11,25,92
2012-11-02,1610612756,0021200024,2012-11-02,PHX vs. DET,PHX,DET,W,1,1,0.5,240,40,92,0.435,2,11,0.182,10,14,0.714,15,37,52,15,6,5,12,20,92
2012-11-02,1610612754,0021200015,2012-11-02,IND @ CHA,CHA,IND,L,1,1,0.5,240,33,83,0.398,7,26,0.269,16,27,0.593,14,38,52,19,5,5,17,16,89
2012-11-02,1610612763,0021200026,2012-11-02,MEM @ GSW,GSW,MEM,W,1,1,0.5,240,35,77,0.455,6,13,0.462,28,34,0.824,9,31,40,22,9,4,13,22,104
2012-11-02,1610612760,0021200022,2012-11-02,OKC vs. POR,OKC,POR,W,1,1,0.5,240,39,76,0.513,5,9,0.556,23,32,0.719,8,39,47,18,2,10,12,22,106
2012-11-02,1610612752,0021200020,2012-11-02,NYK vs. MIA,NYK,MIA,W,1,0,1.0,240,36,84,0.429,19,36,0.528,13,15,0.867,13,28,41,27,10,0,12,22,104
2012-11-02,1610612750,0021200023,2012-11-02,MIN vs. SAC,MIN,SAC,W,1,0,1.0,240,32,87,0.368,2,17,0.118,26,36,0.722,17,36,53,17,4,10,11,17,92
2012-11-02,1610612749,0021200017,2012-11-02,MIL @ BOS,BOS,MIL,W,1,0,1.0,240,40,86,0.465,8,18,0.444,11,12,0.917,11,35,46,26,12,5,18,17,99
2012-11-02,1610612765,0021200024,2012-11-02,DET @ PHX,PHX,DET,L,0,2,0.0,240,37,90,0.411,4,13,0.308,11,19,0.579,10,29,39,20,2,5,9,19,89
2012-11-02,1610612753,0021200016,2012-11-02,ORL vs. DEN,ORL,DEN,W,1,0,1.0,240,42,86,0.488,5,15,0.333,13,18,0.722,11,35,46,24,8,8,11,24,102
2012-11-03,1610612739,0021200033,2012-11-03,CLE @ MIL,MIL,CLE,L,1,2,0.333,240,39,83,0.47,6,16,0.375,18,29,0.621,9,33,42,19,9,0,15,21,102
2012-11-03,1610612741,0021200031,2012-11-03,CHI vs. NOH,CHI,NOH,L,2,1,0.667,240,29,88,0.33,3,17,0.176,21,25,0.84,15,26,41,21,11,6,12,20,82
2012-11-03,1610612764,0021200027,2012-11-03,WAS vs. BOS,WAS,BOS,L,0,2,0.0,240,34,78,0.436,6,20,0.3,12,17,0.706,7,39,46,20,7,4,15,14,86
2012-11-03,1610612740,0021200031,2012-11-03,NOH @ CHI,CHI,NOH,W,2,1,0.667,240,32,75,0.427,5,18,0.278,20,23,0.87,9,35,44,13,7,9,16,21,89
2012-11-03,1610612762,0021200035,2012-11-03,UTA @ SAS,SAS,UTA,L,1,2,0.333,240,38,77,0.494,5,13,0.385,19,22,0.864,9,23,32,17,11,7,16,22,100
2012-11-03,1610612761,0021200029,2012-11-03,TOR @ BKN,BKN,TOR,L,0,2,0.0,240,37,82,0.451,7,18,0.389,19,25,0.76,10,27,37,23,8,5,14,31,100
2012-11-03,1610612748,0021200030,2012-11-03,MIA vs. DEN,MIA,DEN,W,2,1,0.667,240,43,83,0.518,10,25,0.4,23,27,0.852,7,25,32,26,9,8,8,16,119
2012-11-03,1610612743,0021200030,2012-11-03,DEN @ MIA,MIA,DEN,L,0,3,0.0,240,49,95,0.516,5,21,0.238,13,20,0.65,18,29,47,13,5,3,13,21,116
2012-11-03,1610612742,0021200034,2012-11-03,DAL vs. CHA,DAL,CHA,W,2,1,0.667,240,49,80,0.613,16,25,0.64,12,15,0.8,8,35,43,31,6,7,22,23,126
