GAME_DATE,Team_ID,Game_ID,GAME_DATE,MATCHUP,HomeTeam,VisitTeam,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2016-10-25,1610612762,0021600002,2016-10-25,UTA @ POR,POR,UTA,L,0,1,0.0,240,40,82,0.488,8,24,0.333,16,16,1.0,6,25,31,19,9,5,11,19,104
2016-10-25,1610612744,0021600003,2016-10-25,GSW vs. SAS,GSW,SAS,L,0,1,0.0,240,40,85,0.471,7,33,0.212,13,18,0.722,8,27,35,24,11,6,16,19,100
2016-10-25,1610612759,0021600003,2016-10-25,SAS @ GSW,GSW,SAS,W,1,0,1.0,240,47,98,0.48,12,24,0.5,23,26,0.885,21,34,55,25,13,3,13,19,129
2016-10-25,1610612757,0021600002,2016-10-25,POR vs. UTA,POR,UTA,W,1,0,1.0,240,39,75,0.52,13,19,0.684,22,22,1.0,5,29,34,22,5,3,12,18,113
2016-10-25,1610612739,0021600001,2016-10-25,CLE vs. NYK,CLE,NYK,W,1,0,1.0,240,45,94,0.479,13,35,0.371,14,19,0.737,11,40,51,31,12,5,14,22,117
2016-10-25,1610612752,0021600001,2016-10-25,NYK @ CLE,CLE,NYK,L,0,1,0.0,240,32,87,0.368,9,27,0.333,15,20,0.75,13,29,42,17,6,6,18,22,88
2016-10-26,1610612751,0021600006,2016-10-26,BKN @ BOS,BOS,BKN,L,0,1,0.0,240,43,97,0.443,15,44,0.341,16,20,0.8,15,29,44,22,8,3,16,19,117
2016-10-26,1610612740,0021600010,2016-10-26,NOP vs. DEN,NOP,DEN,L,0,1,0.0,240,38,92,0.413,3,19,0.158,23,26,0.885,5,28,33,31,16,5,11,29,102
2016-10-26,1610612742,0021600005,2016-10-26,DAL @ IND,IND,DAL,L,0,1,0.0,265,45,104,0.433,18,48,0.375,13,18,0.722,10,39,49,26,8,8,15,27,121
2016-10-26,1610612743,0021600010,2016-10-26,DEN @ NOP,NOP,DEN,W,1,0,1.0,240,37,83,0.446,8,24,0.333,25,33,0.758,11,47,58,18,7,4,24,22,107
2016-10-26,1610612745,0021600013,2016-10-26,HOU @ LAL,LAL,HOU,L,0,1,0.0,240,44,86,0.512,7,29,0.241,19,27,0.704,10,29,39,29,10,1,14,23,114
2016-10-26,1610612747,0021600013,2016-10-26,LAL vs. HOU,LAL,HOU,W,1,0,1.0,240,45,89,0.506,12,35,0.343,18,22,0.818,11,28,39,21,10,4,15,24,120
2016-10-26,1610612748,0021600004,2016-10-26,MIA @ ORL,ORL,MIA,W,1,0,1.0,240,47,97,0.485,4,16,0.25,10,16,0.625,16,36,52,27,5,7,10,22,108
2016-10-26,1610612749,0021600008,2016-10-26,MIL vs. CHA,MIL,CHA,L,0,1,0.0,240,39,92,0.424,3,16,0.188,15,20,0.75,10,36,46,23,4,5,8,22,96
2016-10-26,1610612753,0021600004,2016-10-26,ORL vs. MIA,ORL,MIA,L,0,1,0.0,240,34,89,0.382,6,18,0.333,22,28,0.786,15,30,45,20,5,4,11,15,96
2016-10-26,1610612754,0021600005,2016-10-26,IND vs. DAL,IND,DAL,W,1,0,1.0,265,47,93,0.505,10,19,0.526,26,34,0.765,8,44,52,30,11,6,16,23,130
2016-10-26,1610612755,0021600011,2016-10-26,PHI vs. OKC,PHI,OKC,L,0,1,0.0,240,36,84,0.429,7,24,0.292,18,25,0.72,5,38,43,21,5,10,13,22,97
2016-10-26,1610612756,0021600012,2016-10-26,PHX vs. SAC,PHX,SAC,L,0,1,0.0,240,36,77,0.468,4,16,0.25,18,27,0.667,10,31,41,20,6,3,18,29,94
2016-10-26,1610612758,0021600012,2016-10-26,SAC @ PHX,PHX,SAC,W,1,0,1.0,240,44,86,0.512,6,21,0.286,19,26,0.731,10,31,41,24,5,5,13,20,113
2016-10-26,1610612760,0021600011,2016-10-26,OKC @ PHI,PHI,OKC,W,1,0,1.0,240,39,94,0.415,6,22,0.273,19,26,0.731,13,40,53,19,7,3,10,23,103
2016-10-26,1610612761,0021600007,2016-10-26,TOR vs. DET,TOR,DET,W,1,0,1.0,240,41,86,0.477,3,18,0.167,24,29,0.828,14,37,51,17,8,0,11,22,109
2016-10-26,1610612763,0021600009,2016-10-26,MEM vs. MIN,MEM,MIN,W,1,0,1.0,240,36,80,0.45,11,24,0.458,19,27,0.704,11,34,45,19,6,11,13,25,102
2016-10-26,1610612765,0021600007,2016-10-26,DET @ TOR,TOR,DET,L,0,1,0.0,240,35,84,0.417,4,22,0.182,17,22,0.773,8,32,40,17,8,0,13,24,91
2016-10-26,1610612750,0021600009,2016-10-26,MIN @ MEM,MEM,MIN,L,0,1,0.0,240,36,86,0.419,6,18,0.333,20,29,0.69,15,30,45,20,6,5,10,23,98
2016-10-26,1610612738,0021600006,2016-10-26,BOS vs. BKN,BOS,BKN,W,1,0,1.0,240,48,89,0.539,11,32,0.344,15,18,0.833,12,35,47,36,13,9,19,20,122
2016-10-26,1610612766,0021600008,2016-10-26,CHA @ MIL,MIL,CHA,W,1,0,1.0,240,40,89,0.449,7,23,0.304,20,24,0.833,11,40,51,27,5,10,10,22,107
