Date,GameID,HomeTeam,HomeTeamPTS,HomeTeamW_PCT,Ratio,VisitTeam,VisitTeamPTS,VisitTeamW_PCT,WL
2012-10-30,21200002,MIA,120,1.0,inf,BOS,107,0.0,1.12
2012-10-30,21200001,CLE,94,1.0,inf,WAS,84,0.0,1.12
2012-10-30,21200003,LAL,91,0.0,0.0,DAL,99,1.0,0.92
2012-10-31,21200012,POR,116,1.0,inf,LAL,106,0.0,1.09
2012-10-31,21200011,LAC,101,1.0,inf,MEM,92,0.0,1.1
2012-10-31,21200006,DET,96,0.0,0.0,HOU,105,1.0,0.91
2012-10-31,21200010,PHX,85,0.0,0.0,GSW,87,1.0,0.98
2012-10-31,21200004,TOR,88,0.0,0.0,IND,90,1.0,0.98
2012-10-31,21200005,PHI,84,1.0,inf,DEN,75,0.0,1.12
2012-10-31,21200009,UTA,113,1.0,2.0,DAL,94,0.5,1.2
2012-10-31,21200007,CHI,93,1.0,inf,SAC,87,0.0,1.07
2012-10-31,21200008,NOH,95,0.0,0.0,SAS,99,1.0,0.96
2012-11-01,21200014,SAS,86,1.0,inf,OKC,84,0.0,1.02
2012-11-02,21200021,NOH,88,0.5,1.0,UTA,86,0.5,1.02
2012-11-02,21200016,ORL,102,1.0,inf,DEN,89,0.0,1.15
2012-11-02,21200019,CLE,86,0.5,0.5,CHI,115,1.0,0.75
2012-11-02,21200018,ATL,102,0.0,0.0,HOU,109,1.0,0.94
2012-11-02,21200025,LAL,95,0.0,0.0,LAC,105,1.0,0.9
2012-11-02,21200017,BOS,88,0.0,0.0,MIL,99,1.0,0.89
2012-11-02,21200026,GSW,94,0.5,1.0,MEM,104,0.5,0.9
2012-11-02,21200015,CHA,90,1.0,2.0,IND,89,0.5,1.01
2012-11-02,21200023,MIN,92,1.0,inf,SAC,80,0.0,1.15
2012-11-02,21200020,NYK,104,1.0,2.0,MIA,84,0.5,1.24
2012-11-02,21200022,OKC,106,0.5,1.0,POR,92,0.5,1.15
2012-11-02,21200024,PHX,92,0.5,inf,DET,89,0.0,1.03
2012-11-03,21200033,MIL,105,1.0,3.0,CLE,102,0.33299999999999996,1.03
2012-11-03,21200031,CHI,82,0.667,1.0,NOH,89,0.667,0.92
2012-11-03,21200027,WAS,86,0.0,0.0,BOS,89,0.33299999999999996,0.97
2012-11-03,21200035,SAS,110,1.0,3.0,UTA,100,0.33299999999999996,1.1
2012-11-03,21200029,BKN,107,1.0,inf,TOR,100,0.0,1.07
