Date,GameID,HomeTeam,HomeTeamPTS,HomeTeamW_PCT,Ratio,VisitTeam,VisitTeamPTS,VisitTeamW_PCT,WL
2015-10-27,21500001,ATL,94,0.0,0.0,DET,106,1.0,0.89
2015-10-27,21500002,CHI,97,1.0,inf,CLE,95,0.0,1.02
2015-10-27,21500003,GSW,111,1.0,inf,NOP,95,0.0,1.17
2015-10-28,21500011,MEM,76,0.0,0.0,CLE,106,0.5,0.72
2015-10-28,21500015,POR,112,1.0,inf,NOP,94,0.0,1.19
2015-10-28,21500006,BKN,100,0.0,0.0,CHI,115,1.0,0.87
2015-10-28,21500014,PHX,95,0.0,0.0,DAL,111,1.0,0.86
2015-10-28,21500010,HOU,85,0.0,0.0,DEN,105,1.0,0.81
2015-10-28,21500016,SAC,104,0.0,0.0,LAC,111,1.0,0.94
2015-10-28,21500017,LAL,111,0.0,0.0,MIN,112,1.0,0.99
2015-10-28,21500008,MIA,104,1.0,inf,CHA,94,0.0,1.11
2015-10-28,21500012,MIL,97,0.0,0.0,NYK,122,1.0,0.8
2015-10-28,21500004,ORL,87,0.0,0.0,WAS,88,1.0,0.99
2015-10-28,21500009,TOR,106,1.0,inf,IND,99,0.0,1.07
2015-10-28,21500005,BOS,112,1.0,inf,PHI,95,0.0,1.18
2015-10-28,21500013,OKC,112,1.0,inf,SAS,106,0.0,1.06
2015-10-28,21500007,DET,92,1.0,inf,UTA,87,0.0,1.06
2015-10-29,21500019,NYK,101,0.5,1.0,ATL,112,0.5,0.9
2015-10-29,21500020,LAC,104,1.0,2.0,DAL,88,0.5,1.18
2015-10-29,21500018,IND,103,0.0,0.0,MEM,112,0.5,0.92
2015-10-30,21500031,SAC,132,0.5,inf,LAL,114,0.0,1.16
2015-10-30,21500029,DEN,78,0.5,0.5,MIN,95,1.0,0.82
2015-10-30,21500030,HOU,92,0.0,0.0,GSW,112,1.0,0.82
2015-10-30,21500028,SAS,102,0.5,inf,BKN,75,0.0,1.36
2015-10-30,21500032,PHX,110,0.5,1.0,POR,92,0.5,1.2
2015-10-30,21500027,MIL,113,0.0,0.0,WAS,118,1.0,0.96
2015-10-30,21500021,CLE,102,0.667,1.33,MIA,92,0.5,1.11
2015-10-30,21500022,ORL,136,0.0,0.0,OKC,139,1.0,0.98
2015-10-30,21500025,DET,98,1.0,1.5,CHI,94,0.667,1.04
2015-10-30,21500026,ATL,97,0.667,inf,CHA,94,0.0,1.03
2015-10-30,21500023,PHI,71,0.0,0.0,UTA,99,0.5,0.72
2015-10-30,21500024,BOS,103,0.5,0.5,TOR,113,1.0,0.91
2015-10-31,21500038,LAC,114,1.0,3.0,SAC,109,0.33299999999999996,1.05
2015-10-31,21500035,NOP,120,0.0,0.0,GSW,134,1.0,0.9
2015-10-31,21500036,MEM,101,0.667,inf,BKN,91,0.0,1.11
2015-10-31,21500037,POR,90,0.33299999999999996,0.5,PHX,101,0.667,0.89
2015-10-31,21500034,WAS,110,0.667,1.0,NYK,117,0.667,0.94
2015-10-31,21500033,IND,76,0.0,0.0,UTA,97,0.667,0.78
2015-11-01,21500044,OKC,117,1.0,3.0,DEN,93,0.33299999999999996,1.26
2015-11-01,21500042,TOR,106,1.0,inf,MIL,87,0.0,1.22
2015-11-01,21500040,BOS,87,0.33299999999999996,0.5,SAS,95,0.667,0.92
2015-11-01,21500043,CHI,92,0.75,inf,ORL,87,0.0,1.06
2015-11-01,21500045,LAL,93,0.0,0.0,DAL,103,0.667,0.9
2015-11-01,21500041,MIA,109,0.667,inf,HOU,89,0.0,1.22
2015-11-01,21500039,CHA,92,0.0,0.0,ATL,94,0.75,0.98
2015-11-02,21500050,MIN,101,0.667,1.33,POR,106,0.5,0.95
2015-11-02,21500048,NYK,84,0.5,0.67,SAS,94,0.75,0.89
2015-11-02,21500046,PHI,100,0.0,0.0,CLE,107,0.75,0.93
2015-11-02,21500049,HOU,110,0.25,0.33,OKC,105,0.75,1.05
2015-11-02,21500051,GSW,119,1.0,2.0,MEM,69,0.5,1.72
2015-11-02,21500052,LAC,102,1.0,2.0,PHX,96,0.5,1.06
2015-11-02,21500047,BKN,96,0.0,0.0,MIL,103,0.25,0.93
2015-11-03,21500056,NOP,94,0.0,0.0,ORL,103,0.25,0.91
2015-11-03,21500058,SAC,89,0.25,0.42,MEM,103,0.6,0.86
2015-11-03,21500054,DET,82,0.75,3.0,IND,94,0.25,0.87
2015-11-03,21500057,DAL,91,0.5,0.5,TOR,102,1.0,0.89
2015-11-03,21500059,LAL,109,0.0,0.0,DEN,120,0.5,0.91
2015-11-03,21500053,CHA,130,0.25,0.42,CHI,105,0.6,1.24
2015-11-03,21500055,MIA,92,0.5,0.62,ATL,98,0.8,0.94
2015-11-04,21500064,HOU,119,0.4,2.0,ORL,114,0.2,1.04
2015-11-04,21500063,CLE,96,0.8,2.0,NYK,86,0.4,1.12
2015-11-04,21500065,MIL,91,0.4,inf,PHI,87,0.0,1.05
2015-11-04,21500067,PHX,118,0.6,3.0,SAC,97,0.2,1.22
2015-11-04,21500060,IND,100,0.4,1.6,BOS,98,0.25,1.02
2015-11-04,21500066,OKC,98,0.6,0.6,TOR,103,1.0,0.95
2015-11-04,21500069,GSW,112,1.0,1.25,LAC,108,0.8,1.04
2015-11-04,21500061,WAS,102,0.75,1.25,SAS,99,0.6,1.03
2015-11-04,21500068,UTA,92,0.5,0.83,POR,108,0.6,0.85
2015-11-04,21500062,ATL,101,0.833,inf,BKN,87,0.0,1.16
2015-11-05,21500070,CHI,104,0.667,1.33,OKC,98,0.5,1.06
2015-11-05,21500071,MIN,84,0.5,0.83,MIA,96,0.6,0.88
2015-11-05,21500073,DEN,84,0.4,0.67,UTA,96,0.6,0.88
2015-11-05,21500074,POR,115,0.667,1.33,MEM,96,0.5,1.2
2015-11-05,21500072,DAL,94,0.4,1.0,CHA,108,0.4,0.87
2015-11-06,21500078,CLE,108,0.833,inf,PHI,102,0.0,1.06
2015-11-06,21500080,IND,90,0.5,1.0,MIA,87,0.5,1.03
2015-11-06,21500082,PHX,92,0.5,0.62,DET,100,0.8,0.92
2015-11-06,21500079,NYK,92,0.33299999999999996,0.67,MIL,99,0.5,0.93
2015-11-06,21500076,BOS,118,0.4,0.67,WAS,98,0.6,1.2
2015-11-06,21500084,SAC,110,0.16699999999999998,0.33,HOU,116,0.5,0.95
2015-11-06,21500077,BKN,98,0.0,0.0,LAL,104,0.2,0.94
2015-11-06,21500081,NOP,115,0.0,0.0,ATL,121,0.857,0.95
2015-11-06,21500075,ORL,92,0.33299999999999996,0.4,TOR,87,0.833,1.06
2015-11-06,21500083,GSW,119,1.0,3.0,DEN,104,0.33299999999999996,1.14
2015-11-07,21500089,MIL,94,0.5710000000000001,inf,BKN,86,0.0,1.09
