Date,GameID,HomeTeam,HomeTeamPTS,HomeTeamW_PCT,Ratio,VisitTeam,VisitTeamPTS,VisitTeamW_PCT,WL
2011-12-25,21100001,NYK,106,1.0,inf,BOS,104,0.0,1.02
2011-12-25,21100003,LAL,87,0.0,0.0,CHI,88,1.0,0.99
2011-12-25,21100004,OKC,97,1.0,inf,ORL,89,0.0,1.09
2011-12-25,21100005,GSW,86,0.0,0.0,LAC,105,1.0,0.82
2011-12-25,21100002,DAL,94,0.0,0.0,MIA,105,1.0,0.9
2011-12-26,21100012,DAL,93,0.0,0.0,DEN,115,1.0,0.81
2011-12-26,21100008,ORL,104,0.5,inf,HOU,95,0.0,1.09
2011-12-26,21100015,SAC,100,1.0,inf,LAL,91,0.0,1.1
2011-12-26,21100017,GSW,99,0.5,1.0,CHI,91,0.5,1.09
2011-12-26,21100014,PHX,84,0.0,0.0,NOH,85,1.0,0.99
2011-12-26,21100006,WAS,84,0.0,0.0,NJN,90,1.0,0.93
2011-12-26,21100009,CLE,96,0.0,0.0,TOR,104,1.0,0.92
2011-12-26,21100010,IND,91,1.0,inf,DET,79,0.0,1.15
2011-12-26,21100016,POR,107,1.0,inf,PHI,103,0.0,1.04
2011-12-26,21100013,SAS,95,1.0,inf,MEM,82,0.0,1.16
2011-12-26,21100011,MIN,100,0.0,0.0,OKC,104,1.0,0.96
2011-12-26,21100007,CHA,96,1.0,inf,MIL,95,0.0,1.01
2011-12-27,21100018,NJN,70,0.5,0.5,ATL,106,1.0,0.66
2011-12-27,21100021,POR,101,1.0,2.0,SAC,79,0.5,1.28
2011-12-27,21100019,MIA,115,1.0,inf,BOS,107,0.0,1.07
2011-12-27,21100022,LAL,96,0.33299999999999996,inf,UTA,71,0.0,1.35
2011-12-27,21100020,MIL,98,0.5,inf,MIN,95,0.0,1.03
2011-12-28,21100025,ATL,101,1.0,inf,WAS,83,0.0,1.22
2011-12-28,21100032,GSW,92,0.667,1.33,NYK,78,0.5,1.18
2011-12-28,21100031,PHX,83,0.0,0.0,PHI,103,0.5,0.81
2011-12-28,21100026,DET,89,0.0,0.0,CLE,105,0.5,0.85
2011-12-28,21100029,SAS,115,1.0,2.0,LAC,90,0.5,1.28
2011-12-28,21100028,NOH,97,1.0,inf,BOS,78,0.0,1.24
2011-12-28,21100027,MEM,95,0.0,0.0,OKC,98,1.0,0.97
2011-12-28,21100023,TOR,85,0.5,0.5,IND,90,1.0,0.94
2011-12-28,21100030,DEN,117,1.0,inf,UTA,100,0.0,1.17
2011-12-28,21100024,CHA,95,0.5,0.5,MIA,96,1.0,0.99
2011-12-29,21100034,HOU,105,0.5,0.75,SAS,85,0.667,1.24
2011-12-29,21100038,LAL,99,0.5,1.5,NYK,82,0.33299999999999996,1.21
2011-12-29,21100033,ORL,94,0.667,2.0,NJN,78,0.33299999999999996,1.21
2011-12-29,21100036,SAC,98,0.33299999999999996,0.5,CHI,108,0.667,0.91
2011-12-29,21100037,POR,111,1.0,1.5,DEN,102,0.667,1.09
2011-12-29,21100035,OKC,104,1.0,inf,DAL,102,0.0,1.02
2011-12-30,21100039,CHA,79,0.33299999999999996,0.44,ORL,100,0.75,0.79
2011-12-30,21100045,MIN,101,0.0,0.0,MIA,103,1.0,0.98
2011-12-30,21100043,MEM,113,0.33299999999999996,1.0,HOU,93,0.33299999999999996,1.22
2011-12-30,21100041,BOS,96,0.25,inf,DET,85,0.0,1.13
2011-12-30,21100048,UTA,102,0.33299999999999996,1.0,PHI,99,0.33299999999999996,1.03
2011-12-30,21100049,LAC,101,0.33299999999999996,0.44,CHI,114,0.75,0.89
2011-12-30,21100047,DAL,99,0.25,0.75,TOR,86,0.33299999999999996,1.15
2011-12-30,21100044,NOH,78,0.667,2.0,PHX,93,0.33299999999999996,0.84
2011-12-30,21100042,ATL,105,1.0,4.0,NJN,98,0.25,1.07
2011-12-30,21100046,MIL,102,0.667,inf,WAS,81,0.0,1.26
2011-12-30,21100040,IND,98,1.0,3.0,CLE,91,0.33299999999999996,1.08
2011-12-31,21100055,SAS,104,0.75,3.0,UTA,89,0.25,1.17
2011-12-31,21100050,LAL,92,0.6,1.2,DEN,89,0.5,1.03
2011-12-31,21100054,SAC,92,0.25,0.5,NYK,114,0.5,0.81
2011-12-31,21100056,GSW,79,0.5,1.0,PHI,107,0.5,0.74
2011-12-31,21100052,HOU,95,0.5,0.67,ATL,84,0.75,1.13
2011-12-31,21100053,OKC,107,1.0,4.0,PHX,97,0.25,1.1
2011-12-31,21100051,DET,96,0.25,0.33,IND,88,0.75,1.09
2012-01-01,21100058,ORL,102,0.8,3.2,TOR,96,0.25,1.06
2012-01-01,21100064,SAC,96,0.4,0.8,NOH,80,0.5,1.2
2012-01-01,21100063,DEN,99,0.6,1.2,LAL,90,0.5,1.1
2012-01-01,21100057,WAS,86,0.0,0.0,BOS,94,0.4,0.91
2012-01-01,21100059,MIA,129,1.0,4.0,CHA,90,0.25,1.43
2012-01-01,21100060,CLE,98,0.5,2.5,NJN,82,0.2,1.2
2012-01-01,21100065,LAC,93,0.5,0.67,POR,88,0.75,1.06
2012-01-01,21100061,MIN,99,0.25,1.25,DAL,82,0.2,1.21
2012-01-01,21100062,CHI,104,0.8,3.2,MEM,64,0.25,1.62
2012-01-02,21100071,DET,89,0.4,0.6,ORL,78,0.667,1.14
2012-01-02,21100074,DEN,91,0.667,1.33,MIL,86,0.5,1.06
2012-01-02,21100066,PHX,102,0.4,1.0,GSW,91,0.4,1.12
2012-01-02,21100075,UTA,94,0.4,1.0,NOH,90,0.4,1.04
2012-01-02,21100068,NJN,94,0.16699999999999998,0.21,IND,108,0.8,0.87
2012-01-02,21100069,NYK,85,0.4,1.0,TOR,90,0.4,0.94
2012-01-02,21100072,MIN,106,0.4,0.67,SAS,96,0.6,1.1
2012-01-02,21100073,DAL,100,0.33299999999999996,0.4,OKC,87,0.833,1.15
2012-01-02,21100067,BOS,100,0.5,inf,WAS,92,0.0,1.09
2012-01-02,21100070,MIA,92,0.833,1.04,ATL,100,0.8,0.92
2012-01-03,21100078,MEM,113,0.4,1.2,SAC,96,0.33299999999999996,1.18
2012-01-03,21100081,LAL,108,0.5710000000000001,1.43,HOU,99,0.4,1.09
2012-01-03,21100079,OKC,93,0.7140000000000001,0.89,POR,103,0.8,0.9
2012-01-03,21100076,CLE,115,0.6,3.0,CHA,101,0.2,1.14
2012-01-03,21100080,UTA,85,0.5,1.25,MIL,73,0.4,1.16
2012-01-03,21100077,CHI,76,0.833,1.25,ATL,74,0.667,1.03
2012-01-04,21100090,DAL,98,0.429,1.29,PHX,89,0.33299999999999996,1.1
2012-01-04,21100093,LAC,117,0.6,1.8,HOU,89,0.33299999999999996,1.31
2012-01-04,21100087,DET,83,0.33299999999999996,0.39,CHI,99,0.857,0.84
2012-01-04,21100091,SAS,101,0.667,2.0,GSW,95,0.33299999999999996,1.06
2012-01-04,21100089,MIN,86,0.33299999999999996,0.67,MEM,90,0.5,0.96
2012-01-04,21100086,MIA,118,0.857,1.28,IND,83,0.667,1.42
2012-01-04,21100085,NYK,110,0.33299999999999996,1.0,CHA,118,0.33299999999999996,0.93
2012-01-04,21100088,NOH,93,0.33299999999999996,0.55,PHI,101,0.6,0.92
2012-01-04,21100083,ORL,103,0.7140000000000001,inf,WAS,85,0.0,1.21
2012-01-04,21100084,BOS,89,0.5710000000000001,3.99,NJN,70,0.14300000000000002,1.27
2012-01-04,21100092,DEN,110,0.7140000000000001,2.5,SAC,83,0.28600000000000003,1.33
2012-01-04,21100082,TOR,92,0.5,1.0,CLE,77,0.5,1.19
2012-01-05,21100095,SAS,93,0.7140000000000001,1.9,DAL,71,0.375,1.31
2012-01-05,21100094,ATL,109,0.5710000000000001,0.65,MIA,116,0.875,0.94
2012-01-05,21100096,SAC,103,0.375,1.13,MIL,100,0.33299999999999996,1.03
2012-01-05,21100097,POR,107,0.833,1.67,LAL,96,0.5,1.11
2012-01-06,21100101,CHA,96,0.28600000000000003,0.46,ATL,102,0.625,0.94
2012-01-06,21100099,PHI,96,0.667,2.33,DET,73,0.28600000000000003,1.32
2012-01-06,21100104,NOH,88,0.28600000000000003,0.38,DEN,96,0.75,0.92
2012-01-06,21100105,OKC,109,0.75,2.62,HOU,94,0.28600000000000003,1.16
2012-01-06,21100098,TOR,85,0.429,1.72,NJN,97,0.25,0.88
2012-01-06,21100103,ORL,83,0.625,0.71,CHI,97,0.875,0.86
2012-01-06,21100109,LAL,97,0.556,1.94,GSW,90,0.28600000000000003,1.08
2012-01-06,21100107,UTA,94,0.5710000000000001,1.33,MEM,85,0.429,1.11
2012-01-06,21100102,BOS,74,0.5,0.7,IND,87,0.7140000000000001,0.85
2012-01-06,21100108,PHX,102,0.429,0.6,POR,77,0.7140000000000001,1.32
2012-01-06,21100100,WAS,96,0.0,0.0,NYK,99,0.429,0.97
2012-01-06,21100106,MIN,87,0.28600000000000003,0.5,CLE,98,0.5710000000000001,0.89
2012-01-07,21100119,GSW,87,0.25,0.4,UTA,88,0.625,0.99
2012-01-07,21100115,HOU,95,0.25,0.32,OKC,98,0.778,0.97
2012-01-07,21100111,IND,99,0.75,3.0,CHA,77,0.25,1.29
2012-01-07,21100113,DET,80,0.25,0.5,NYK,103,0.5,0.78
2012-01-07,21100110,ATL,109,0.667,0.86,CHI,94,0.778,1.16
2012-01-07,21100117,DAL,96,0.444,1.78,NOH,81,0.25,1.19
2012-01-07,21100118,LAC,92,0.667,2.33,MIL,86,0.28600000000000003,1.07
2012-01-07,21100112,NJN,90,0.222,0.25,MIA,101,0.889,0.89
2012-01-07,21100116,SAS,121,0.75,1.12,DEN,117,0.667,1.03
2012-01-07,21100114,PHI,97,0.7140000000000001,1.9,TOR,62,0.375,1.56
2012-01-08,21100122,OKC,108,0.8,1.2,SAS,96,0.667,1.12
2012-01-08,21100124,POR,98,0.75,1.5,CLE,78,0.5,1.26
2012-01-08,21100123,PHX,109,0.5,2.0,MIL,93,0.25,1.17
2012-01-08,21100121,SAC,97,0.33299999999999996,0.5,ORL,104,0.667,0.93
2012-01-08,21100125,LAL,90,0.6,1.6,MEM,82,0.375,1.1
2012-01-08,21100120,WAS,72,0.0,0.0,MIN,93,0.375,0.77
2012-01-09,21100129,NYK,91,0.556,2.5,CHA,87,0.222,1.05
2012-01-09,21100127,PHI,96,0.75,1.12,IND,86,0.667,1.12
2012-01-09,21100128,NJN,101,0.2,0.29,ATL,106,0.7,0.95
2012-01-09,21100126,TOR,97,0.444,1.33,MIN,87,0.33299999999999996,1.11
2012-01-09,21100131,DEN,81,0.6,1.8,NOH,94,0.33299999999999996,0.86
2012-01-09,21100130,CHI,92,0.8,3.6,DET,68,0.222,1.35
2012-01-10,21100141,LAL,99,0.636,1.43,PHX,83,0.444,1.19
2012-01-10,21100140,POR,105,0.778,1.36,LAC,97,0.5710000000000001,1.08
2012-01-10,21100136,MIL,106,0.33299999999999996,0.55,SAS,103,0.6,1.03
2012-01-10,21100137,MEM,95,0.33299999999999996,0.41,OKC,100,0.818,0.95
2012-01-10,21100142,GSW,111,0.33299999999999996,0.42,MIA,106,0.8,1.05
2012-01-10,21100138,MIN,100,0.3,0.37,CHI,111,0.818,0.9
2012-01-10,21100132,PHI,112,0.778,2.59,SAC,85,0.3,1.32
2012-01-10,21100133,WAS,93,0.111,0.28,TOR,78,0.4,1.19
2012-01-10,21100139,UTA,113,0.667,1.5,CLE,105,0.444,1.08
2012-01-10,21100134,CHA,70,0.2,0.6,HOU,82,0.33299999999999996,0.85
2012-01-10,21100135,DET,86,0.2,0.4,DAL,100,0.5,0.86
2012-01-11,21100147,CHI,78,0.833,8.33,WAS,64,0.1,1.22
2012-01-11,21100148,NOH,85,0.3,0.36,OKC,95,0.833,0.89
2012-01-11,21100152,POR,104,0.7,1.0,ORL,107,0.7,0.97
2012-01-11,21100153,LAC,95,0.625,0.86,MIA,89,0.727,1.07
2012-01-11,21100144,IND,96,0.7,1.1,ATL,84,0.636,1.14
2012-01-11,21100150,DEN,123,0.636,3.49,NJN,115,0.182,1.07
2012-01-11,21100151,UTA,87,0.6,0.9,LAL,90,0.667,0.97
2012-01-11,21100145,NYK,85,0.6,0.86,PHI,79,0.7,1.08
2012-01-11,21100146,BOS,85,0.444,0.81,DAL,90,0.545,0.94
2012-01-11,21100143,TOR,91,0.364,1.0,SAC,98,0.364,0.93
2012-01-11,21100149,SAS,101,0.636,2.12,HOU,95,0.3,1.06
2012-01-12,21100154,ATL,111,0.667,3.66,CHA,81,0.182,1.37
2012-01-12,21100155,MIL,102,0.4,2.2,DET,93,0.182,1.1
2012-01-12,21100157,PHX,90,0.4,0.8,CLE,101,0.5,0.89
2012-01-12,21100156,MEM,94,0.4,0.73,NYK,83,0.545,1.13
2012-01-12,21100158,GSW,109,0.3,0.41,ORL,117,0.727,0.93
2012-01-13,21100164,HOU,103,0.364,1.09,SAC,89,0.33299999999999996,1.16
2012-01-13,21100161,CHA,81,0.16699999999999998,0.67,DET,98,0.25,0.83
2012-01-13,21100165,DAL,102,0.583,1.6,MIL,76,0.364,1.34
2012-01-13,21100167,PHX,103,0.364,1.46,NJN,110,0.25,0.94
2012-01-13,21100162,BOS,79,0.4,0.47,CHI,88,0.846,0.9
2012-01-13,21100169,LAL,97,0.6920000000000001,1.52,CLE,92,0.455,1.05
2012-01-13,21100160,PHI,120,0.727,7.99,WAS,89,0.091,1.35
2012-01-13,21100166,SAS,99,0.667,1.05,POR,83,0.636,1.19
2012-01-13,21100168,DEN,117,0.667,1.0,MIA,104,0.667,1.12
2012-01-13,21100163,NOH,80,0.273,0.75,MIN,87,0.364,0.92
2012-01-13,21100159,TOR,90,0.33299999999999996,0.46,IND,95,0.727,0.95
2012-01-14,21100178,DAL,99,0.615,2.0,SAC,60,0.308,1.65
2012-01-14,21100176,HOU,107,0.41700000000000004,0.72,POR,105,0.583,1.02
2012-01-14,21100173,IND,97,0.75,2.06,BOS,83,0.364,1.17
2012-01-14,21100175,MEM,108,0.455,1.82,NOH,99,0.25,1.09
2012-01-14,21100171,CHA,112,0.231,0.85,GSW,100,0.273,1.12
2012-01-14,21100180,LAC,102,0.667,1.04,LAL,94,0.643,1.09
2012-01-14,21100172,ATL,93,0.6920000000000001,2.08,MIN,91,0.33299999999999996,1.02
2012-01-14,21100179,UTA,107,0.636,2.75,NJN,94,0.231,1.14
2012-01-14,21100177,OKC,104,0.846,1.69,NYK,92,0.5,1.13
2012-01-14,21100174,CHI,77,0.857,2.78,TOR,64,0.308,1.2
2012-01-14,21100170,WAS,90,0.083,0.11,PHI,103,0.75,0.87
2012-01-15,21100181,DET,91,0.231,0.69,GSW,99,0.33299999999999996,0.92
