GAME_DATE,Team_ID,Game_ID,GAME_DATE,MATCHUP,HomeTeam,VisitTeam,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2015-10-27,1610612737,0021500001,2015-10-27,ATL vs. DET,ATL,DET,L,0,1,0.0,240,37,82,0.451,8,27,0.296,12,15,0.8,7,33,40,22,9,4,15,25,94
2015-10-27,1610612765,0021500001,2015-10-27,DET @ ATL,ATL,DET,W,1,0,1.0,240,37,96,0.385,12,29,0.414,20,26,0.769,23,36,59,23,5,3,15,15,106
2015-10-27,1610612739,0021500002,2015-10-27,CLE @ CHI,CHI,CLE,L,0,1,0.0,240,38,94,0.404,9,29,0.31,10,17,0.588,11,39,50,26,5,7,10,21,95
2015-10-27,1610612740,0021500003,2015-10-27,NOP @ GSW,GSW,NOP,L,0,1,0.0,240,35,83,0.422,6,18,0.333,19,27,0.704,8,25,33,21,9,3,18,26,95
2015-10-27,1610612741,0021500002,2015-10-27,CHI vs. CLE,CHI,CLE,W,1,0,1.0,240,37,87,0.425,7,19,0.368,16,23,0.696,7,40,47,13,6,10,13,22,97
2015-10-27,1610612744,0021500003,2015-10-27,GSW vs. NOP,GSW,NOP,W,1,0,1.0,240,41,96,0.427,9,30,0.3,20,22,0.909,21,35,56,29,8,7,20,29,111
2015-10-28,1610612739,0021500011,2015-10-28,CLE @ MEM,MEM,CLE,W,1,1,0.5,240,41,84,0.488,13,29,0.448,11,17,0.647,12,42,54,29,7,2,19,25,106
2015-10-28,1610612740,0021500015,2015-10-28,NOP @ POR,POR,NOP,L,0,2,0.0,240,36,91,0.396,11,33,0.333,11,18,0.611,5,34,39,19,7,2,11,17,94
2015-10-28,1610612741,0021500006,2015-10-28,CHI @ BKN,BKN,CHI,W,2,0,1.0,240,42,78,0.538,14,28,0.5,17,20,0.85,5,34,39,20,9,3,19,24,115
2015-10-28,1610612742,0021500014,2015-10-28,DAL @ PHX,PHX,DAL,W,1,0,1.0,240,40,85,0.471,10,21,0.476,21,31,0.677,6,42,48,24,7,3,8,25,111
2015-10-28,1610612743,0021500010,2015-10-28,DEN @ HOU,HOU,DEN,W,1,0,1.0,240,40,79,0.506,13,27,0.481,12,18,0.667,9,40,49,26,9,10,21,26,105
2015-10-28,1610612745,0021500010,2015-10-28,HOU vs. DEN,HOU,DEN,L,0,1,0.0,240,30,87,0.345,8,35,0.229,17,26,0.654,15,29,44,17,13,8,16,19,85
2015-10-28,1610612746,0021500016,2015-10-28,LAC @ SAC,SAC,LAC,W,1,0,1.0,240,42,80,0.525,6,19,0.316,21,31,0.677,6,36,42,20,8,9,15,19,111
2015-10-28,1610612747,0021500017,2015-10-28,LAL vs. MIN,LAL,MIN,L,0,1,0.0,240,35,90,0.389,9,34,0.265,32,35,0.914,12,36,48,18,2,4,13,29,111
2015-10-28,1610612748,0021500008,2015-10-28,MIA vs. CHA,MIA,CHA,W,1,0,1.0,240,36,73,0.493,12,20,0.6,20,21,0.952,2,39,41,23,5,7,13,25,104
2015-10-28,1610612749,0021500012,2015-10-28,MIL vs. NYK,MIL,NYK,L,0,1,0.0,240,30,86,0.349,9,18,0.5,28,31,0.903,18,29,47,17,7,4,18,27,97
2015-10-28,1610612751,0021500006,2015-10-28,BKN vs. CHI,BKN,CHI,L,0,1,0.0,240,39,93,0.419,0,9,0.0,22,28,0.786,16,29,45,19,11,5,13,18,100
2015-10-28,1610612752,0021500012,2015-10-28,NYK @ MIL,MIL,NYK,W,1,0,1.0,240,42,93,0.452,9,23,0.391,29,35,0.829,19,30,49,24,11,7,11,28,122
2015-10-28,1610612753,0021500004,2015-10-28,ORL vs. WAS,ORL,WAS,L,0,1,0.0,240,37,100,0.37,5,26,0.192,8,12,0.667,17,39,56,20,9,6,14,22,87
2015-10-28,1610612754,0021500009,2015-10-28,IND @ TOR,TOR,IND,L,0,1,0.0,240,32,86,0.372,9,23,0.391,26,31,0.839,8,32,40,23,14,3,13,30,99
2015-10-28,1610612755,0021500005,2015-10-28,PHI @ BOS,BOS,PHI,L,0,1,0.0,240,34,83,0.41,7,22,0.318,20,23,0.87,14,32,46,12,11,6,22,22,95
2015-10-28,1610612756,0021500014,2015-10-28,PHX vs. DAL,PHX,DAL,L,0,1,0.0,240,34,87,0.391,6,24,0.25,21,33,0.636,13,40,53,15,3,3,18,30,95
2015-10-28,1610612757,0021500015,2015-10-28,POR vs. NOP,POR,NOP,W,1,0,1.0,240,44,88,0.5,12,32,0.375,12,14,0.857,6,45,51,22,7,4,12,21,112
2015-10-28,1610612758,0021500016,2015-10-28,SAC vs. LAC,SAC,LAC,L,0,1,0.0,240,41,94,0.436,11,24,0.458,11,18,0.611,12,37,49,24,8,3,16,27,104
2015-10-28,1610612759,0021500013,2015-10-28,SAS @ OKC,OKC,SAS,L,0,1,0.0,240,45,93,0.484,5,15,0.333,11,13,0.846,7,29,36,22,11,9,13,18,106
2015-10-28,1610612760,0021500013,2015-10-28,OKC vs. SAS,OKC,SAS,W,1,0,1.0,240,42,86,0.488,7,19,0.368,21,22,0.955,11,34,45,21,7,4,19,19,112
2015-10-28,1610612761,0021500009,2015-10-28,TOR vs. IND,TOR,IND,W,1,0,1.0,240,36,80,0.45,7,18,0.389,27,39,0.692,9,41,50,19,8,2,20,24,106
2015-10-28,1610612762,0021500007,2015-10-28,UTA @ DET,DET,UTA,L,0,1,0.0,240,35,75,0.467,2,12,0.167,15,21,0.714,4,34,38,15,4,5,12,25,87
2015-10-28,1610612763,0021500011,2015-10-28,MEM vs. CLE,MEM,CLE,L,0,1,0.0,240,29,82,0.354,2,16,0.125,16,22,0.727,11,29,40,15,8,3,16,18,76
2015-10-28,1610612764,0021500004,2015-10-28,WAS @ ORL,ORL,WAS,W,1,0,1.0,240,33,84,0.393,7,28,0.25,15,25,0.6,15,34,49,17,8,9,17,14,88
2015-10-28,1610612765,0021500007,2015-10-28,DET vs. UTA,DET,UTA,W,2,0,1.0,240,30,74,0.405,7,19,0.368,25,34,0.735,8,35,43,16,2,4,10,20,92
2015-10-28,1610612738,0021500005,2015-10-28,BOS vs. PHI,BOS,PHI,W,1,0,1.0,240,39,85,0.459,8,24,0.333,26,27,0.963,10,31,41,31,10,7,17,23,112
2015-10-28,1610612750,0021500017,2015-10-28,MIN @ LAL,LAL,MIN,W,1,0,1.0,240,38,83,0.458,5,20,0.25,31,37,0.838,6,33,39,24,3,4,8,26,112
2015-10-28,1610612766,0021500008,2015-10-28,CHA @ MIA,MIA,CHA,L,0,1,0.0,240,33,84,0.393,6,24,0.25,22,29,0.759,11,32,43,16,4,1,8,16,94
2015-10-29,1610612752,0021500019,2015-10-29,NYK vs. ATL,NYK,ATL,L,1,1,0.5,240,38,93,0.409,6,29,0.207,19,21,0.905,16,32,48,21,10,4,21,24,101
2015-10-29,1610612737,0021500019,2015-10-29,ATL @ NYK,NYK,ATL,W,1,1,0.5,240,42,83,0.506,10,24,0.417,18,26,0.692,7,32,39,26,11,4,15,18,112
2015-10-29,1610612746,0021500020,2015-10-29,LAC vs. DAL,LAC,DAL,W,2,0,1.0,240,38,87,0.437,8,31,0.258,20,33,0.606,8,45,53,21,6,8,8,17,104
2015-10-29,1610612763,0021500018,2015-10-29,MEM @ IND,IND,MEM,W,1,1,0.5,240,41,82,0.5,7,16,0.438,23,29,0.793,12,30,42,26,12,5,14,25,112
2015-10-29,1610612742,0021500020,2015-10-29,DAL @ LAC,LAC,DAL,L,1,1,0.5,240,35,97,0.361,6,30,0.2,12,15,0.8,14,41,55,22,4,2,12,26,88
2015-10-29,1610612754,0021500018,2015-10-29,IND vs. MEM,IND,MEM,L,0,2,0.0,240,37,78,0.474,12,30,0.4,17,24,0.708,10,28,38,23,7,4,20,22,103
2015-10-30,1610612747,0021500031,2015-10-30,LAL @ SAC,SAC,LAL,L,0,2,0.0,240,41,89,0.461,11,34,0.324,21,27,0.778,8,29,37,20,7,9,19,24,114
2015-10-30,1610612750,0021500029,2015-10-30,MIN @ DEN,DEN,MIN,W,2,0,1.0,240,30,71,0.423,2,11,0.182,33,41,0.805,7,42,49,18,7,6,17,24,95
2015-10-30,1610612744,0021500030,2015-10-30,GSW @ HOU,HOU,GSW,W,2,0,1.0,240,43,93,0.462,9,26,0.346,17,25,0.68,11,36,47,26,9,4,8,24,112
2015-10-30,1610612758,0021500031,2015-10-30,SAC vs. LAL,SAC,LAL,W,1,1,0.5,240,52,101,0.515,6,22,0.273,22,30,0.733,16,40,56,26,6,7,14,23,132
2015-10-30,1610612759,0021500028,2015-10-30,SAS vs. BKN,SAS,BKN,W,1,1,0.5,240,40,86,0.465,9,22,0.409,13,13,1.0,12,44,56,23,7,4,18,16,102
